"modelo A","modelo B","relación","punto exacto","observación que los distinguiría","fila"
"H14 modelo inside-out","H18 hipótesis de invasión de intrones","compatibles","La geometría inside-out puede preceder o acompañar una presión posterior de intrones sobre compartimentación.","El orden de intrones y cierre de la envoltura distinguiría la variante causal.","C-380"
"H14 modelo inside-out","H19 hipótesis viral del núcleo","parcialmente compatibles","Inside-out explica el compartimento celular; una contribución viral genética es compatible, pero un núcleo íntegramente viral sustituiría la homología del cuerpo arqueano.","La procedencia del compartimento frente a genes individuales separaría contribución parcial de origen viral completo.","C-381"
"H14 modelo inside-out","H20 hipótesis autógena de invaginación nuclear","mutuamente excluyentes","H14 deriva núcleo y retículo por exteriorización; H20 por invaginación interior de la membrana ancestral.","La orientación topológica ancestral de membranas y la inserción de poros distinguirían las geometrías opuestas.","C-382"
"H14 modelo inside-out","H21 submodelo nuclear inside-out","compatibles","H21 es el componente nuclear explícito de H14.","No requieren una observación distinta para compatibilidad; la evidencia que afecta H14 afecta H21.","C-383"
"H14 modelo inside-out","H22 hipótesis del protocoatómero","compatibles","H22 aporta una maquinaria ancestral de curvatura que puede operar durante protrusión, fusión y formación de poros.","La homología molecular puede probarse independientemente de la orientación inside-out.","C-384"
"H15 modelo autógeno fagotrófico","H16 modelo de flujo inverso","mutuamente excluyentes","H15 requiere protoeucariota fagocítico y mitocondria tardía; H16 inicia con sintrofía procariótica antes de fagocitosis.","La cronología de fagocitosis respecto de la asociación mitocondrial distinguiría los montajes estrictos.","C-385"
"H15 modelo autógeno fagotrófico","H17 modelo E3","mutuamente excluyentes","H15 internaliza por fagocitosis preexistente; E3 propone engullimiento por protrusiones sin maquinaria fagocítica moderna.","Una reconstrucción funcional de la maquinaria de fagocitosis anterior a la internalización distinguiría los mecanismos.","C-386"
"H15 modelo autógeno fagotrófico","H18 hipótesis de invasión de intrones","parcialmente compatibles","Pueden combinarse solo si la invasión de intrones y su presión selectiva ocurren después de una mitocondria adquirida tardíamente; chocan si H18 origina el núcleo antes exigido por H15.","Fechar expansión de intrones frente al origen nuclear y a mFECA distinguiría el orden.","C-387"
"H15 modelo autógeno fagotrófico","H19 hipótesis viral del núcleo","compatibles","Un protoeucariota fagocítico puede recibir aportes virales al núcleo antes o después de la mitocondria.","La contribución viral puede probarse sin decidir el mecanismo de captura mitocondrial.","C-388"
"H15 modelo autógeno fagotrófico","H20 hipótesis autógena de invaginación nuclear","compatibles","H20 puede originar el núcleo autógeno requerido antes de la fagocitosis mitocondrial de H15.","El orden núcleo→fagocitosis→mitocondria sería la versión combinada.","C-389"
"H15 modelo autógeno fagotrófico","H21 submodelo nuclear inside-out","mutuamente excluyentes","H15 suele asumir invaginación y fagocitosis de una célula ya interiorizada; H21 requiere topología inside-out y no necesita fagocitosis para la asociación inicial.","La orientación de membranas y el mecanismo de internalización resolverían el conflicto.","C-390"
"H15 modelo autógeno fagotrófico","H22 hipótesis del protocoatómero","compatibles","La expansión del protocoatómero puede formar la maquinaria endomembranosa y fagocítica previa postulada por H15.","La homología de cubiertas no determina por sí sola cuándo se adquirió la mitocondria.","C-391"
"H16 modelo de flujo inverso","H17 modelo E3","compatibles","H16 puede proporcionar el intercambio metabólico inicial y E3 la geometría de entrelazamiento e internalización.","El socio bacteriano de E3 tendría que ser el receptor de equivalentes reductores predicho por H16.","C-392"
"H16 modelo de flujo inverso","H18 hipótesis de invasión de intrones","compatibles","Una asociación de flujo inverso puede culminar en un endosimbionte que transfiera intrones de grupo II.","La dirección metabólica no altera la predicción intrón→compartimentación.","C-393"
"H16 modelo de flujo inverso","H19 hipótesis viral del núcleo","compatibles","H16 no excluye una contribución viral adicional al núcleo.","La evidencia viral puede evaluarse de forma separada de la sintrofía.","C-394"
"H16 modelo de flujo inverso","H20 hipótesis autógena de invaginación nuclear","compatibles","La sintrofía de flujo inverso puede coexistir con una invaginación nuclear autógena en otra etapa.","El orden de ambos procesos distinguiría variantes, no su compatibilidad.","C-395"
"H16 modelo de flujo inverso","H21 submodelo nuclear inside-out","compatibles","El flujo arquea→bacteria puede ocurrir entre el cuerpo asgard y ectosimbiontes rodeados por protrusiones inside-out.","Reconstrucciones de orientación y metabolismo deberían ser simultáneamente consistentes.","C-396"
"H16 modelo de flujo inverso","H22 hipótesis del protocoatómero","compatibles","H22 no fija metabolismo ni identidad del socio bacteriano.","La homología de coatómeros puede evaluarse independientemente.","C-397"
"H17 modelo E3","H18 hipótesis de invasión de intrones","compatibles","E3 puede producir el endosimbionte que después dona intrones de grupo II.","El orden E3→transferencia de intrones→compartimentación es una combinación explícita comprobable.","C-398"
"H17 modelo E3","H19 hipótesis viral del núcleo","compatibles","E3 no excluye aportes virales genéticos o una infección persistente posterior.","La procedencia viral de genes no altera necesariamente el mecanismo de engullimiento.","C-399"
"H17 modelo E3","H20 hipótesis autógena de invaginación nuclear","compatibles","E3 trata la internalización mitocondrial y H20 puede tratar por separado la envoltura nuclear.","La cronología de invaginación respecto del engullimiento distingue variantes.","C-400"
"H17 modelo E3","H21 submodelo nuclear inside-out","parcialmente compatibles","Comparten protrusiones asgard; E3 propone engullimiento focal de un socio y H21 una exteriorización global que define núcleo y retículo.","La continuidad topológica de protrusiones, retículo y membrana plasmática distinguiría si son etapas del mismo proceso.","C-401"
"H17 modelo E3","H22 hipótesis del protocoatómero","compatibles","Un protocoatómero podría mediar curvatura y fusión de membranas durante E3 sin estar especificado por el modelo.","La presencia de esa maquinaria en el tallo debe probarse mediante duplicaciones y homología.","C-402"
"H18 hipótesis de invasión de intrones","H19 hipótesis viral del núcleo","parcialmente compatibles","Una contribución viral parcial puede coexistir con presión por intrones; son rivales solo cuando cada una se presenta como causa principal y suficiente del compartimento nuclear.","La cronología y procedencia de nucleoporinas, espliceosoma y membranas distinguirían causalidad principal de aporte accesorio.","C-403"
"H18 hipótesis de invasión de intrones","H20 hipótesis autógena de invaginación nuclear","compatibles","La invaginación puede producir una envoltura cuya fijación sea favorecida por la necesidad de separar empalme y traducción.","El orden y la asociación temporal entre carga de intrones e invaginación distinguirían la combinación.","C-404"
"H18 hipótesis de invasión de intrones","H21 submodelo nuclear inside-out","compatibles","Inside-out puede originar la geometría y la invasión de intrones aportar una presión selectiva posterior para cerrar o regular la envoltura.","Fechar intrones respecto de la formación topológica de la envoltura discriminaría la secuencia.","C-405"
"H18 hipótesis de invasión de intrones","H22 hipótesis del protocoatómero","compatibles","La maquinaria protocoatómero puede originar poros y cubiertas mientras los intrones explican una presión funcional.","Homología de complejos y cronología de intrones son líneas independientes.","C-406"
"H19 hipótesis viral del núcleo","H20 hipótesis autógena de invaginación nuclear","parcialmente compatibles","La invaginación autógena puede recibir genes virales; son incompatibles solo si H19 exige que el compartimento completo descienda del virus.","Distinguir origen de membrana frente a origen de genes resolvería la rivalidad aparente.","C-407"
"H19 hipótesis viral del núcleo","H21 submodelo nuclear inside-out","parcialmente compatibles","Inside-out puede aceptar aportes virales parciales, pero no un reemplazo del cuerpo arqueano por un compartimento viral ancestral.","La homología topológica del núcleo y la dirección de HGT distinguirían las versiones.","C-408"
"H19 hipótesis viral del núcleo","H22 hipótesis del protocoatómero","compatibles","Un origen o aporte viral no excluye que poro y coatómeros compartan una arquitectura celular ancestral, salvo que se atribuya también esa maquinaria al virus.","Filogenias y estructuras de nucleoporinas podrían separar aportes virales de paralogía celular.","C-409"
"H20 hipótesis autógena de invaginación nuclear","H21 submodelo nuclear inside-out","mutuamente excluyentes","H20 invagina hacia dentro; H21 exterioriza protrusiones y conserva el cuerpo arqueano como núcleo.","La orientación topológica ancestral y el mecanismo de inserción de poros distinguen las geometrías.","C-410"
"H20 hipótesis autógena de invaginación nuclear","H22 hipótesis del protocoatómero","compatibles","El protocoatómero puede proporcionar maquinaria de curvatura a una invaginación autógena.","La homología molecular no fija dirección de curvatura.","C-411"
"H21 submodelo nuclear inside-out","H22 hipótesis del protocoatómero","compatibles","El protocoatómero puede mediar poros y curvatura dentro de la geometría inside-out.","La combinación exige que la cronología de duplicaciones sea anterior o concomitante a la exteriorización.","C-412"
