"table_id","categoría","sección","título","ruta CSV","filas","columnas","política en informe de lectura","línea inicial en maestro v5","línea final en maestro v5"
"table-16-4-6-1-eukaryota","node","4","4.6.1. Eukaryota","data/tablas/04/table-16-4-6-1-eukaryota.csv","1","10","inline","1710","1712"
"table-17-4-6-2-amorphea","node","4","4.6.2. Amorphea","data/tablas/04/table-17-4-6-2-amorphea.csv","1","10","inline","1716","1718"
"table-18-4-6-3-amoebozoa","node","4","4.6.3. Amoebozoa","data/tablas/04/table-18-4-6-3-amoebozoa.csv","1","10","inline","1722","1724"
"table-19-4-6-4-obazoa","node","4","4.6.4. Obazoa","data/tablas/04/table-19-4-6-4-obazoa.csv","1","10","inline","1728","1730"
"table-20-4-6-5-apusomonadida","node","4","4.6.5. Apusomonadida","data/tablas/04/table-20-4-6-5-apusomonadida.csv","1","10","inline","1734","1736"
"table-21-4-6-6-breviatea","node","4","4.6.6. Breviatea","data/tablas/04/table-21-4-6-6-breviatea.csv","1","10","inline","1740","1742"
"table-22-4-6-7-opisthokonta","node","4","4.6.7. Opisthokonta","data/tablas/04/table-22-4-6-7-opisthokonta.csv","1","10","inline","1746","1748"
"table-23-4-6-8-holomycota","node","4","4.6.8. Holomycota","data/tablas/04/table-23-4-6-8-holomycota.csv","1","10","inline","1752","1754"
"table-24-4-6-9-holozoa","node","4","4.6.9. Holozoa","data/tablas/04/table-24-4-6-9-holozoa.csv","1","10","inline","1758","1760"
"table-25-4-6-10-ichthyosporea","node","4","4.6.10. Ichthyosporea","data/tablas/04/table-25-4-6-10-ichthyosporea.csv","1","10","inline","1764","1766"
"table-26-4-6-11-pluriformea-sensu-hehenberger-et-al-2017","node","4","4.6.11. Pluriformea sensu Hehenberger et al. 2017","data/tablas/04/table-26-4-6-11-pluriformea-sensu-hehenberger-et-al-2017.csv","1","10","inline","1770","1772"
"table-27-4-6-12-corallochytrea","node","4","4.6.12. Corallochytrea","data/tablas/04/table-27-4-6-12-corallochytrea.csv","1","10","inline","1776","1778"
"table-28-4-6-13-filasterea","node","4","4.6.13. Filasterea","data/tablas/04/table-28-4-6-13-filasterea.csv","1","10","inline","1782","1784"
"table-29-4-6-14-filozoa","node","4","4.6.14. Filozoa","data/tablas/04/table-29-4-6-14-filozoa.csv","1","10","inline","1788","1790"
"table-30-4-6-15-choanozoa-sensu-stricto-apoikozoa","node","4","4.6.15. Choanozoa sensu stricto ≈ Apoikozoa","data/tablas/04/table-30-4-6-15-choanozoa-sensu-stricto-apoikozoa.csv","1","10","inline","1794","1796"
"table-31-4-6-16-choanoflagellata","node","4","4.6.16. Choanoflagellata","data/tablas/04/table-31-4-6-16-choanoflagellata.csv","1","10","inline","1800","1802"
"table-32-4-6-17-metazoa","node","4","4.6.17. Metazoa","data/tablas/04/table-32-4-6-17-metazoa.csv","1","10","inline","1806","1808"
"claims-04","claims","4","4.10. Registro de afirmaciones de la sección 4","data/afirmaciones/04.csv","263","12","link","1898","2161"
"table-33-5-4-evidencia-de-interaccion-en-perforaciones-del-grupo-chuar","summary","5","5.4. Evidencia de interacción en perforaciones del Grupo Chuar","data/tablas/05/table-33-5-4-evidencia-de-interaccion-en-perforaciones-del-grupo-chuar.csv","1","6","inline","0","0"
"table-34-5-8-asignacion-fosil-mas-antigua-localizada-por-nodo","summary","5","5.8. Asignación fósil más antigua localizada por nodo","data/tablas/05/table-34-5-8-asignacion-fosil-mas-antigua-localizada-por-nodo.csv","17","6","inline","2295","2305"
"claims-05","claims","5","5.9. Registro de afirmaciones de la sección 5","data/afirmaciones/05.csv","63","12","link","2309","2366"
"table-36-6-1-estimaciones-publicadas","summary","6","6.1. Estimaciones publicadas","data/tablas/06/table-36-6-1-estimaciones-publicadas.csv","15","6","inline","2410","2421"
"claims-06","claims","6","6.5. Registro de afirmaciones de la sección 6","data/afirmaciones/06.csv","36","12","link","2453","2483"
"table-38-7-1-oxigeno-cronologia-proxies-y-discrepancias-cuantitativas","summary","7","7.1. Oxígeno: cronología, proxies y discrepancias cuantitativas","data/tablas/07/table-38-7-1-oxigeno-cronologia-proxies-y-discrepancias-cuantitativas.csv","10","6","inline","2521","2527"
"table-38b-7-2-redox-y-aceptores","summary","7","7.2. Química redox del océano y aceptores de electrones","data/tablas/07/table-38b-7-2-redox-y-aceptores.csv","7","7","inline","0","0"
"table-38c-7-4-episodios-globales","summary","7","7.4. Episodios ambientales globales","data/tablas/07/table-38c-7-4-episodios-globales.csv","5","7","inline","0","0"
"claims-07","claims","7","7.6. Registro de afirmaciones de la sección 7","data/afirmaciones/07.csv","58","12","link","2595","2639"
"table-40-8-3-depredadores-holozoos-obazoa-holomycota-y-amoebozoa","summary","8","8.3. Depredadores holozoos, Obazoa, Holomycota y Amoebozoa","data/tablas/08/table-40-8-3-depredadores-holozoos-obazoa-holomycota-y-amoebozoa.csv","26","7","inline","2755","2772"
"table-40b-8-5-virus-gigantes","summary","8","8.5. Magnitudes de virus gigantes","data/tablas/08/table-40b-8-5-virus-gigantes.csv","4","7","inline","0","0"
"claims-08","claims","8","8.7. Registro de afirmaciones de la sección 8","data/afirmaciones/08.csv","121","12","link","2840","2922"
"table-42-9-1-1-tipologia-cerrada","summary","9","9.1.1. Tipología cerrada","data/tablas/09/table-42-9-1-1-tipologia-cerrada.csv","11","6","inline","2976","2988"
"table-43-9-4-1-fichas-comparativas-por-grado-de-integracion","summary","9","9.4.1. Fichas comparativas por grado de integración","data/tablas/09/table-43-9-4-1-fichas-comparativas-por-grado-de-integracion.csv","19","10","inline","3156","3176"
"table-44-9-7-1-correlatos-publicados","summary","9","9.7.1. Correlatos publicados","data/tablas/09/table-44-9-7-1-correlatos-publicados.csv","7","4","inline","3304","3311"
"table-45-9-8-1-gradiente-funcional-comparado","summary","9","9.8.1. Gradiente funcional comparado","data/tablas/09/table-45-9-8-1-gradiente-funcional-comparado.csv","8","5","inline","3387","3396"
"claims-09","claims","9","9.12. Registro de afirmaciones de la sección 9","data/afirmaciones/09.csv","251","12","link","3522","3774"
"table-47-10-1-tabla-consolidada-de-rasgos-con-coste","summary","10","10.1. Tabla consolidada de rasgos con coste","data/tablas/10/table-47-10-1-tabla-consolidada-de-rasgos-con-coste.csv","22","9","inline","3804","3826"
"claims-10","claims","10","10.12. Registro de afirmaciones de la sección 10","data/afirmaciones/10.csv","137","12","link","4100","4236"
"table-49-11-11-vista-comparativa-de-clases-de-evidencia","summary","11","11.11. Vista comparativa de clases de evidencia","data/tablas/11/table-49-11-11-vista-comparativa-de-clases-de-evidencia.csv","8","5","inline","4523","4532"
"claims-11","claims","11","11.12. Registro de afirmaciones de la sección 11","data/afirmaciones/11.csv","122","12","link","4538","4655"
"table-51-12-1-1-vista-comparativa-de-rutas","summary","12","12.1.1. Vista comparativa de rutas","data/tablas/12/table-51-12-1-1-vista-comparativa-de-rutas.csv","4","7","inline","4693","4698"
"table-52-12-6-1-costes-y-compensaciones-cuantificados-o-no-localizado","summary","12","12.6.1. Costes y compensaciones cuantificados o no localizados","data/tablas/12/table-52-12-6-1-costes-y-compensaciones-cuantificados-o-no-localizado.csv","9","7","inline","4844","4852"
"table-53-12-7-1-tabla-comparativa-de-genomas","summary","12","12.7.1. Tabla comparativa de genomas","data/tablas/12/table-53-12-7-1-tabla-comparativa-de-genomas.csv","8","7","inline","4882","4891"
"table-54-12-10-1-repertorio-funcional-localizado","summary","12","12.10.1. Repertorio funcional localizado","data/tablas/12/table-54-12-10-1-repertorio-funcional-localizado.csv","12","5","inline","4949","4962"
"claims-12","claims","12","12.13. Registro de afirmaciones de la sección 12","data/afirmaciones/12.csv","135","12","link","5002","5129"
"table-55a-13-3-escalas-de-division-y-ambiente","summary","13","13.3. Escalas de división y ambiente","data/tablas/13/table-55a-13-3-escalas-de-division-y-ambiente.csv","12","7","inline","0","0"
"table-55b-13-4-tasas-de-mutacion-directas","summary","13","13.4. Tasas de mutación directas","data/tablas/13/table-55b-13-4-tasas-de-mutacion-directas.csv","8","7","inline","0","0"
"table-55c-13-6-cronologia-de-endosimbiosis-e-integracion","summary","13","13.6. Cronología de endosimbiosis e integración","data/tablas/13/table-55c-13-6-cronologia-de-endosimbiosis-e-integracion.csv","6","6","inline","0","0"
"table-55d-13-9-recuentos-de-origenes-y-perdidas","summary","13","13.9. Recuentos de orígenes y pérdidas","data/tablas/13/table-55d-13-9-recuentos-de-origenes-y-perdidas.csv","10","6","inline","0","0"
"claims-13","claims","13","13.11. Registro de afirmaciones de la sección 13","data/afirmaciones/13.csv","63","12","link","0","0"
"table-56-14-8-1-codigos","summary","14","14.8.1. Códigos","data/tablas/14/table-56-14-8-1-codigos.csv","5","5","inline","5687","5693"
"table-57-14-8-2-nombres-rivales-o-solapados","summary","14","14.8.2. Nombres rivales o solapados","data/tablas/14/table-57-14-8-2-nombres-rivales-o-solapados.csv","10","5","inline","5697","5708"
"table-58-14-8-3-terminos-problematicos-y-reemplazos","summary","14","14.8.3. Términos problemáticos y reemplazos","data/tablas/14/table-58-14-8-3-terminos-problematicos-y-reemplazos.csv","20","4","inline","5712","5733"
"claims-14","claims","14","14.9. Registro de afirmaciones de la sección 14","data/afirmaciones/14.csv","218","12","link","5737","5954"
"table-59-15-1-mapa-del-terreno-probatorio","summary","15","15.1. Mapa del terreno probatorio","data/tablas/15/table-59-15-1-mapa-del-terreno-probatorio.csv","7","7","inline","0","0"
"table-60-15-2-evidencia-retirada-refutada-o-reinterpretada","summary","15","15.2. Evidencia retirada, refutada o reinterpretada","data/tablas/15/table-60-15-2-evidencia-retirada-refutada-o-reinterpretada.csv","6","6","inline","0","0"
"table-61-15-3-nodos-fechas-y-relaciones-debiles","summary","15","15.3. Nodos, fechas y relaciones con soporte insuficiente","data/tablas/15/table-61-15-3-nodos-fechas-y-relaciones-debiles.csv","6","6","inline","0","0"
"claims-15","claims","15","15.5. Registro de afirmaciones de la sección 15","data/afirmaciones/15.csv","55","12","link","0","0"
"negative-15-1","negative","15","15.4.1. Punto de partida y participantes celulares","data/busquedas_negativas/15_1_15-1-punto-de-partida-y-participantes-celulares.csv","7","6","link","5966","5976"
"negative-15-2","negative","15","15.4.2. Eucariogénesis","data/busquedas_negativas/15_2_15-2-eucariogenesis.csv","7","6","link","5990","6001"
"negative-15-3","negative","15","15.4.3. Raíz eucariota y corredor filogenético","data/busquedas_negativas/15_3_15-3-raiz-eucariota-y-corredor-filogenetico.csv","7","4","link","6005","6023"
"negative-15-4","negative","15","15.4.4. Registro material, tiempo, ambiente y ecología","data/busquedas_negativas/15_4_15-4-registro-material-tiempo-ambiente-y-ecologia.csv","12","6","link","6029","6047"
"negative-15-5","negative","15","15.4.5. Asociación, integración y transferencia","data/busquedas_negativas/15_5_15-5-asociacion-integracion-y-transferencia.csv","10","5","link","6053","6066"
"negative-15-6","negative","15","15.4.6. Rasgos con costo y controversia energética","data/busquedas_negativas/15_6_15-6-rasgos-con-costo-y-controversia-energetica.csv","10","5","link","6072","6083"
"negative-15-7","negative","15","15.4.7. Sexo, meiosis y ciclo vital","data/busquedas_negativas/15_7_15-7-sexo-meiosis-y-ciclo-vital.csv","9","5","link","6089","6100"
"negative-15-8","negative","15","15.4.8. Nombres y nomenclatura","data/busquedas_negativas/15_8_15-8-nombres-y-nomenclatura.csv","2","4","link","6106","6115"
"negative-15-9","negative","15","15.4.9. Multicelularidad y repertorio preanimal","data/busquedas_negativas/15_9_15-9-multicelularidad-y-repertorio-preanimal.csv","4","5","link","6120","6135"
"appendix-a","appendix","17","17.A. Apéndice A. Fuentes","data/apendices/A_fuentes.csv","523","9","link","6143","6590"
"appendix-b","appendix","17","17.B. Apéndice B. Entidades","data/apendices/B_entidades.csv","1500","5","link","6598","8117"
"appendix-c","appendix","17","17.C. Apéndice C. Eventos","data/apendices/C_eventos.csv","109","8","link","8125","8232"
"appendix-d","appendix","17","17.D. Apéndice D. Fechas","data/apendices/D_fechas.csv","215","10","link","8240","8499"
"appendix-e","appendix","17","17.E. Apéndice E. Hipótesis","data/apendices/E_hipotesis.csv","81","8","link","8507","8589"
"appendix-f","appendix","17","17.F. Apéndice F. Magnitudes","data/apendices/F_magnitudes.csv","562","9","link","8597","9044"
"appendix-g","appendix","17","17.G. Apéndice G. Material no encajado","data/apendices/G_material_no_encajado.csv","23","5","link","9052","9083"
"appendix-h","appendix","17","17.H. Apéndice H. Recuento de control","data/apendices/H_recuento_control.csv","25","2","link","9087","9108"
"table-77-19-respuestas-a-las-seis-preguntas-de-cierre","summary","19","19. Respuestas a las seis preguntas de cierre","data/tablas/19/table-77-19-respuestas-a-las-seis-preguntas-de-cierre.csv","6","3","inline","9112","9119"
