"clave","sección","estado","hueco","términos exactos o motivo","resultado o motivo","filas relacionadas"
"BN-019","15.4.2. Eucariogénesis","LA LITERATURA DECLARA QUE NO SE SABE","Criterio que distinga HGT transitorio de un tercer endosimbionte para las oleadas de afinidad adicional","`eukaryogenesis third partner transient HGT endosymbiosis distinguish`; `LECA gene ancestry extra partners`; `gene ancestry wave endosymbiotic host limitation`","S59 recupera múltiples oleadas y orden relativo, pero no duración, compartimento ni herencia; sin genoma endosimbiótico, importación y continuidad celular la clasificación general permanece no identificable.","C-415–C-416; S56 línea 333; S59 figs. 2–4"
"BN-020","15.4.3. Raíz eucariota y corredor filogenético","NO LOCALIZADO EN ESTA SESIÓN","carácter morfológico universal y exclusivo que diagnostique Amorphea además de su definición filogenética de nodo","""Amorphea morphological synapomorphy universal exclusive""; ""Amorphea diagnostic morphology""; fundamento: S124 define el nodo y S109 reconstruye estados ancestrales; pseudopodios, forma y número de cilios no son universales ni exclusivos","n/a","n/a"
"BN-024","15.4.3. Raíz eucariota y corredor filogenético","NO LOCALIZADO EN ESTA SESIÓN","carácter morfológico universal y exclusivo que diagnostique Obazoa completo además de la filogenómica","""Obazoa morphological synapomorphy universal exclusive""; ""Obazoa diagnostic morphology""; fundamento: S111 y S109 sostienen Breviatea+Apusomonadida+Opisthokonta; las morfologías de sus miembros tienen distribuciones parciales","n/a","n/a"
"BN-025","15.4.3. Raíz eucariota y corredor filogenético","NO LOCALIZADO EN ESTA SESIÓN","edad de corona de Apusomonadida con al menos dos linajes internos muestreados","""Apusomonadida crown age divergence time""; ""Apusomonadida crown molecular clock""; fundamento: S126 Table S7 nodo 345 fecha el tallo Apusomonadida–Opisthokonta, 1.036,8–1.277,6 Ma, no la corona; sólo hay un terminal apusomonádido","n/a","n/a"
"BN-027","15.4.3. Raíz eucariota y corredor filogenético","NO LOCALIZADO EN ESTA SESIÓN","carácter morfológico universal y exclusivo que diagnostique Holomycota completo","""Holomycota morphological synapomorphy universal""; ""Holomycota diagnostic morphology""; fundamento: S542 describe la separación como molecular y S543 identifica sinapomorfías moleculares de Aphelida+Fungi, no morfología universal de Holomycota","n/a","n/a"
"BN-028","15.4.3. Raíz eucariota y corredor filogenético","NO LOCALIZADO EN ESTA SESIÓN","carácter morfológico universal y exclusivo que diagnostique Holozoa completo","""Holozoa morphological synapomorphy universal""; ""Holozoa diagnostic morphology""; fundamento: S130 aporta caracteres moleculares y S126 filogenómica; flagelos, filopodios, paredes, coenocitos y trofismos son parciales o convergentes","n/a","n/a"
"BN-031","15.4.3. Raíz eucariota y corredor filogenético","NO LOCALIZADO EN ESTA SESIÓN","edad de corona de Corallochytrea bajo una circunscripción taxonómica explícita y multiespecífica","""Corallochytrea crown age molecular clock""; ""Corallochytrea divergence time multiespecies""; fundamento: S544 circunscribe históricamente Corallochytrium; S126 usa Pluriformea/Corallochytrea operacionalmente y el nodo 115 sólo puede reutilizarse si se declara esa equivalencia","n/a","n/a"
"BN-034","15.4.3. Raíz eucariota y corredor filogenético","LA LITERATURA DECLARA QUE NO SE SABE","raíz interna de Holozoa unicelular robusta a matriz, modelo y muestreo","S126 Results y fig. 5: Pluriformea-sister, Teretosporea-sister e Ichthyosporea-sister, con señales débiles e incongruentes de concordancia","n/a","n/a"
"BN-093","15.4.4. Registro material, tiempo, ambiente y ecología","NO LOCALIZADO EN ESTA SESIÓN","Fósil diagnóstico o calibración segura de Filozoa o Choanozoa sensu stricto","`Filozoa fossil diagnostic`; `choanoflagellate animal common ancestor fossil`; `Apoikozoa fossil`","S500 describe un fósil putativo de coanoflagelado del Cenomaniano–Turoniano con célula, flagelo apical y sin collar preservado; la afinidad propuesta no constituye diagnóstico nodal ni calibración segura.","C-785"
"BN-095","15.4.4. Registro material, tiempo, ambiente y ecología","NO LOCALIZADO EN ESTA SESIÓN","Temperatura media global mesoproterozoica comparable entre proxies","`Mesoproterozoic global mean temperature proxy estimate`; `Mesoproterozoic temperature quantitative reconstruction`","S501 estima 26,9 ± 0,4 °C para agua marina local de la Formación Xiamaling, aproximadamente a 1,36 Ga; no es una media global ni una síntesis homogénea entre proxies.","C-827"
"BN-096","15.4.4. Registro material, tiempo, ambiente y ecología","NO LOCALIZADO EN ESTA SESIÓN","Serie homogénea de Mo, Fe, Cu, Zn, Ni y Co para todo el Proterozoico","`Proterozoic trace metal Mo Fe Cu Zn Ni Co quantitative time series`; `Proterozoic seawater trace metals compilation`","El Sedimentary Geochemistry and Paleoenvironments Project reúne mediciones heterogéneas de rocas sedimentarias, elementos, matrices y contextos; no constituye una curva homogénea de concentraciones del agua marina para los seis metales y todo el Proterozoico.","C-820"
"BN-097","15.4.4. Registro material, tiempo, ambiente y ecología","NO LOCALIZADO EN ESTA SESIÓN","Fracciones de volumen y profundidades globales únicas para océano óxico, ferruginoso y euxínico","`global fraction oxic ferruginous euxinic Proterozoic ocean`; `Mesoproterozoic ocean redox area fraction`","S503 modela más de 54% del área del fondo marino bajo agua oxigenada durante el Miembro III de Gaoyuzhuang, aproximadamente a 1,57 Ga, y S189 modela áreas normalizadas de anoxia y euxinia; ninguno ofrece porcentajes de volumen, profundidades universales ni una partición cerrada de los tres estados.","C-813; C-842"
"BN-098","15.4.4. Registro material, tiempo, ambiente y ecología","NO LOCALIZADO EN ESTA SESIÓN","Densidad celular de comunidades proterozoicas atribuibles al corredor","`Proterozoic microbial eukaryote cell density abundance estimate`; `Mesoproterozoic protist abundance cells`","S504 cuantifica ocurrencias y riqueza taxonómica de eucariotas proterozoicos; esas curvas no se convierten en células por volumen de agua ni aíslan comunidades del corredor.","C-835"
"BN-099","15.4.4. Registro material, tiempo, ambiente y ecología","NO LOCALIZADO EN ESTA SESIÓN","Escala geográfica única de dispersión de eucariotas microbianos del corredor","`choanoflagellate biogeography distance population structure`; `filasterean dispersal population genetics`; `ichthyosporean biogeography`","S505 reconstruye distribuciones por estaciones, provincias y profundidad a partir de marcadores en el océano global, pero no estima distancias de dispersión ni una escala común a las poblaciones del corredor.","C-836"
"BN-100","15.4.4. Registro material, tiempo, ambiente y ecología","NO LOCALIZADO EN ESTA SESIÓN","Umbral universal o EC50 de EroS","`EroS dose threshold Salpingoeca rosetta chondroitinase concentration`; `Vibrio fischeri EroS units mating dose`","S203 informa actividad inductora a 5 pM, la menor dosis activa ensayada; no es una EC50 ni un umbral universal fuera de esa cepa y protocolo.","C-865"
"BN-101","15.4.4. Registro material, tiempo, ambiente y ecología","NO LOCALIZADO EN ESTA SESIÓN","Cinética comparable de reversión al retirar RIF-1, EroS o condiciones de agregación","`Salpingoeca rosetta RIF withdrawal reversibility`; `EroS washout mating reversal`; `Capsaspora aggregate reversal kinetics`","S427 cuantifica en Capsaspora inicio de agregación hacia 20 min, desagregación completa tras unas 26 h y reagregación hacia 10 min al reañadir suero; no hace comparables retirada de RIF-1, EroS y agregación entre protocolos.","C-930"
"BN-102","15.4.4. Registro material, tiempo, ambiente y ecología","NO LOCALIZADO EN ESTA SESIÓN","Tasas comparables de ingestión y aclaramiento para todos los linajes solicitados","`Monosiga Salpingoeca clearance rate bacteria`; `apusomonad feeding rate`; `breviate ingestion rate`; `filasterean clearance rate`; `ichthyosporean feeding rate`","S506 mide 35–65 bacterias célula⁻¹ h⁻¹ para Salpingoeca asociada a diatomeas y S477 informa 0–3,1 bacterias individuo⁻¹ h⁻¹ para Choanoflagellida ambiental con microesferas; las presas, diseños y denominadores difieren y faltan medidas comparables para los demás linajes.","C-912; C-957–C-958"
"BN-108","15.4.4. Registro material, tiempo, ambiente y ecología","NO LOCALIZADO EN ESTA SESIÓN","Tasa de división o tiempo de generación de un apusomonádido bajo condiciones cuantificadas","`Thecamonas trahens doubling time`; `Thecamonas trahens growth rate culture`; `apusomonad generation time`; `Apusomonadida cell division rate`","S519 da condiciones de mantenimiento y repique de Thecamonas trahens, no tiempo de generación; S507 describe distribución y alimentación de un apusomonádido sin publicar una curva de crecimiento con tasa comparable.","C-1619"
"BN-109","15.4.4. Registro material, tiempo, ambiente y ecología","NO LOCALIZADO EN ESTA SESIÓN","Duración única aplicable a una transición redox de cualquier cuenca proterozoica","`Proterozoic basin redox transition duration kyr`; `ocean basin euxinic ferruginous transition timescale`; `how fast basin redox state changes Proterozoic`","S508 reconstruye oxigenación prolongada en un intervalo local de aproximadamente 1,4–1,3 Ga, pero el intervalo muestreado y sus proxies no equivalen a la duración universal de una transición de cuenca; los análogos cretácicos de S459 tampoco se transfieren como constante.","C-1634–C-1635"
"BN-112","15.4.4. Registro material, tiempo, ambiente y ecología","NO LOCALIZADO EN ESTA SESIÓN","Recuento pan-eucariota de pérdidas independientes de fagocitosis con una codificación uniforme","`independent losses phagocytosis across eukaryotes count`; `phagocytosis loss ancestral state reconstruction eukaryotes`; `how many losses of phagotrophy eukaryotes`","S509 reconstruye cuatro transiciones independientes hacia especialización osmotrófica en Fungi, Teretosporea, Pseudofungi y Labyrinthulea; ese muestreo no es un inventario pan-eucariota uniforme de todas las pérdidas de fagocitosis.","C-1659"
"BN-038","15.4.5. Asociación, integración y transferencia","NO LOCALIZADO EN ESTA SESIÓN","recuperación autónoma de vida libre por el mismo endosimbionte obligado y genómicamente reducido","`obligate endosymbiont regain free living`; `reversal obligate intracellular symbiont to free living`; `genome reduced symbiont return to free living`","S510, S520 y S521 distinguen pérdida, reemplazo, extinción y dificultad de cultivo; no documentan que el mismo linaje obligado y reducido recupere una vida libre autónoma.","n/a"
"BN-040","15.4.5. Asociación, integración y transferencia","NO LOCALIZADO EN ESTA SESIÓN","EGT funcional demostrada desde Nephroselmis al núcleo de Hatena y contexto nuclear completo","`Hatena Nephroselmis endosymbiotic gene transfer genome`; `Hatena arenicola nuclear genes symbiont`; `Hatena EGT`","El informe del proyecto S511 enumera 30 genes como posibles candidatos de EGT en Hatena; no aporta en una publicación primaria revisada por pares el genoma nuclear completo, localización y validación funcional que demuestren transferencia desde el simbionte capturado.","n/a"
"BN-043","15.4.5. Asociación, integración y transferencia","NO LOCALIZADO EN ESTA SESIÓN","trayectoria universal de pérdida de genes por unidad de tiempo","`endosymbiont gene loss rate genes per million years`; `symbiont genome reduction trajectory time curve`; `Buchnera gene loss rate`","S512 reconstruye en Enterobacterales una fase de pérdida acelerada al originarse la endosimbiosis y erosión posterior más lenta, pero no establece una tasa universal en genes por millón de años transferible entre linajes.","n/a"
"BN-044","15.4.5. Asociación, integración y transferencia","NO LOCALIZADO EN ESTA SESIÓN","predictor empírico único de dependencia obligada","`predict transition obligate symbiosis empirical criterion`; `point of no return endosymbiosis predictor`; `symbiosis obligacy transmission genome size predictor`","S513 encuentra en insectos que el aporte de vitaminas B es el correlato nutricional consistente de simbiosis obligada en su muestreo; no es una regla suficiente y necesaria para cualquier asociación.","n/a"
"BN-045","15.4.5. Asociación, integración y transferencia","NO LOCALIZADO EN ESTA SESIÓN","rendimiento energético comparable de todo el gradiente mitocondrial","`ATP yield aerobic mitochondrion anaerobic mitochondrion hydrogenosome mitosome comparison`; `MRO ATP yield comparative`","S514 distingue mitocondrias aerobias y anaerobias, mitocondrias productoras de H₂, hidrogenosomas que producen ATP y mitosomas sin producción de ATP; las vías y sustratos no admiten un denominador experimental común de ATP por glucosa.","n/a"
"BN-046","15.4.5. Asociación, integración y transferencia","NO LOCALIZADO EN ESTA SESIÓN","coste neto comparable para el hospedador en todas las asociaciones","`host net cost symbiosis comparative energetic cost endosymbiont`; `metabolic cost host maintaining endosymbiont quantitative`","S515 modela que simbiontes de ≤0,3 Mb reciclan aproximadamente 30–80% del N derivado del hospedador frente a 10–15% para genomas de ≥0,6 Mb; S516 muestra costes fisiológicos variables en pulgones. Son sistemas y denominadores específicos, no una medida neta común.","n/a"
"BN-048","15.4.5. Asociación, integración y transferencia","NO LOCALIZADO EN ESTA SESIÓN","fracción genómica comparable ocupada por elementos móviles en todos los linajes del corredor","`choanoflagellate filasterean ichthyosporean transposable element genome percentage`; `Holozoa transposable element load comparative`; `Opisthokonta mobile element genome fraction`","S434 informa aproximadamente 5–9% de elementos transponibles en varias especies holozoas y menos de 2,5% en otras, con cifras adicionales para TE más repeticiones simples y ensamblajes fragmentados; S352 aporta al menos 9% para Capsaspora y 1% para Monosiga. No existe una medición homogénea pan-corredor.","n/a"
"BN-110","15.4.5. Asociación, integración y transferencia","NO LOCALIZADO EN ESTA SESIÓN","Recuento global actualizado y metodológicamente uniforme de pérdidas, reducciones y degradaciones mitocondriales independientes","`independent origins mitosomes hydrogenosomes count all eukaryotes`; `global count mitochondrial organelle reduction losses`; `how many independent mitochondrial genome losses eukaryotes`","S457 da mínimos históricos por categoría y S281 incorpora estados actuales no equivalentes; no se localizó un metaanálisis actualizado con una codificación única de pérdida de mtDNA, MRO y pérdida completa del orgánulo.","n/a"
"BN-111","15.4.5. Asociación, integración y transferencia","NO LOCALIZADO EN ESTA SESIÓN","Cronología completa y comparable desde el inicio de cada endosimbiosis del corpus hasta cada etapa de integración presente","`time from endosymbiosis origin to organelle integration comparative`; `endosymbiosis age integration timeline mitochondria plastid Paulinella UCYN Epithemia`; `duration organellogenesis endosymbiotic gene transfer`","Se integraron edades o límites de clado para Paulinella (90–140 Ma), Rhopalodiaceae (~12 Ma o <35 Ma según nodo y muestreo) y una asociación UCYN-A ancestral inferida hacia la divergencia de ~91 Ma; son anclas y estados actuales, no series que daten reducción, EGT, importación y coordinación de división en cada sistema.","n/a"
"BN-113","15.4.5. Asociación, integración y transferencia","NO LOCALIZADO EN ESTA SESIÓN","Estimación pan-eucariota de la frecuencia de origen del parasitismo intracelular o de la simbiosis obligada","`global number independent origins intracellular parasitism across eukaryotes`; `frequency evolution obligate endosymbiosis eukaryotes estimate`; `pan-eukaryotic estimate intracellular parasite obligate symbiosis`","S517 reconstruye al menos 223 orígenes de parasitismo en 15 filos animales y S513 al menos 16 orígenes de simbiosis obligada en 89 familias de insectos; no son recuentos de parasitismo intracelular ni un denominador pan-eucariota comparable.","n/a"
"BN-049","15.4.6. Rasgos con costo y controversia energética","NO LOCALIZADO EN ESTA SESIÓN","presupuesto integrado de construcción y operación de un núcleo ancestral completo","""energetic cost whole nucleus ancestral eukaryote""; ""ATP cost nucleus LECA""; ""nucleocytoplasmic transport GTP energetic cost""","S307 y S312/S313 cuantifican membrana y poros; Scott et al. 2024 (10.1083/jcb.202308152) demuestra dependencia de Ran-GTP del transporte. Ninguna fuente integra envoltura, poros, cromatina, nucléolo, transporte, reparación y recambio para FECA o LECA.","n/a"
"BN-050","15.4.6. Rasgos con costo y controversia energética","NO LOCALIZADO EN ESTA SESIÓN","presupuesto total del sistema endomembranoso ancestral","""energetic cost entire endomembrane system""; ""ATP budget ER Golgi vesicles protist""; ""ancestral proto-ER fitness pinocytosis""","S342, ya publicado en Cell Reports en 2025 (10.1016/j.celrep.2025.115533), modela proto-RE y pinocitosis: el primero puede mejorar aptitud y la segunda no lo hace en los rangos examinados. El modelo no suma RE, Golgi, endosomas, lisosomas, motores, contenidos y regulación del sistema completo.","n/a"
"BN-051","15.4.6. Rasgos con costo y controversia energética","NO LOCALIZADO EN ESTA SESIÓN","ATP neto por evento de fagocitosis en un holozoo unicelular","""ATP per phagocytosis event protist""; ""energetic cost ingestion choanoflagellate""; ""ATP consumption endocytosis particle cell""","Los estudios localizados demuestran suministro o consumo relativo de ATP durante fagocitosis/endocitosis en células animales, pero no normalizan por partícula ni corrigen resíntesis. No se localizó ATP por presa en coanoflagelados, filastereos o ictiospóreos.","n/a"
"BN-052","15.4.6. Rasgos con costo y controversia energética","NO LOCALIZADO EN ESTA SESIÓN","presupuesto de construcción, importación, operación y recambio de un peroxisoma completo","""ATP cost whole peroxisome""; ""peroxisome energy budget PEX import""; ""PEX1 PEX6 ATP per import""","PEX1/PEX6 y el reciclado de PEX5 demuestran pasos dependientes de ATP, pero no aportan ATP por importación ni un balance que integre membrana, proteoma, metabolitos, división y pexofagia.","n/a"
"BN-053","15.4.6. Rasgos con costo y controversia energética","NO LOCALIZADO EN ESTA SESIÓN","comparación energética de mitosis abierta, cerrada y semiabierta bajo un denominador común","""energy cost open closed mitosis ATP protist""; ""closed mitosis energetic cost""; ""open versus closed mitosis calorimetry""","La literatura compara arquitectura y ciclo vital; la calorimetría embrionaria localizada integra replicación, mitosis y división y no aísla la modalidad nuclear. No se encontró una comparación en células equivalentes con el mismo genoma, ploidía y tiempo de ciclo.","n/a"
"BN-054","15.4.6. Rasgos con costo y controversia energética","NO LOCALIZADO EN ESTA SESIÓN","balance neto integrado de una mitocondria ancestral","""total energetic cost mitochondrion construction operation""; ""proto-mitochondrion cost budget""; ""mitochondrion net energetic balance import turnover""","Se publicaron términos de membrana, potencial, importación y presupuestos celulares actuales, pero no una suma de biogénesis, operación y recambio que reste el ATP producido por el proto-mitocondrio.","n/a"
"BN-055","15.4.6. Rasgos con costo y controversia energética","NO LOCALIZADO EN ESTA SESIÓN","coste energético de adhesión en coanoflagelados o filastereos","""ATP cost adhesion choanoflagellate""; ""Capsaspora adhesion energetic cost""; ""Cupidon adhesion growth fitness""","Se cuantificaron mecanismo, reversibilidad, reagrupamiento y proliferación; el preprint Cupidon de 2026 (10.64898/2026.06.27.734982) no detectó defecto de proliferación por adhesión ectópica en el ensayo. Es un proxy de aptitud, no ATP ni presupuesto energético de adhesión (C-1359).","n/a"
"BN-056","15.4.6. Rasgos con costo y controversia energética","NO LOCALIZADO EN ESTA SESIÓN","presupuesto energético total de señalización en un organismo del corredor","""energetic cost signaling choanoflagellate""; ""ATP budget signaling protist""; ""choanoflagellate p38 calcium signaling energy cost""","Se resolvieron rutas funcionales p38, Ca²⁺ y Cupidon, además de ciclos locales de nucleótidos, pero ninguna fuente suma ATP/GTP, gradientes, receptores y efectores para la red completa.","n/a"
"BN-057","15.4.6. Rasgos con costo y controversia energética","NO LOCALIZADO EN ESTA SESIÓN","presupuesto que asigne exhaustivamente todos los rasgos en un mismo protista","""complete ATP budget organelles protist nucleus mitochondria cytoskeleton""; ""whole-cell ATP budget protist residual""","S341 ofrece el mejor control integrado localizado: 6,0 × 10^11 ATP por célula y ciclo de 5,3 h en Trypanosoma brucei, con un 5,5 % residual publicado. Solo se conservan esas cifras y se retiró la fracción asignada reconstruida en una versión anterior. Incluye extrapolaciones y no descompone exhaustivamente los rasgos del corredor, por lo que no cierra la solicitud exacta.","n/a"
"BN-058","15.4.6. Rasgos con costo y controversia energética","NO LOCALIZADO EN ESTA SESIÓN","presupuesto energético homogéneo y descompuesto de FECA o LECA","""LECA energy budget ATP""; ""FECA bioenergetic budget reconstruction""; ""ancestral eukaryote modular energy budget""","Existen módulos cuantitativos para membranas/poros, proto-RE, mitocondria, flagelo y un protista moderno, pero usan organismos y denominadores incompatibles. No se localizó una suma publicada y homogénea para FECA o LECA.","n/a"
"BN-059","15.4.7. Sexo, meiosis y ciclo vital","NO LOCALIZADO EN ESTA SESIÓN","Ciclo sexual observado de Capsaspora owczarzaki","""Capsaspora owczarzaki"" mating meiosis sexual cycle observed; Capsaspora karyogamy gametes; Capsaspora sex culture","Los trabajos publicados hasta 2026 ampliaron agregación, conducta y señalización de Capsaspora, pero no observaron plasmogamia, cariogamia, meiosis ni progenie recombinante. La fusión de Ministeria no es transferible a Capsaspora.","n/a"
"BN-060","15.4.7. Sexo, meiosis y ciclo vital","NO LOCALIZADO EN ESTA SESIÓN","Coste energético de un episodio sexual en holozoos unicelulares","choanoflagellate mating ATP cost; protist sex energetic cost per mating; Capsaspora meiosis energy budget; Salpingoeca mating metabolic cost","Hay ventanas de oportunidad cuantificadas —aproximadamente 11 días y <2 % por inanición histórica; enjambres desde 15 min, apareamiento desde 30 min y cruces de 16 h con EroS—, pero tiempo y frecuencia no equivalen a ATP ni a un balance metabólico por episodio.","n/a"
"BN-061","15.4.7. Sexo, meiosis y ciclo vital","NO LOCALIZADO EN ESTA SESIÓN","Coste natural de encontrar pareja en Salpingoeca rosetta","Salpingoeca rosetta mate finding cost encounter rate field mating; choanoflagellate mating search time natural; EroS swarm density fusion latency","En cultivo se midieron densidades inductoras, enjambres de 2–50 células, latencia y fusión en unos 3 min tras emparejamiento; por inanición, contacto de 10–30 min y fusión de 5–8 min. No hay tasa de encuentro, mortalidad ni pérdida de crecimiento atribuible a búsqueda en el ambiente natural.","n/a"
"BN-062","15.4.7. Sexo, meiosis y ciclo vital","LA LITERATURA DECLARA QUE NO SE SABE","Secuencia sexual completa en Sphaeroforma, Creolimax, Abeoforma o Pirum","Sphaeroforma arctica sex meiosis mating; Creolimax fragrantissima sexual cycle; Abeoforma meiosis; Pirum sex karyogamy","La revisión específica de Ichthyosporea de 2024 (S133) declara que la existencia de meiosis en el grupo sigue incierta. Los ciclos descritos para los cuatro taxones son asexuales o no permiten reconocer singamia, cariogamia y meiosis completas.","n/a"
"BN-063","15.4.7. Sexo, meiosis y ciclo vital","NO LOCALIZADO EN ESTA SESIÓN","Curva temporal de desagregación y retorno basal después de retirar EroS","EroS washout reversibility Salpingoeca mating cessation recovery; chondroitinase induced mating reversible; EroS two washes 16 hours","Woznica et al. retiraron EroS tras 16 h mediante dos lavados para impedir apareamiento adicional. El protocolo demuestra terminación operacional de nueva inducción, pero no mide cuánto tarda la desagregación, el retorno fenotípico basal o la recuperación de sensibilidad.","n/a"
