"id_revision","estrato","clave_matriz","tipo_revision","seleccion","resultado","revisor_independiente","declaracion_independencia","fecha","evidencia","accion","estado_cierre","huella_objeto_sha256"
"REV-00012","AFIRMACION","C-016","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","dcee7ce2d654af218fc416379666bba557078b324597a3c0cc67b80647edf26c"
"REV-00013","AFIRMACION","C-017","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","660586e6819f08ce93b1d36689d2d8b1e6ea2a4533f9486135445601498ef27e"
"REV-00014","AFIRMACION","C-018","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","01666f32a120d0bf3f9b9993da968b1300294311fe686f7460d9b85d99c90e86"
"REV-00015","AFIRMACION","C-019","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","46bf0fc210d03ecf60273fcf19ecee6bdbe8178f898cbf17ca01d4e09e19c9f6"
"REV-00016","AFIRMACION","C-020","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","994ed09cf9e3241e07103c36402bc1b637eb4df578314af4d5aa0466e4b3bef8"
"REV-00017","AFIRMACION","C-021","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","d5ec620028da3bef8d5e6d013114baff71d12813bff15af3f69674de451eb3a2"
"REV-00018","AFIRMACION","C-022","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","0110c5c715eba5c1390657701f040edc9b75209b78f232d5c745ac8e9d5b8514"
"REV-00019","AFIRMACION","C-023","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","431e7b39ac5c166f312398b73299eb50dafb55e4a9e30c6ca33e968416bbc3f0"
"REV-00020","AFIRMACION","C-024","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","371a2ac0d8a20d900f708319c9148bc7bd37eeabe92386eb726137c7e1138d05"
"REV-00021","AFIRMACION","C-025","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","cc5063438975c50edbe3385ee43e69abeae9a31ec0fd1df413991c58df217201"
"REV-00022","AFIRMACION","C-026","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","6676330a5781d811832acba4ce0a4da37a0785cdcf2baf6b69abb049c25aebaa"
"REV-00023","AFIRMACION","C-027","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","a8a10b8c9a8445b69407f6627993e2b5e688f316421243736f19e6015c2da7c9"
"REV-00024","AFIRMACION","C-028","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","ec1dd90ea4cef2d1c6a67521e060a5e70eaf4d053809b99b95ff38fd86d25b19"
"REV-00025","AFIRMACION","C-029","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","b27a71350c38a9bc9abe969d79e1b2207da30490b8b960d9e2210383dc10c93e"
"REV-00026","AFIRMACION","C-030","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","f8d950693442aed9014deb3665fd9dda04454133e01f3e56b4f5e34b3d765427"
"REV-00027","AFIRMACION","C-031","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","87a51627b0480422847116ac0a765177f0f18c6fd08685ef32657ff636819ad8"
"REV-00028","AFIRMACION","C-032","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","c74a9982c9c774133674ca6bdc01fb1688956a3437a13b0eca8991d9679c8a16"
"REV-00029","AFIRMACION","C-033","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","1f9851b4f8899365a6e3d453e1deab7fe19e5e744978f64db976e7c056f15907"
"REV-00030","AFIRMACION","C-034","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","79fe2002aa9b2185acbcb9ccbaf72277ece3320d6c9e5f33d016538956585222"
"REV-00031","AFIRMACION","C-035","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","f34098904dd38eb4b447c0a1786e369e9f1fe8aa7e4be3b36a27844b0c5fea65"
"REV-00032","AFIRMACION","C-036","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","ccf5ac7c4a582502e85f128a7de15b2d1c9317bccf7122c896b2a2d9ffdd67b3"
"REV-00033","AFIRMACION","C-037","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","91c40a81f5cf8d55714550cf5ae41c92dc0b5c511c000791866f2d0997d099eb"
"REV-00034","AFIRMACION","C-038","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","2b19e02313fb77b375516987db26dbb86a2a61d3932369b8b4028f741ddf2e67"
"REV-00035","AFIRMACION","C-039","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","4ac70fdbb402de6a032a1893a5c34806d6b2a380220b2451079b4fe73daedb2b"
"REV-00036","AFIRMACION","C-040","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","23dc83dc4bb21af6d6430fbb7173009d7533189fcf0031d64a0953cf934ab613"
"REV-00037","AFIRMACION","C-041","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","5411c5c149e5b13ceef5858a6495d50e8076868b46f1697824c3ff99146a3546"
"REV-00038","AFIRMACION","C-042","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","68757255c0d752462bceeefa56c2211c9809fc3909a1d2f460b35fc3d91aec84"
"REV-00039","AFIRMACION","C-043","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","eb5c46f0730ce728edd5c1e7f6efd5f21059d454ebbffe6136a14b868ec85437"
"REV-00040","AFIRMACION","C-044","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","406b8004583dd5b20dd42bd6d9481f3ca2674e07a4ac31a2dcf79c3d442e8c09"
"REV-00041","AFIRMACION","C-045","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","ec1ed64551c47d46a3ef67b820a6f8b2590b982b66d3383e8b1cddcac24853eb"
"REV-00042","AFIRMACION","C-046","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","bf461f777172d9a1a5e01acb5cba51b5d4030498cb893b2cd5e2c289b1bf02e5"
"REV-00043","AFIRMACION","C-047","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","3b83ab2123bb1dbe4dcbb30a085d3f033fdcf69f2ba8d3b361094f312ed53a8e"
"REV-00044","AFIRMACION","C-048","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","67669ac4149f660d0e5ead4933b8dc6ce2fd14267cf04c13a11e796b9bdb7761"
"REV-00045","AFIRMACION","C-049","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","2cd374ff7b7b76eef5df829f7054783914fa391beee4f3db70bb2f4bc78f572e"
"REV-00046","AFIRMACION","C-050","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","7db2dd27136be75ecf992b4983338728a488742a09fabf1872a1a94ddc603af9"
"REV-00047","AFIRMACION","C-051","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","1d2e66eb784dea7ad39d5c31d8dab3f73fef5f9c4b07877b16c871776ba56b03"
"REV-00048","AFIRMACION","C-052","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","4b63a7fed25a042849b11149e10831035569d496b2feddba1e858a4672f1d2f9"
"REV-00049","AFIRMACION","C-053","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","be8c9006e41bc8e169b6e43c10e886d7db3fad3826f59d7bcb8c0c7733571dbe"
"REV-00050","AFIRMACION","C-054","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","e09821878407a15a6289a56f8c3cf3e90cbc63ee56d6c8fc7351fc7a4502fec1"
"REV-00051","AFIRMACION","C-055","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","dbd452f69b86d6e42147db22dfd060913aba2fc3a3579f8316e858bb8a245128"
"REV-00052","AFIRMACION","C-056","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","e5f0ea79c98be91cc94aebafb9463ca538ba70c597b7ee084c2ebb57ade9d437"
"REV-00053","AFIRMACION","C-057","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","7245f78c8923e119356775c7c417951d7b3315ac230fd073e39c5d6d89e74684"
"REV-00054","AFIRMACION","C-058","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","1c9743770793da77c7f5651cf9a0076c2f89c1250fbc928a131a0bdf0f41d450"
"REV-00055","AFIRMACION","C-059","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","b28bebb47437918d0f36b5812174e693a08cacdc9085763f57891c5d8d9255d7"
"REV-00056","AFIRMACION","C-060","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","6a7c1d316f0f07edba4a205dea1460caa74c36a2b31a573f2915f463db5316f9"
"REV-00057","AFIRMACION","C-061","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","1af2261bd710f5b9c07c80c5961326e9d0752448d9d1a79fa5552a40b279173c"
"REV-00058","AFIRMACION","C-062","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","a3b83b9cfb59f8b3a06bf871f449acbd2aa889a79c3e0675b4b2ccd75427e152"
"REV-00059","AFIRMACION","C-063","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","fedabc9363410cb259cf45ae8f7f83aaaf8e4a5132eb764ef3043c5885f59952"
"REV-00060","AFIRMACION","C-064","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","91f9cec516e76ae987fb3b0d860d8834bb278d721f15cfc993db75e2f6c7a534"
"REV-00061","AFIRMACION","C-065","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","c67f1137b34f331ac607717850f7d5ce9d5da801f7ab37bb23844371cfff0862"
"REV-00062","AFIRMACION","C-066","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","f7028aad107a18a375b796558295480f97f78a7aa6c313210d6dbd9b92479473"
"REV-00063","AFIRMACION","C-067","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","5dee43927813538d7e97051ff863c7179d3fc21cde9fdafcfc162deb7dd748c8"
"REV-00064","AFIRMACION","C-068","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","830686dd32130b861ce81e19ea4d22a64d0151ae510b375102ffe9acc22c65ae"
"REV-00065","AFIRMACION","C-069","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","091a21f87fe873225c77be5d9f61d15671e1ecdefd769aed5a723922f1c85192"
"REV-00066","AFIRMACION","C-070","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","d5372659ca3b106ae6293f2d69e852f93ab163078a36ebf1635f4c917ce6e16e"
"REV-00067","AFIRMACION","C-071","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","ad8b47e8beb23a2065d53814ca9454afb628b7687511f3558f81317d596a2d19"
"REV-00068","AFIRMACION","C-072","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","7ba02bf3ba1507b99f1b6522daf154f58266a57a4e40d209991cad44f6a15632"
"REV-00069","AFIRMACION","C-073","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","efdebb58b168468244e664c007dfba766fdfa4456f6ef9093c2395bd0efd7482"
"REV-00070","AFIRMACION","C-074","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","198772166b1227e492a3253a687dbb4e0c57ee255771bfaa5aad57aac118046c"
"REV-00071","AFIRMACION","C-075","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","5674929aeb4704b93f53e8ef60b29bde6cf59363205affac6e29047ecd2e80c8"
"REV-00072","AFIRMACION","C-076","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","e8ea76673df188f3c02df23d345751c689d26ac402994cc669ae957691ea3f0d"
"REV-00073","AFIRMACION","C-077","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","a6b9292a0733e8794a196f9d3772b7a6102a4bd795dba46f431f17b0f7b18a91"
"REV-00074","AFIRMACION","C-078","CORRECCION_P0_P1","CENSO_100_PCT","PENDIENTE","NO_ASIGNADO","PENDIENTE","n/a","PENDIENTE: ninguna segunda inspección independiente se atribuye por generación automática.","Asignar revisor independiente y documentar objeto, prueba y resultado.","ABIERTO","46f9a34ac2b06295fa1c6f3905843e3ff2128bc661135da24d1e5ff07f112a91"
