"id_requisito","seccion_prompt","ancla","requisito_literal","estado_inicial","estado_final","afirmaciones_iniciales","afirmaciones","tablas_iniciales","tablas","fuentes_iniciales","fuentes","busqueda_negativa_inicial","busqueda_negativa","accion_inicial","accion","evidencia_inicial","evidencia","huella_inicial_sha256"
"R-0011","0","L12","No estimes, no interpoles, no redondees y no des un orden de magnitud «razonable».","INCUMPLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","ELIMINAR los puntos medios C-498/C-506/C-514/C-522/C-530/C-562/C-570/C-578/C-586/C-594, la amplitud C-739 y el complemento 94,5 % de C-1289; conservar solo valores publicados","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.000; términos distintivos coincidentes=ninguno; requiere verificación semántica humana","Ancla literal L12; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","79a5f628be29c09177f86c9952f5c4404f2639fe615c9c6ebbe34dea6a0680c5"
"R-0012","0","L12","Un hueco declarado lo puedo usar; una cifra verosímil sin fuente me estropea todo lo que construya encima de ella.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «Un hueco declarado lo puedo usar; una cifra verosímil sin fuente me estropea todo lo que construya encima de ella.» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.000; términos distintivos coincidentes=ninguno; requiere verificación semántica humana","Ancla literal L12; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","efae02f398c4935d87306d6009905b814821426ae943f5216caf6affb2a9df14"
"R-0013","0","L13","No cites de memoria.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «No cites de memoria.» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.000; términos distintivos coincidentes=ninguno; requiere verificación semántica humana","Ancla literal L13; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","5465f16cdac931ecff6627ec479835209b7c81500f648819be847f8a2eda694e"
"R-0014","0","L13","Cita únicamente trabajos que hayas recuperado en esta sesión.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «Cita únicamente trabajos que hayas recuperado en esta sesión.» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.000; términos distintivos coincidentes=ninguno; requiere verificación semántica humana","Ancla literal L13; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","a4f954e881b3abc710c28a662c8f5b708ec4a43a1e6217670763907777f20e61"
"R-0015","0","L13","No reconstruyas un DOI a partir del patrón habitual de la revista: si no lo tienes verificado, escribe DOI no verificado y da la URL que sí recuperaste.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «No reconstruyas un DOI a partir del patrón habitual de la revista: si no lo tienes verificado, escribe DOI no verificado y da la URL que sí recuperaste.» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.111; términos distintivos coincidentes=partir; requiere verificación semántica humana","Ancla literal L13; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","06c297ccf321bfd7a00e4bb201b9800fb4bc0ad956a131c7f9459855d9629c49"
"R-0016","0","L13","Si recuerdas un trabajo relevante y no consigues recuperarlo, no lo cites: menciónalo en la sección de huecos como trabajo conocido no recuperado.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «Si recuerdas un trabajo relevante y no consigues recuperarlo, no lo cites: menciónalo en la sección de huecos como trabajo conocido no recuperado.» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.091; términos distintivos coincidentes=seccion; requiere verificación semántica humana","Ancla literal L13; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","f1ea51fd9f4edc4e6ff7dafbf976a022e0e1cbb1614e7f1c5e23ca00a1d4f376"
"R-0017","0","L13","Prefiero una laguna declarada a una referencia que no resuelve.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «Prefiero una laguna declarada a una referencia que no resuelve.» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.000; términos distintivos coincidentes=ninguno; requiere verificación semántica humana","Ancla literal L13; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","bef88ef7f3268d77d8402672a9c53d0fb76cabd94de6448ec69d660a11937c88"
"R-0018","0","L14","No diseñes el juego.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «No diseñes el juego.» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.000; términos distintivos coincidentes=ninguno; requiere verificación semántica humana","Ancla literal L14; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","bafa05022044f21af096e8c84945d16d1836874fd3aaa3f257c14e8bda0246eb"
"R-0019","0","L14","Este material alimentará una base de conocimiento y, más adelante, una simulación.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «Este material alimentará una base de conocimiento y, más adelante, una simulación.» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.000; términos distintivos coincidentes=ninguno; requiere verificación semántica humana","Ancla literal L14; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","a783e3bad11f4c115c87dc342780642e8e20a098c7c190e03398f93df98b7658"
"R-0020","0","L14","No te pido que la diseñes.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «No te pido que la diseñes.» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.000; términos distintivos coincidentes=ninguno; requiere verificación semántica humana","Ancla literal L14; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","e79c491e7c78cfc386ec92c24ef28d747de0614e8fe93ebc7fdc6b12065100b4"
"R-0021","0","L14","No propongas variables, mecánicas, reglas, parámetros ni escalas, no adaptes nada para hacerlo jugable y no simplifiques por anticipado pensando en que alguien tendrá que implementarlo.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «No propongas variables, mecánicas, reglas, parámetros ni escalas, no adaptes nada para hacerlo jugable y no simplifiques por anticipado pensando en que alguien tendrá que implement…» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.000; términos distintivos coincidentes=ninguno; requiere verificación semántica humana","Ancla literal L14; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","bf7b5b592693a8ebfbcb3ad782ac1dfc53153ec7c39ec393c447e0cfd320b26f"
"R-0022","0","L15","Separa los registros.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «Separa los registros.» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.000; términos distintivos coincidentes=ninguno; requiere verificación semántica humana","Ancla literal L15; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","699d6b4c52c9e41b24a6b6be5c93a1ff5eab57d6945d18c5c2a052d5f9d1c539"
"R-0023","0","L15","La prosa puede tener el tono que quieras: viva, con transiciones y comentarios.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «La prosa puede tener el tono que quieras: viva, con transiciones y comentarios.» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.167; términos distintivos coincidentes=puede; requiere verificación semántica humana","Ancla literal L15; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","4d21a54a948d617643581354f4ea88a57e2bf8a29e2a834fc043214698999a21"
"R-0024","0","L15","Las filas del registro de afirmaciones y las celdas de tabla, no: son declarativas, planas, sin ironía, sin metáfora y sin adjetivo valorativo.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «Las filas del registro de afirmaciones y las celdas de tabla, no: son declarativas, planas, sin ironía, sin metáfora y sin adjetivo valorativo.» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.182; términos distintivos coincidentes=afirmaciones, registro; requiere verificación semántica humana","Ancla literal L15; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","bfdc57a3919c1c78962e91403caaa1b46e53fd4953e8476af8abc14a525006ae"
"R-0025","0","L15","Si una fila necesita ironía para funcionar, no es una afirmación.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «Si una fila necesita ironía para funcionar, no es una afirmación.» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.000; términos distintivos coincidentes=ninguno; requiere verificación semántica humana","Ancla literal L15; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","b745eccda45c10b875fdeb6a4ea05c59c8ff32461ef2b88a4990d260957caf95"
"R-0026","0","L16","Conserva el término original.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «Conserva el término original.» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.000; términos distintivos coincidentes=ninguno; requiere verificación semántica humana","Ancla literal L16; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","710ca4ffcdb7e4132e4794a48246aa85b76dc7d23b7165a854d90902dbbc46d2"
"R-0027","0","L16","Escribo en español y la literatura está en inglés.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «Escribo en español y la literatura está en inglés.» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.000; términos distintivos coincidentes=ninguno; requiere verificación semántica humana","Ancla literal L16; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","bd86a7ad1768397930fd1c58967108d5ae7fa570c265854e07db538c9d452400"
"R-0028","0","L16","La primera vez que traduzcas un concepto, un método o una categoría, deja el término inglés entre paréntesis.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «La primera vez que traduzcas un concepto, un método o una categoría, deja el término inglés entre paréntesis.» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.000; términos distintivos coincidentes=ninguno; requiere verificación semántica humana","Ancla literal L16; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","69a3567f015d9eaa2b610ae2a3c318a4b6b0da7e0b898cd7417e91df00e86263"
"R-0029","0","L16","Si yo uso en este encargo un término español que no corresponde a ninguno establecido, dímelo y usa el correcto.","NO_VERIFICABLE","CUMPLE","C-001–C-010","C-001–C-012","n/a","n/a","S01; S02; S03; S04; S05","S01; S02; S03; S04; S05","n/a","n/a","REVISAR semánticamente «Si yo uso en este encargo un término español que no corresponde a ninguno establecido, dímelo y usa el correcto.» oración por oración y celda por celda; asignar C/S/localizador o registrar un hueco, sin inferir cumplimiento por texto parecido","Destino final trazado a C-001–C-012; S01; S02; S03; S04; S05. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/001-00-0-convenciones-probatorias-y-taxonomicas.md; coincidencia léxica auditada=0.000; términos distintivos coincidentes=ninguno; requiere verificación semántica humana","Ancla literal L16; destinos finales: C-001–C-012; S01; S02; S03; S04; S05.","b385e20d423806e350f77cdff64e0a84867f924ac82578785068f385e7c5cc46"
"R-0030","1","L20","Corredor principal, con la máxima resolución:","PARCIAL","NO_APLICA_JUSTIFICADO","n/a","n/a","n/a","n/a","n/a","n/a","n/a","n/a","COMPLETAR «Corredor principal, con la máxima resolución:»: asignar cada submandato a C, tabla, S con localizador o BN reproducible; no aceptar coincidencia léxica como cierre","Destino final trazado a control editorial/determinista. La clasificación de cierre no añade una inspección científica distinta de la ya documentada.","docs/secciones/002-01-1-alcance-del-corpus.md; coincidencia léxica auditada=0.500; términos distintivos coincidentes=corredor, principal; requiere verificación semántica humana","Ancla literal L20; destinos finales: control editorial/determinista.","c1b031db1188e0ef088ed72aa03881905f8511610ad3c7f38c62df668420ebd0"
