"clave_original","bloque_original","disposición_final","resultado_documentado","evidencia_principal","destino_canónico","prioridad_final","desencadenante","delta_auditoria_2026_08_08","huella_inicial_sha256"
"BN-014","15.2","CONSERVADA_REFORMULADA","Kay et al. proponen una cronología parcial de duplicaciones para citoesqueleto, tráfico, núcleo y mitocondria; no un orden completo de innovaciones fenotípicas.","S58, figs. 1–4; Speijer 2026 objeta posibles sesgos de tasa.","BN-014 conserva el orden total residual y documenta la secuencia parcial.","P1","Nuevo protocolo o dataset comparable, o una síntesis causal pertinente.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas o fuente; inicial_sha256=fbef9d4ff51d1a864d08db98b99b4e0e551631a4be434ef3750705d4dc18df03; final_sha256=c1f8bacc2f66c593163333ce4874ce7c266ee079edc4ef354386e504bb6925cd","1c4002e8ae384c7b7e490134d9946ba00835fa9f1b4084fc81e16086d71745cc"
"BN-015","15.2","CONSERVADA_CONFIRMADA","Los modelos de origen del núcleo explican subconjuntos distintos y ninguna evidencia selecciona un mecanismo completo.","S95; Vosseberg 2024; S21; S58.","BN-015 convertida en incertidumbre de campo con predicciones por modelo.","P2","Fuente posterior al corte que satisfaga el blanco literal; vigilancia condicionada sin búsqueda intensiva en ausencia del desencadenante.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas o fuente; inicial_sha256=1889fb14069fc65be2b1fea799b4b94e53a420b55320f533ca141631c0980b8b; final_sha256=986803632f96c158b334d2702e3b9c33ba3d26a561cedc3a09abbe48d0f77dfe","171610320309c75726352ef99ff7c810349ab238f942268fa2d41f1b9c6acb0f"
"BN-016","15.2","CONSERVADA_REFORMULADA","Protrusiones, vesículas, nanotubos y contacto sintrofio son análogos observados; envolvimiento completo, internalización e integración no lo son.","S34; Nobs et al. 2026, 10.1016/j.cub.2026.03.041.","BN-016 desglosada por etapas E1, E2 y E3.","P1","Nuevo protocolo o dataset comparable, o una síntesis causal pertinente.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas o fuente; inicial_sha256=431684c707829fb25004652b8386c62e18c869edae5403a54ebaed8accc52ae0; final_sha256=e2b0bbbc375ae3d0e3dc2eda8c617bb4c2cbef8e7c4db70cddfc59fff22f467a","436b96a275e09f930c3c91f92447d309b759e1158bae4d2ca4269929893a441e"
"BN-017","15.2","CONSERVADA_CONFIRMADA","Reconstrucciones apoyan maquinaria endocítica y fagosomal en LECA, pero no resuelven fagotrofia funcional como nutrición.","S79; S59; S58.","BN-017 separa maquinaria, ingestión y conducta trófica.","P1","Nuevo protocolo o dataset comparable, o una síntesis causal pertinente.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas o fuente; inicial_sha256=dd58c50e3433532dd1796ef3cc954de935bfa9e2ea42907bb70fa4118b930b85; final_sha256=d306179063e5bf7c8a16ccffa82b6fe1cea9b9a4fe0048f9d796f62201ba3df1","923cdd4097f213f4faeb6284546806e150e3701dd0189b769b11d9637d89772c"
"BN-018","15.2","CONSERVADA_CONFIRMADA","Los análisis sitúan los linajes ancestrales respecto de taxones actuales, pero no identifican al hospedador arqueano ni al progenitor mitocondrial históricos.","S25–S27 y S46–S48.","BN-018 separada en matrices arqueana y mitocondrial.","P1","Nuevo protocolo o dataset comparable, o una síntesis causal pertinente.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas o fuente; inicial_sha256=ffd0add94abc2555679686e906f342b6c9aac70c5fbc28f50ccdd4af17dd2d50; final_sha256=b1bf11fa52056ae286a9bb88a434167a572d64e35c59dbb55e097f4f71a67ed8","844541ac524902f3d0c891ab23f2b5caaf2e1860dd7ba9e1341a7710eb818e97"
"BN-019","15.2","CONSERVADA_REFORMULADA","Se reconstruyen múltiples oleadas de donantes y orden relativo; la huella génica sola no distingue contacto transitorio de tercer endosimbionte.","Bernabeu et al. 2026, 10.1038/s41586-026-10639-9.","BN-019 vinculada correctamente a C-388–C-389.","P1","Nuevo protocolo o dataset comparable, o una síntesis causal pertinente.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas o fuente; inicial_sha256=0eba3aa16f9cffc9ae580d13d5254386e7646520e5682ac7e007a5a8535c0406; final_sha256=9301977adb5732a7a3ae3597bea435ef0349dea9b77c1846d29b137e184f5432","9179261d0072e36f544792c1e1e56609d7d70865f47072a6a91def5de582579e"
"BN-020","15.3","CONSERVADA_REFORMULADA","Amorphea se diagnostica por nodo y filogenómica; no se estableció una sinapomorfía morfológica universal y exclusiva.","Definiciones nodales y reconstrucciones ancestrales auditadas; rasgos candidatos no exclusivos.","BN-020 conserva la exclusividad morfológica residual.","P2","Fuente posterior al corte que satisfaga el blanco literal; vigilancia condicionada sin búsqueda intensiva en ausencia del desencadenante.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=términos exactos o fundamento; inicial_sha256=4bc9357f7c3d8ea20bbfc30dcae9d92619b608674b3371e7e9f51f6ca6a1f47a; final_sha256=ae515128a8cf1b6829f934882529ec517367260ef155ab580fd27603eb829c54","a984bc537895ace39c0b7f08fbda85daee93ce4ddcfd42a8507cb824148893dd"
"BN-021","15.3","RETIRADA_RESUELTA","Edad auditada de Amorphea: intervalo publicado 1089,7–1361,5 Ma bajo el modelo de raíz 1,5 Ga; no se conserva un valor central no publicado.","Liu et al. 2024, 10.1371/journal.pbio.3002794, tabla S7 nodo 347.","Integrada como estimación estudio-específica, no consenso.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","CORRECCION_EXPLICITA: resultado_documentado corregido; valor_inicial_sha256=9bc42123f0497a26b630e52d14bd05c786731c8910d91675c11c0976899c37f0; se retiró un valor central no publicado o un complemento aritmético y se conservaron solo magnitudes publicadas; SIN_FILA_CANONICA_EN_AMBOS_CORTES","964e36ac5251e1b5df28312bb5fec886a6a351eda44b45d27314cbf5d170719b"
"BN-022","15.3","RETIRADA_RESUELTA","Edad de corona Amoebozoa: intervalo publicado 872,9–1297,8 Ma; no se conserva un valor central no publicado.","Liu et al. 2024, tabla S7 nodo 5.","Integrada con muestreo y modelo explícitos.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","CORRECCION_EXPLICITA: resultado_documentado corregido; valor_inicial_sha256=5ebc8920d33e0ac48f5ddf54f606d363835c8c956631fd295ad3f51645021d59; se retiró un valor central no publicado o un complemento aritmético y se conservaron solo magnitudes publicadas; SIN_FILA_CANONICA_EN_AMBOS_CORTES","e8b2c1d1effabac3bd6d6532f5c235d71d8ec42bc932a3081a4a09dee3485241"
"BN-023","15.3","RETIRADA_RESUELTA","Edad de Obazoa: intervalo publicado 1077,1–1334,8 Ma; no se conserva un valor central no publicado.","Liu et al. 2024, tabla S7 nodo 346.","Integrada como corona según la topología del estudio.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","CORRECCION_EXPLICITA: resultado_documentado corregido; valor_inicial_sha256=24a2be1f0e3b329ec815154ccdac35eafec44be035db49134b363f5b3ce4224e; se retiró un valor central no publicado o un complemento aritmético y se conservaron solo magnitudes publicadas; SIN_FILA_CANONICA_EN_AMBOS_CORTES","55aa103b24865c7efb75002b7beeb7adf31d6bd276de1b4082fc7dfa619bbf3b"
"BN-024","15.3","CONSERVADA_REFORMULADA","Obazoa tiene reconstrucciones de rasgos ancestrales, pero no una sinapomorfía morfológica exclusiva demostrada.","Filogenómica y reconstrucción ancestral auditadas.","BN-024 separa carácter ancestral de diagnóstico exclusivo.","P2","Fuente posterior al corte que satisfaga el blanco literal; vigilancia condicionada sin búsqueda intensiva en ausencia del desencadenante.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=términos exactos o fundamento; inicial_sha256=160a0bb96d426392ed2865dc829a1bf86cde4b819ad4ac00a49dbb22a3e4cae1; final_sha256=571423fee8b8e29d63d598fc61af5822d0a878b68e51115f65a34d658710db02","69e2a45e8a87d5ff53eadaaf92087e5e567195745774966b492baad97a9f3fa3"
"BN-025","15.3","CONSERVADA_REFORMULADA","El nodo disponible fecha la separación Apusomonadida–Opisthokonta, no la corona de Apusomonadida.","Liu et al. 2024, tabla S7 nodo 345: intervalo publicado 1036,8–1277,6 Ma; no se conserva un valor central no publicado.","BN-025 conserva la edad de corona con al menos dos linajes internos.","P0","Nueva evidencia primaria que pueda resolver o reformular el blanco literal.","CORRECCION_EXPLICITA: evidencia_principal corregida; valor_inicial_sha256=56e8a6fb928c963826c7b83a899252417947d3483d00c46d7f2d53246db80aae; se acotó la evidencia a la magnitud o clase de medición publicada; CAMBIO_CANONICO_DOCUMENTADO; campos=términos exactos o fundamento; inicial_sha256=f2d7387200a1a992593a613458fe4ae997e6cfbb8b481aaca653acf028555829; final_sha256=207ea3f5d8201c7d710534c07cb093e7770624382eb706262369eafd721f5024","329d4b97282f959fa2758ad4473fddad3e858c71b480385162354623ac3cdd05"
"BN-026","15.3","RETIRADA_RESUELTA","Edad de corona Breviatea: intervalo publicado 803,0–1237,6 Ma; no se conserva un valor central no publicado.","Liu et al. 2024, tabla S7 nodo 6.","Integrada para Nutomonas + Pygsuia.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","CORRECCION_EXPLICITA: resultado_documentado corregido; valor_inicial_sha256=9aebb3e0fcd9a546f3028a3b4ea9a8cf6bbf962943ffca4593df6d9d4c1bbb19; se retiró un valor central no publicado o un complemento aritmético y se conservaron solo magnitudes publicadas; SIN_FILA_CANONICA_EN_AMBOS_CORTES","15e71b2bd5b0c88942f5c78733037015504ecaede19d67aa3f325d96e4aeb401"
"BN-027","15.3","CONSERVADA_REFORMULADA","Holomycota se diagnostica molecular y filogenómicamente; la morfología muestra mosaicos y pérdidas, no un carácter universal exclusivo.","Fuentes nodales y morfológicas auditadas.","BN-027 conserva solo el residual de exclusividad.","P2","Fuente posterior al corte que satisfaga el blanco literal; vigilancia condicionada sin búsqueda intensiva en ausencia del desencadenante.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=términos exactos o fundamento; inicial_sha256=961eae2026e5409547b9e848b6e5e084e19c4795faa3b262ccf0a184ef4dee7e; final_sha256=fd24773bd114af3ff98d3984ef444de1dedf82f2aeb48d14939f0b242b0cb8dc","3033b5fe063a5ee84f8f71293d12cc5c12274f3f4dc6565b40e9f40ec1e5af91"
"BN-028","15.3","CONSERVADA_REFORMULADA","Holozoa tiene diagnóstico molecular y filogenómico, pero no sinapomorfía morfológica universal y exclusiva.","Literatura de circunscripción y fusión molecular auditada.","BN-028 conserva solo el residual morfológico.","P2","Fuente posterior al corte que satisfaga el blanco literal; vigilancia condicionada sin búsqueda intensiva en ausencia del desencadenante.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=términos exactos o fundamento; inicial_sha256=026d264def7b956cb19441b864590c5bb7252c9f1bc63e42005c8075009ab832; final_sha256=ee19c5fd73f72bf9eee0257bdcb4c0632436746b18ce18fe6732db8bada2349c","5dce45dfda8e2dc745ccb45570371a56098c2fad97bcd03225c29072ac3c39a4"
"BN-029","15.3","RETIRADA_RESUELTA","Edad de corona Ichthyosporea: intervalo publicado 671,3–920,0 Ma; no se conserva un valor central no publicado.","Liu et al. 2024, tabla S7 nodo 124.","Integrada con diez taxones y método explícito.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","CORRECCION_EXPLICITA: resultado_documentado corregido; valor_inicial_sha256=e6bbed6a0aa1347de0710a5e3c0172963e1b082f763842dcc6b166dd18676506; se retiró un valor central no publicado o un complemento aritmético y se conservaron solo magnitudes publicadas; SIN_FILA_CANONICA_EN_AMBOS_CORTES","e835c9cd7b998c5b5c396e5b51651725112c5797c88f9bcbdbca43aa58caec01"
"BN-030","15.3","RETIRADA_RESUELTA","Edad de corona Pluriformea: intervalo publicado 456,8–836,8 Ma; no se conserva un valor central no publicado.","Liu et al. 2024, tabla S7 nodo 115.","Integrada con advertencia de dos terminales y topología sensible.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","CORRECCION_EXPLICITA: resultado_documentado corregido; valor_inicial_sha256=5993dc20b88c1f65ee419535d15a0e0c015b954a436756091b0355f45b7397f0; se retiró un valor central no publicado o un complemento aritmético y se conservaron solo magnitudes publicadas; SIN_FILA_CANONICA_EN_AMBOS_CORTES","30c42dde6bd5aaff899c8c29d5fe433a565deed71bddb29bed07b18f92b59d85"
"BN-031","15.3","CONSERVADA_REFORMULADA","La edad depende de la circunscripción de Corallochytrea: puede coincidir operacionalmente con Pluriformea o no ser estimable con un solo terminal.","Liu et al. 2024 y literatura de circunscripción.","BN-031 exige declarar la circunscripción antes de fechar.","P0","Nueva evidencia primaria que pueda resolver o reformular el blanco literal.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=términos exactos o fundamento; inicial_sha256=43172af2dcb8bd0e56e44f5235bf955d12cb895218d43bb851addfe329edac82; final_sha256=368972d03dab6f43fb359ef2ba3f6c4ae76f5fe40e45cb93648853f11781729c","db15d516b4118cfff3d8542b3ba39c28abd2000764bc1ca22e619775e157116b"
"BN-032","15.3","RETIRADA_RESUELTA","Edad de corona Filasterea: intervalo publicado 544,8–882,8 Ma; no se conserva un valor central no publicado.","Liu et al. 2024, tabla S7 nodo 128.","Integrada con conjunto de taxones e intervalo.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","CORRECCION_EXPLICITA: resultado_documentado corregido; valor_inicial_sha256=f8905f932ad3e662c6e68e1d3571867493c138bbc7010c19de64f9404c9886b5; se retiró un valor central no publicado o un complemento aritmético y se conservaron solo magnitudes publicadas; SIN_FILA_CANONICA_EN_AMBOS_CORTES","b14aa33bfa48389a73c6bb797a655cce3fa33fefe5e59722b3115e90e812bcd1"
"BN-033","15.3","RETIRADA_RESUELTA","Edad de Filozoa: intervalo publicado 844,8–1000,2 Ma; no se conserva un valor central no publicado.","Liu et al. 2024, tabla S7 nodo 341.","Integrada con circunscripción del árbol.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","CORRECCION_EXPLICITA: resultado_documentado corregido; valor_inicial_sha256=39b32ae046aa57b67e69bae766bf7b501b4d3a0ea44163ff9d0cdd4500e24a84; se retiró un valor central no publicado o un complemento aritmético y se conservaron solo magnitudes publicadas; SIN_FILA_CANONICA_EN_AMBOS_CORTES","a41db0437dea629517021804e8328b1e8f38683247d35524435e2a1e228cbc4f"
"BN-034","15.3","CONSERVADA_CONFIRMADA","La raíz de Holozoa unicelular mantiene tres alternativas sensibles a matriz, modelo y concordancia génica.","S126, resultados y análisis de concordancia.","BN-034 conserva las topologías rivales sin forzar una.","P0","Nueva evidencia primaria que pueda resolver o reformular el blanco literal.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_CAMBIO_CANONICO","20cccd6cd098e6a2e35f696f3b498ea83e48ed4fb772f749d82ffebeb19c1d8d"
"BN-035","15.3","RETIRADA_FUERA_DE_ALCANCE","Metazoa entra solo como terminal según el encargo original.","C01-PROMPT-INVESTIGACION, sección 1.","Retirada del denominador científico.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","1f34a01653a367681518c0345c072851a49eb4d19ff0060cf135e5b08166d2e3"
"BN-036","15.3","RETIRADA_CONSULTA_MAL_FORMADA","Amorphea–Diaphoretickes no es sinónimo de Opimoda–Diphoda y los linajes profundos impiden la partición cerrada solicitada.","Literatura moderna de raíz eucariota y C-662–C-665.","La pregunta correcta queda explicada positivamente por estudio y taxonomía.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","69ee6503be9568e6747e5cd6ee51bd6f12d5a00a6f96dfc1f5cbdae68b00dd0c"
"BN-091","15.4","RETIRADA_DUPLICADA_FUSIONADA","Repetía la búsqueda de sinapomorfía morfológica de Amorphea.","Coincidencia de objeto con BN-020.","Fusionada en BN-020.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","afd63925b6da7dcdcff3808a14f6dd3399dc40b5ad87c20b1f6e73d17fcbc08e"
"BN-092","15.4","RETIRADA_DUPLICADA_FUSIONADA","Repetía la búsqueda de sinapomorfía morfológica de Obazoa.","Coincidencia de objeto con BN-024.","Fusionada en BN-024.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","caf13070e25e53c0a8750969eb55695d384f1160d135b2190e2f49ef2d5a018c"
"BN-093","15.4","CONSERVADA_REFORMULADA","Existe un fósil putativo de choanoflagelado, pero carece del collar diagnóstico y no sirve aún como calibración nodal segura.","Fonseca et al. 2023, 10.1038/s41598-022-26972-8.","BN-093 conserva la asignación diagnóstica aceptada.","P1","Nuevo protocolo o dataset comparable, o una síntesis causal pertinente.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas relacionadas; inicial_sha256=e9ee8dce3c207152da2ca79229c6d1898e16dec6f347e0190fc8e70c5c7d99bd; final_sha256=f209baa10b7469a1a472828e2bedc762816801da9b6d4666a7c06338a3bc8412","f63be3aba54213cd86cd5ba1640845f4ba70ebbd4c9f2760f94a9ec320ff99c5"
"BN-094","15.4","RETIRADA_DUPLICADA_FUSIONADA","La matriz nodal completa repetía edades controladas individualmente y mezclaba modelos no comparables.","BN-021, BN-023 y BN-033; Liu et al. 2024.","Fusionada en las fichas nodales, con NA donde corresponde.","RETIRADA","Solo reabrir si cambia la disposición histórica o aparece evidencia que invalida el cierre documentado.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; SIN_FILA_CANONICA_EN_AMBOS_CORTES","bc001aae9d7ac597e128590448b9bbd5623fb593dc67a4a17cd277cf5124f373"
"BN-095","15.4","CONSERVADA_REFORMULADA","Hay una reconstrucción local de 26,9 ± 0,4 °C, no una temperatura media global comparable entre proxies.","Estudio de clumped isotopes de Xiamaling auditado en el informe ambiental.","BN-095 conserva el residual global y registra el valor local.","P2","Fuente posterior al corte que satisfaga el blanco literal; vigilancia condicionada sin búsqueda intensiva en ausencia del desencadenante.","SIN_CAMBIO_EN_LA_FILA_HISTORICA; CAMBIO_CANONICO_DOCUMENTADO; campos=filas relacionadas; inicial_sha256=b039ed33311993c1f6cc79bc0d3ef665db3f5d077d0b3f812890c7cb2bb15e07; final_sha256=136aca1cc9a1042eb1eb658c60d342a4b34a32f183d98e87f66fe0a733258bd3","5c8a7473bedf57d3a5f2c2d1605b696df860ed21a6fbae8574c5b3bc91cfd13c"
