"id_segmento","tipo","ruta","localizador","columna","contenido","sha256_contenido","afirmaciones","metodo_mapeo","estado_revision"
"TC-00011","prosa","docs/secciones/002-01-1-alcance-del-corpus.md","L3","n/a","El corredor principal tratado es el tallo de Eukaryota entre FECA y LECA, Eukaryota, Amorphea, Obazoa, Opisthokonta, Holozoa, Filozoa y Choanozoa *sensu stricto*. [C-013]","dfd39db00d2cf4967e2838419a0ac94d9e0e2a747bb7b71d672b984af94efbec","C-013","cita_en_segmento","REVISADA"
"TC-00012","prosa","docs/secciones/002-01-1-alcance-del-corpus.md","L5","n/a","Metazoa se mantiene como nombre terminal sin desarrollar su topología interna. [C-014]","b1e408ce4c96b7a350edeb7fac578c31740c1a81244545ea0c1a4c447d406ec7","C-014","cita_en_segmento","REVISADA"
"TC-00013","prosa","docs/secciones/002-01-1-alcance-del-corpus.md","L7","n/a","La integración incorpora tratamientos propios de Amoebozoa, Apusomonadida, Breviatea, Holomycota, Ichthyosporea, Pluriformea, Corallochytrea y Filasterea. [C-015]","b51ab829b0aff8e6656df0e06ac39e3749fe08c2be5bf8d7899d1629a61e9c50","C-015","cita_en_segmento","REVISADA"
"TC-00014","prosa","docs/secciones/002-01-1-alcance-del-corpus.md","L9","n/a","También incorpora Asgardarchaeota y el componente alfa-proteobacteriano como participantes de la eucariogénesis, no solo como contexto. [C-016]","4eff278f729bf9ef6b267f0cbdf3ef385852c4dba1dc33ecba08d3aca29b3209","C-016","cita_en_segmento","REVISADA"
"TC-00015","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L7","n/a","**Árbol de tres dominios** [C-017–C-018; S06 fig. 1]","9b5cbfacca49b6c578737f79e0f8bd7505bdd44a2d0f54796e4e646661e82e4e","C-017; C-018","cita_en_segmento","REVISADA"
"TC-00016","arista","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L11","n/a","├─ Bacteria [C-018]","45872dba9cc26d835c161466e38d6b04126b7ff3a3d713439a8dcae0753f5f2b","C-018","cita_en_segmento","REVISADA"
"TC-00017","arista","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L12","n/a","└─┬─ Archaea [C-018]","826f994bee6e01e76d386c19648f6fea36b1db9373fd199ec836d83e53e696db","C-018","cita_en_segmento","REVISADA"
"TC-00018","arista","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L13","n/a","└─ Eukaryota [C-018]","18d11b50195285c5fc322f0231b95be34691135e5fa2025cbb670dc0fa9a6c58","C-018","cita_en_segmento","REVISADA"
"TC-00019","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L16","n/a","En su formulación de 1990, Bacteria, Archaea y Eucarya fueron tratados como tres dominios primarios. [C-017; S06 título; fig. 1] El esquema representa a Eukaryota como grupo hermano de Archaea; esa topología histórica no debe confundirse con el árbol de dos dominios. [C-018; S06 fig. 1]","9abf8e02b643cf79a8e148083003ee8a23f56bb236e070fc3efe726c7476938c","C-017; C-018","cita_en_segmento","REVISADA"
"TC-00020","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L18","n/a","**Hipótesis del eocito** [C-019–C-021; S07 resumen; fig. 4]","c25aaadb1b65158cbc97f0baf58776e0315d4a47ab5dc0907ac5cc3bf7ac4192","C-019; C-020; C-021","cita_en_segmento","REVISADA"
"TC-00021","arista","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L22","n/a","├─ Bacteria [C-021]","29de10b42d7a261ef361d2337590faaa3c10c16696bd422e0ac908bb1ebf0bc4","C-021","cita_en_segmento","REVISADA"
"TC-00022","arista","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L23","n/a","└─ Archaea sensu inclusivo [C-021]","db0a3d13d2f21f303a38a0f0a14759b68370b100dd534f925124fe0eedae654f","C-021","cita_en_segmento","REVISADA"
"TC-00023","arista","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L24","n/a","├─ otros linajes arqueanos [C-021]","6c8b39a4207be4b9fe81df39e69c8549ba8db66efbd00faa9c58ceca6b32ee00","C-021","cita_en_segmento","REVISADA"
"TC-00024","arista","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L25","n/a","└─┬─ eocitos [C-019]","05a107d1467d2c2907a7ea1ce57cc0235b85d384fc0bdb6490225efd158a4f74","C-019","cita_en_segmento","REVISADA"
"TC-00025","arista","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L26","n/a","└─ Eukaryota [C-019]","bd3a6e2f637dd1ed93575433ee1dc6b078d9e871efc88ce656394d3211105c97","C-019","cita_en_segmento","REVISADA"
"TC-00026","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L29","n/a","Lake et al. distinguieron cuatro patrones ultraestructurales ribosómicos y recuperaron una relación estrecha entre los eocitos termoacidófilos examinados y los eucariotas. [C-019–C-020; S07 resumen; figs. 1–4] La consecuencia cladística es que el uso de Archaea que excluye Eukaryota pasa a ser parafilético. [C-021; S08 fig. 1; S14 tesis general]","a467733b90f6e1242bc21a5870cd85e3aa36a8b7aeaa374b9a884f0d9d7e74fb","C-019; C-020; C-021","cita_en_segmento","REVISADA"
"TC-00027","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L31","n/a","**Árbol de dos dominios con Asgardarchaeota** [C-043–C-044; S10 figs. 1–3; S25 fig. 1; S26 fig. 3]","05f7624e0bc9a2768ddd127f41831092352f7d94056cd52f914063b87279c663","C-043; C-044","cita_en_segmento","REVISADA"
"TC-00028","arista","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L35","n/a","├─ Bacteria [C-021]","29de10b42d7a261ef361d2337590faaa3c10c16696bd422e0ac908bb1ebf0bc4","C-021","cita_en_segmento","REVISADA"
"TC-00029","arista","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L36","n/a","└─ Archaea sensu inclusivo [C-043]","060ce30ceacd1ef5b9be53badb59e56a961264183026252a74d2fa28a3f41471","C-043","cita_en_segmento","REVISADA"
"TC-00030","arista","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L37","n/a","└─ Asgardarchaeota [F] ⚠ [C-043–C-044]","fc6b15771f3de9b51b882ad2d63bc8c5fad3b698f100d774fc1e3bbd32d71d5d","C-043; C-044","cita_en_segmento","REVISADA"
"TC-00031","arista","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L38","n/a","└─ Eukaryota [C-043–C-044]","3ac0108f0e61f250181bc74780880c4cf5f1b170574c2a52cdeb6fe2a8b0723c","C-043; C-044","cita_en_segmento","REVISADA"
"TC-00032","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L41","n/a","Las filogenómicas recientes recuperadas sitúan Eukaryota dentro de Archaea y, más concretamente, dentro de Asgardarchaeota. [C-043; S09 tesis general; S10 figs. 1–3; S25 fig. 1; S26 fig. 3] El punto exacto de inserción dentro de Asgardarchaeota sigue sin resolverse. [C-044; S10 fig. 3; S25 fig. 1; S26 fig. 3]","91af6b535b6c10ce4639e2f931f04523c5b883108f72425c0704622aa685066b","C-043; C-044","cita_en_segmento","REVISADA"
"TC-00033","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L45","n/a","Cox et al. analizaron 53 genes y separaron dos problemas: heterogeneidad composicional entre linajes (*compositional heterogeneity*) y heterogeneidad entre sitios (*site heterogeneity*). [C-022; S08 resumen; Methods] Su matriz combinada de rRNA incluyó 40 taxones y 1.048 caracteres. [C-023; S08 Methods: Ribosomal RNA analyses]","604363249bb9282adcb6317ded8b10de1e3dae2d76f185e34dc066ec98c5372f","C-022; C-023","cita_en_segmento","REVISADA"
"TC-00034","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L47","n/a","Con GTR homogéneo, esa matriz produjo tres dominios; con NDCH y dos vectores de composición, produjo la topología del eocito. [C-024–C-025; S08 Results; fig. 1] En proteínas se aplicaron modelos CAT y CAT-GTR. [C-026; S08 Methods: Protein analyses] La comparación demuestra que el modelo puede cambiar la topología sin cambiar el problema biológico estudiado. [C-027; S08 Results; Discussion]","37cc73c09c0ab1c16b77809dab459ac113ed3865c31192b636347ad989dec60e","C-024; C-025; C-026; C-027","cita_en_segmento","REVISADA"
"TC-00035","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L51","n/a","Williams et al. analizaron una matriz de 43 proteínas arqueano-eucariotas dentro de un muestreo de 125 genomas. [C-034; S10 métodos] En ese análisis recuperaron a Eukaryota asociado con Heimdallarchaeia. [C-035; S10 fig. 3] El clado LC3 obtuvo PP = 0,95; se conserva como resultado de esa matriz, no como posición inmutable frente a muestreos posteriores. [C-036; S10 fig. 3]","d3c9443ce2aac975f73106bcbac54046f6e7e77ccbce69a74b8d2ea5b7d3f5c9","C-034; C-035; C-036","cita_en_segmento","REVISADA"
"TC-00036","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L59","n/a","Da Cunha et al. separaron 36 proteínas universales en 11 «Woese proteins» y 25 «eocyte proteins», con 3.499 y 4.869 posiciones respectivamente. [C-037–C-038; S11 Results; figs. 1–2] Después de retirar secuencias rápidas, el conjunto de 11 proteínas recuperó monofilia arqueana con bootstrap de 100 %. [C-039; S11 fig. 1]","8eaf7569e70b6b53c985d669996942d0d2cb9b94fa71b610e16e91f17cddcd0c","C-037; C-038; C-039","cita_en_segmento","REVISADA"
"TC-00037","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L61","n/a","Los árboles individuales, sin embargo, no distribuyeron el apoyo de manera uniforme: la relación Eukaryota–Lokiarchaeota quedó por debajo de 70 % en la mayoría, con SecY en 84 % y EF2 en 100 %. [C-040; S11 Results; Supplementary figs.] La retirada de una secuencia EF2 alteró esa relación. [C-041; S11 Results; fig. 3]","0884193a3a890d8d7461c6d1b4c43feb3b7be5a1660bf2235827ae8f93b9ea57","C-040; C-041","cita_en_segmento","REVISADA"
"TC-00038","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L63","n/a","Spang et al. publicaron una respuesta que cuestionó la selección de proteínas, el tratamiento de los datos y la interpretación, y volvió a recuperar a Asgard como los parientes procariotas más próximos de Eukaryota. [C-042; S12 tesis general; figs. 1–3] El episodio muestra una discrepancia en datos seleccionados y modelado, no dos observaciones celulares incompatibles.","20c6140dfa10870f5856c426f8421b3ea35925a58d9066670cccf7f129740cf8","C-042","cita_en_segmento","REVISADA"
"TC-00039","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L67","n/a","Bajo el árbol de dos dominios, «Archaea» usado para designar solo arqueas sin eucariotas es parafilético. [C-045; S14 tesis general] Fournier y Poole propusieron asumir esa consecuencia en una clasificación cladística. [C-046; S14 tesis general]","6b9126703aa017678e46c7efc6c6b6dfc3d1082a46102345a87438acc1b45dde","C-045; C-046","cita_en_segmento","REVISADA"
"TC-00040","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L69","n/a","La literatura filogenómica, sin embargo, conserva habitualmente los nombres Archaea y Eukaryota mientras representa a Eukaryota dentro de Archaea. [C-047; S10; S25; S26] Esta práctica es convencional: no convierte dos topologías incompatibles en una sola ni resuelve por sí misma qué rango o código debe recibir cada nombre.","f0704def940fd728f68feac348e60483ba672792835bec26f7e1faa13ba4bf35","C-047","cita_en_segmento","REVISADA"
"TC-00041","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L73","n/a","Cavalier-Smith y Chao defendieron en 2020 una variante neomurana que deriva Neomura, es decir, arqueas y eucariotas en su terminología, de bacterias planctobacterianas. [C-048; S13 título; resumen] Se trata como posición minoritaria porque no fue recuperada por las filogenómicas de dos dominios examinadas.","bd770f8648383f9fd84f9e2a98719e2d24a30592a599b5a1a39b121b55d9b0f3","C-048","cita_en_segmento","REVISADA"
"TC-00042","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L75","n/a","Devos publicó en 2021 una defensa conceptual independiente y Bernabeu et al. recuperaron en 2026 una contribución planctomicetotal temprana. [C-049; C-050] La primera no es un experimento discriminante y la segunda no identifica hospedador ni relación endosimbiótica: el hueco residual es una prueba primaria que seleccione la hipótesis neomurana planctobacteriana completa frente a los modelos Asgard de dos dominios. [C-049–C-050; C-051; S530 resumen y modelo final; S59 fig. 3; BN-001]","8d1549e4fe1fa1341948a2eb31e21be1946c93f49b96166f3f78a0d832d07875","C-049; C-050; C-051","cita_en_segmento","REVISADA"
"TC-00043","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L85","n/a","La discordancia entre un hospedador de afinidad arqueana y una membrana eucariota predominantemente bacteriana es la divisoria lipídica (*lipid divide*). [C-055; S15 introducción; Discussion] No es una prohibición química simple: bacterias FCB poseen potencial para sintetizar lípidos éter arqueanos, de modo que las rutas no se distribuyen absolutamente por dominio. [C-056–C-057; S15 Results; Discussion]","074af3d135e0e0376c3f8156e3c601e26b95e734c7d5d1274cb517b8e742f107","C-056; C-057; C-055","cita_en_segmento","REVISADA"
"TC-00044","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L89","n/a","Caforio et al. diseñaron *Escherichia coli* con hasta aproximadamente 30 % de lípidos de tipo arqueano. [C-058; S16 Results; figs. 2–4] Las células fueron viables durante el experimento. [C-059; S16 Results; figs. 3–5] Esto cuestiona una incompatibilidad absoluta, pero no identifica qué ocurrió en el tallo eucariota. [C-060; S16 Discussion]","e142916ff3b3c313154edfe2e4d6c9671e0a1306afbdfa22ab526ed026cf8618","C-058; C-059; C-060","cita_en_segmento","REVISADA"
"TC-00045","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L91","n/a","Justice et al. obtuvieron una membrana mínima heteroquiral capaz de sostener crecimiento. [C-061; S17 Results; fig. 5] En ese sistema, la heteroquiralidad redujo aptitud, ralentizó crecimiento y elevó permeabilidad y fragilidad hipoosmótica. [C-062; S17 Results; fig. 5] Por tanto, «viable» y «funcionalmente equivalente» no son sinónimos. [C-063; S16 Discussion; S17 Discussion]","9b515df1c15488186a20e7c0ab2ffb3e1feedcc899acc64671f25a93ce4a5e8c","C-061; C-062; C-063","cita_en_segmento","REVISADA"
"TC-00046","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L99","n/a","Mascotti et al. añadieron una ruta cuantitativa candidata: en dinámica molecular, intermediarios arqueanos con un borde transitorio se fusionan con vesículas bacterianas y producen una bicapa mixta estable. [C-065; S539 Abstract; resultados] No existe, sin embargo, una reconstrucción consensuada del orden molecular de la transición. [C-067; S15, S16, S17; S539] Los experimentos y simulaciones acotan lo químicamente posible y algunos costes, pero no seleccionan una historia histórica única.","ec19a64ec334a3106ad18c727d980a5d3e3addbff6dcd7bedd6dced2f9a4c497","C-065; C-067","cita_en_segmento","REVISADA"
"TC-00047","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L103","n/a","Rivera et al. distinguieron una tendencia: genes informacionales con afinidad principalmente arqueana y genes operacionales con afinidad principalmente bacteriana. [C-068; S18 resumen; figs. 1–3] La separación no es universal ni exhaustiva. [C-069; S18 Discussion; S20 Results]","23f86950a0e1eb782370014b8e18690909f0b6ef68c957d1179012cdf473a82f","C-068; C-069","cita_en_segmento","REVISADA"
"TC-00048","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L105","n/a","Brueckner y Martin compararon 150 genomas eucariotas con 19.050.992 proteínas de 5.443 bacterias y 212 arqueas. [C-070; S20 Methods; Results] Dentro del subconjunto con afinidad procariótica identificable, atribuyeron 44 % a Archaea y 56 % a Bacteria; al excluir linajes plastidiales, la fracción bacteriana fue 53 %. [C-071–C-072; S20 Results; fig. 2]","f37726dc231cce26f946499b2bcf2cf85625779bceb2dade813338137d1a383e","C-071; C-072; C-070","cita_en_segmento","REVISADA"
"TC-00049","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L107","n/a","Cotton y McInerney encontraron que los genes de afinidad arqueana examinados tendían a ser más esenciales, expresados y conectados que los de afinidad bacteriana. [C-073; S19 Results; figs. 1–3] Un recuento de genes y una medida de importancia funcional responden preguntas distintas. [C-074; S19 Discussion; S20 Discussion]","14625e54b2a8d3574d028759d74761d6fda7c07c6d38edd87fe9bbbab696359e","C-073; C-074","cita_en_segmento","REVISADA"
"TC-00050","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L109","n/a","Un análisis mucho más reciente usó aproximadamente 75 millones de proteínas procarióticas de 47.545 genomas, incluidos 63 asgard, y aproximadamente 30 millones de secuencias de 993 especies eucariotas. [C-075; S21 Methods; Extended Data] Tobiasson et al. atribuyeron a Asgard una contribución dominante a numerosos sistemas funcionales conservados y concentraron la contribución alfa-proteobacteriana reconstruida en energía y ensamblaje Fe–S. [C-076–C-077; S21 Results; figs. 1–4]","45370b90e7f5a903b090348b54d906a55684a98877e52f7fc4f55042be327160","C-076; C-077; C-075","cita_en_segmento","REVISADA"
"TC-00051","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L111","n/a","Las cifras no son promediables: cambian el universo de genes, el criterio de origen, la unidad funcional y el denominador. [C-078; S19, S20, S21] La frase defendible no es un porcentaje único de «genoma arqueano» o «genoma bacteriano», sino una lista condicionada por método.","6babdfa08dee97c6909a1288296800789aba1097b5dce705df912a794e2676da","C-078","cita_en_segmento","REVISADA"
"TC-00052","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L117","n/a","Lokiarchaeota fue descrito desde MAG de sedimentos marinos. [C-079; S22 Methods; fig. 1] Sus ESP iniciales fueron inferidas por secuencia. [C-080; S22 Results; figs. 2–4]","c6715b96a43d2589ba92736652e35de22ae8d05daec6bb6e3a34004dedc783ed","C-079; C-080","cita_en_segmento","REVISADA"
"TC-00053","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L119","n/a","En 2017, Asgard agrupaba Loki-, Thor-, Odin- y Heimdallarchaeota. [C-081; S23 fig. 1] El registro SeqCode consultado contiene 17 clases hijas y registra nombres alternativos o solapados como Wukongarchaeia y Sifarchaeia. [C-082–C-085; S50 lista de children; related names] Esa lista es nomenclatural, no una topología cerrada. [C-085; S50 notas]","bf9f20080d5624a1278d97ec9c4a7d42fb406ed35c104b5812ef175335524cb4","C-082; C-083; C-084; C-085; C-081","cita_en_segmento","REVISADA"
"TC-00054","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L121","n/a","Zhang et al. añadieron 223 MAG y propusieron 16 linajes nuevos a partir de 40 muestras y 11.878 MAG reconstruidos. [C-086–C-087; S26 resumen; Methods] Su colección principal reunió 411 genomas asgard y 14 eucariotas; solo dos genomas asgard procedían de linajes cultivados. [C-088–C-089; S26 Methods; fig. 3] La completitud media fue 85.3 % y la contaminación media 3.6 %. [C-090; S26 Results; Supplementary table] El predominio de MAG sigue siendo una propiedad central del terreno probatorio. [C-091; S26 Methods]","f19bfcaec523d6a6c44c1a046a862dedd984da08c8a8065421790ab557248f2d","C-086; C-087; C-088; C-089; C-090; C-091","cita_en_segmento","REVISADA"
"TC-00055","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L125","n/a","En S37, la identificación de células afiliadas a Hodarchaeales usó hibridación fluorescente *in situ* amplificada por deposición catalizada del reportero (*catalysed reporter deposition–fluorescence in situ hybridization*, CARD-FISH) y microscopía; no procedió de cultivo. [C-107; S37 Methods]","229a85ac9acb647376e916b729569628051550a24f6e0d8ed54de5f644348f21","C-107","cita_en_segmento","REVISADA"
"TC-00056","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L127","n/a","El término sintrofía (*syntrophy*) se usa aquí para la dependencia documentada de *Promethearchaeum syntrophicum* respecto de socios que consumen H₂ o formiato. [C-092; C-098; S34 Results; S35 fisiología]","a271d7914e6ce605c7df733fcc4de985ce43cb1f3bb58a8721bcd1e577387c37","C-092; C-098","cita_en_segmento","REVISADA"
"TC-00057","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L131","n/a","La evidencia ya permite perfiles individualizados —todavía inferenciales— para ocho de los nueve nombres antes agrupados como vacíos: S24, S27 y S536–S538 aportan procedencia, rutas genómicas, expresión o proxies térmicos para Asgard-, Atabey-, Baldr-, Borr-, Frey-, Jordi/Jord-, Kari- y Ranarchaeia. [C-162; C-163; C-164; C-165; C-166; C-167; C-168; C-169; C-171] Shennonarchaeia conserva bajo el nombre exacto sólo un registro nominal accesible, y Frey/Jordarchaeia debe reconciliarse antes de contar fichas independientes. [C-162–C-170; C-171; S24; S27; S50; S536–S538; BN-004]","d6fa88298b202ab3a6670504c5b9e961a14cc67522b0f99c9127b2c226429742","C-162; C-163; C-164; C-165; C-166; C-167; C-168; C-169; C-170; C-171","cita_en_segmento","REVISADA"
"TC-00058","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L135","n/a","Thorarchaeota fue reconstruido desde sedimentos con rutas de acetogénesis y reducción de azufre. [C-111; S28 resumen; figs. 2–4] Helarchaeota fue propuesto como participante en oxidación anaerobia de hidrocarburos. [C-112; S29 resumen; figs. 2–4]","22efae888c1a0c10c858feecccb0be0c8e44f2abb413b6cf450ccf48897fdca9","C-111; C-112","cita_en_segmento","REVISADA"
"TC-00059","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L137","n/a","Heimdallarchaeia de un nicho lacustre iluminado y microóxico presentó potencial de mixotrofia (*mixotrophy*) y rodopsinas. [C-113; S30 resumen; figs. 1–5] Gerdarchaeota y otros Asgard mostraron genes y transcritos asociados con degradación de materia orgánica. [C-114; S31 resumen; figs. 2–5]","6d6c4b5bf435ed81cf160e67c39a96f9ff352bfb26a7e36fd2a6d65da7ce5828","C-113; C-114","cita_en_segmento","REVISADA"
"TC-00060","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L139","n/a","Dos MAG de Sifarchaeota codificaron rutas de degradación de polisacáridos y metilotrofia anaerobia. [C-115; S32 resumen; figs. 2–4] Hermodarchaeota fue descrito con potencial de degradación de alcanos y aromáticos; «potencial» conserva la modalidad epistémica del trabajo. [C-116; S33 título; Results]","a1dc57b2bfb51764a98effba302c5a5ca326572c169860ba629d5e288ee96c94","C-115; C-116","cita_en_segmento","REVISADA"
"TC-00061","prosa","docs/secciones/003-02-2-el-punto-de-partida-dos-dominios-o-tres.md","L141","n/a","Appler et al. analizaron 404 MAG, incluidos 136 Heimdallarchaeia nuevos, e identificaron genes para complejo IV, hemo, detoxificación de especies reactivas e hidrogenasas. [C-117–C-118; S27 resumen; Results] En conjunto, Asgard ocupa ambientes anóxicos, microóxicos, iluminados y costeros con oxígeno variable. [C-119; S27, S28, S29, S30, S31, S32, S33] No existe una ecología única que pueda asignarse al clado completo.","535240861a5beb4229557310bc1a5efc4a1ba23f043113b7f796b59bdae4e26a","C-117; C-118; C-119","cita_en_segmento","REVISADA"
