"etiqueta preferida","tipo","sinónimos y grafías alternativas","marcas (⚠, ≈, †, [F], [H]) como atributos de la fila","# de la fila del registro donde aparece por primera vez"
"genoma eucariota quimérico","concepto genómico","chimeric eukaryotic genome","n/a","C-068"
"proteínas de firma eucariota","categoría proteica","eukaryotic signature proteins; ESP","n/a","C-080"
"Asgardarchaeota sensu Zaremba-Niedzwiedzka et al. 2017","concepto taxonómico","Asgard superphylum original","[F]","C-081"
"Asgardarchaeota sensu SeqCode Registry 2026","concepto taxonómico","phylum Asgardarchaeota; registro consultado","[F]","C-082"
"Asgardarchaeia","clase asgard","n/a","[F]","C-083"
"Atabeyarchaeia","clase asgard","n/a","[F]","C-083"
"Baldrarchaeia","clase asgard","n/a","[F]","C-083"
"Borrarchaeia","clase asgard","n/a","[F]","C-083"
"Freyarchaeia","clase asgard","n/a","[F]","C-083"
"Heimdallarchaeia","clase asgard","Heimdallarchaeota en literatura anterior","⚠ [F]","C-083"
"Hermodarchaeia","clase asgard","Hermodarchaeota","[F]","C-083"
"Hodarchaeia","clase asgard","Hodarchaeales según nivel citado","⚠ [F]","C-083"
"Jordiarchaeia","clase asgard","n/a","[F]","C-083"
"Kariarchaeia","clase asgard","Kariarchaeales según nivel citado","[F]","C-083"
"Lokiarchaeia","clase asgard","Lokiarchaeota en literatura anterior","[F]","C-083"
"Njordarchaeia","clase asgard","Njordarchaeota; Njordarchaeales","⚠ [F]","C-083"
"Odinarchaeia","clase asgard","Odinarchaeota","[F]","C-083"
"Promethearchaeia","clase asgard","Promethearchaeota según rango citado","[F]","C-083"
"Ranarchaeia","clase asgard","n/a","[F]","C-083"
"Shennonarchaeia","clase asgard","n/a","[F]","C-083"
"Thorarchaeia","clase asgard","Thorarchaeota","[F]","C-083"
"Sifarchaeia","nombre asgard alternativo","Sifarchaeota","≈ [F]","C-084"
"Wukongarchaeia","nombre asgard alternativo","Wukongarchaeota","≈ [F]","C-084"
"Promethearchaeum syntrophicum","nombre taxonómico; especie cultivada","Candidatus Prometheoarchaeum syntrophicum en la publicación de 2020; Candidatus Prometheoarchaeum syntrophicum; MK-D1","≈","C-092"
"Lokiarchaeum ossiferum","nombre taxonómico","Candidatus Lokiarchaeum ossiferum en algunas fuentes","n/a","C-102"
"actina asgard","proteína o familia","Asgard actin","n/a","C-104"
"células afiliadas a Hodarchaeales de Aarhus Bay","población observada","Hodarchaeales-related cells","⚠","C-105"
"Nerearchaeum marumarumayae","nombre taxonómico","n/a","n/a","C-108"
"Stromatodesulfovibrio nilemahensis","nombre taxonómico","n/a","n/a","C-109"
"Helarchaeota","linaje asgard; clado arqueano","Helarchaeia según algunas clasificaciones","⚠ [F]","C-112"
"Gerdarchaeota","linaje asgard","Gerdarchaeia; Gerdarchaeales según rango","[F]","C-114"
"profilina asgard","proteína o familia","Asgard profilin","n/a","C-134"
"gelsolina/cofilina asgard","proteína o familia","Asgard gelsolin/cofilin","n/a","C-135"
"ESCRT-III asgard","complejo proteico","Asgard ESCRT-III","n/a","C-136"
"Vps4 asgard","proteína","Asgard Vps4","n/a","C-136"
"ubiquitina asgard","proteína o sistema","Asgard ubiquitin machinery","n/a","C-137"
"OdinTubulin","proteína","Odinarchaeota tubulin","n/a","C-138"
"GTPasas pequeñas asgard","familia proteica","Asgard small GTPases","n/a","C-142"
"roadblock asgard","familia proteica","Asgard roadblock proteins","n/a","C-142"
"TRAPPC3 asgard","familia proteica","Asgard TRAPPC3","n/a","C-142"
"Rickettsia prowazekii","nombre taxonómico","n/a","n/a","C-148"
"Alphaproteobacteria","clado bacteriano","alfa-proteobacterias","n/a","C-149"
"simbionte alfaproteobacteriano ancestral no muestreado","linaje descriptivo","ancestro bacteriano de la mitocondria; progenitor mitocondrial; componente alfa-proteobacteriano","⚠ [H]","C-149"
"Alpha IIb","clado de una filogenia","clado alfa IIb de Fan et al.","[H]","C-152"
"MAM60+GFmix","modelo filogenético","site-and-branch-heterogeneous model","n/a","C-155"
"Iodidimonadales","orden bacteriano","n/a","⚠","C-157"
"linaje alfaproteobacteriano más próximo a la mitocondria no resuelto","linaje descriptivo","n/a","⚠","C-160"
"Candidatus Prometheoarchaeum syntrophicum","nombre taxonómico histórico","MK-D1","≈","C-172"
"población LUCA reconstruida","población reconstruida","LUCA; last universal common ancestor","[H]","C-179"
"población LBCA reconstruida","población reconstruida","LBCA; last bacterial common ancestor","[H]","C-180"
"población LACA reconstruida","población reconstruida","LACA; last archaeal common ancestor","[H]","C-181"
"población FECA nuclear no muestreada","población reconstruida","FECA; first eukaryotic common ancestor; nFECA en S58","[H]","C-184"
"población FMCA no muestreada","población reconstruida","FMCA; first mitochondrial common ancestor; mFECA","[H]","C-186"
"población LECA reconstruida","población reconstruida","LECA; last eukaryotic common ancestor","[H]","C-188"
"registro del tallo eucariota","objeto de evidencia histórica","tallo FECA–LECA; stem-group eukaryotes","⚠ [H]","C-190"
"cross-bracing","método de calibración","restricciones de edad relativa; topology-based calibration","n/a","C-198"
"MCMCTree","método","Bayesian relaxed molecular clock implementation","n/a","C-198"
"modelo two+","marco de consenso","two-plus model; 2+ model","[H]","C-204"
"reconstrucción de estado ancestral","método","ancestral state reconstruction; ASR","n/a","C-208"
"ortogrupo","unidad de análisis","orthogroup; OG","n/a","C-212"
"complejo del poro nuclear","complejo proteico","nuclear pore complex; NPC","n/a","C-219"
"nucleoporina","familia proteica","Nup","n/a","C-220"
"aparato de Golgi","orgánulo","Golgi apparatus","n/a","C-223"
"retículo endoplasmático","orgánulo","endoplasmic reticulum; ER","n/a","C-223"
"SNARE","familia proteica","soluble NSF attachment protein receptor","n/a","C-223"
"Rab GTPasa","familia proteica","Rab","n/a","C-224"
"actina","proteína y sistema; rasgo, orgánulo o proceso","actin","n/a","C-228"
"tubulina","proteína y sistema; rasgo, orgánulo o proceso","tubulin","n/a","C-228"
"kinesina","motor molecular","kinesin","n/a","C-229"
"cilio eucariota","orgánulo; orgánulo eucariota","eukaryotic cilium; flagellum en parte de la literatura; eukaryotic flagellum","n/a","C-230"
"cuerpo basal","orgánulo","basal body; cinetosoma","n/a","C-230"
"transporte intraflagelar","proceso y complejo","intraflagellar transport; IFT","n/a","C-230"
"BBSome","complejo proteico","BBSome","n/a","C-232"
"mitocondria ancestral","orgánulo; orgánulo o compartimento","protomitocondria; mitochondrion","[H]","C-233"
"cresta mitocondrial","rasgo ultraestructural","mitochondrial crista","n/a","C-234"
"alphaMICOS","complejo bacteriano homólogo","αMICOS","n/a","C-235"
"MICOS","complejo proteico","mitochondrial contact site and cristae organizing system","n/a","C-235"
"PEX","familia funcional","peroxins; peroxisome biogenesis proteins","n/a","C-237"
"peroxisoma","orgánulo","peroxisome","n/a","C-238"
"mitosis cerrada","estado celular; rasgo, orgánulo o proceso","closed mitosis","n/a","C-243"
"ortomitosis","estado de huso","orthomitosis","n/a","C-243"
"kit meiótico","repertorio génico","meiotic toolkit","n/a","C-246"
"meiosis","proceso celular; concepto o entidad","meiosis","n/a","C-246"
"espliceosoma","complejo ribonucleoproteico","spliceosome","n/a","C-248"
"intrón espliceosomal","elemento génico","spliceosomal intron","n/a","C-250"
"fagocitosis","proceso trófico; rasgo, orgánulo o proceso","phagocytosis","⚠","C-255"
"fagotrofia","modo de alimentación; modo trófico","phagotrophy","⚠","C-273"
"hipótesis del hidrógeno","hipótesis","hydrogen hypothesis","[H]","C-274"
"hipótesis sintrófica original","hipótesis histórica","syntrophic hypothesis","[H] ⚠","C-282"
"hipótesis sintrófica revisada","hipótesis","revised syntrophy hypothesis","[H]","C-285"
"modelo inside-out","hipótesis","inside-out model","[H]","C-292"
"modelo autógeno fagotrófico","hipótesis","autogenous phagotrophic model; mitochondria-late model","[H] ⚠","C-300"
"modelo de flujo inverso","hipótesis","reverse flow model","[H]","C-306"
"modelo E3","hipótesis","entangle–engulf–endogenize model","[H]","C-312"
"hipótesis de invasión de intrones","hipótesis","intron invasion hypothesis","[H]","C-323"
"intrón de grupo II","elemento genético móvil","group II intron","n/a","C-324"
"hipótesis viral del núcleo","hipótesis","viral eukaryogenesis; viral origin of the nucleus","[H] ⚠","C-330"
"virus ancestral de Nucleocytoviricota no muestreado","linaje descriptivo","complex DNA virus ancestor; giant-virus contributor","[H] ⚠","C-331"
"hipótesis poxviral del núcleo","hipótesis histórica","poxvirus origin of the nucleus","[H] ⚠","C-333"
"hipótesis medusaviral del núcleo","hipótesis","medusavirus update of viral eukaryogenesis","[H] ⚠","C-335"
"hipótesis autógena de invaginación nuclear","hipótesis histórica","autogenous invagination model","[H] ⚠","C-339"
"submodelo nuclear inside-out","hipótesis","inside-out nuclear model","[H]","C-344"
"hipótesis del protocoatómero","hipótesis","protocoatomer hypothesis","[H]","C-348"
"β-propeller","plegamiento proteico","beta-propeller","n/a","C-350"
"α-solenoid","plegamiento proteico","alpha-solenoid","n/a","C-350"
"clatrina","proteína de cubierta","clathrin","n/a","C-351"
"COPI","complejo de cubierta","coat protein complex I","n/a","C-351"
"COPII","complejo de cubierta","coat protein complex II","n/a","C-351"
"módulo ancestral de curvatura de membrana no muestreado","entidad reconstruida","protocoatomer; coatomer-like ancestor","[H]","C-351"
"raíz del árbol eucariota","concepto filogenético","eukaryote root","[H]","C-431"
"hipótesis unikonta–bikonta","hipótesis histórica","Unikonta/Bikonta root","[H] ⚠","C-438"
"Opimoda","clado propuesto","n/a","[H] ⚠","C-442"
"Diphoda","clado propuesto","n/a","[H] ⚠","C-444"
"Discoba","clado","n/a","[H] ⚠","C-446"
"hipótesis de raíz excavada sucesiva","hipótesis","excavate root","[H] ⚠","C-449"
"hipótesis de raíz Opisthokonta","hipótesis","opisthokont root","[H] ⚠","C-453"
"fusión DHFR–TS","carácter molecular","dihydrofolate reductase–thymidylate synthase fusion","n/a","C-463"
"repertorios de miosina","carácter molecular","myosin repertoire","n/a","C-468"
"posiciones de intrones","carácter molecular","intron positions","n/a","C-479"
"Amorphea","clado","Unikonta en parte de la literatura histórica; Unikonta aproximadamente","≈ [F]","C-484"
"Amoebozoa","clado; concepto o entidad","n/a","[F]","C-485"
"Obazoa","clado","n/a","[F]","C-485"
"CRuMs","rótulo filogenómico provisional","Collodictyonida+Rigifilida+Mantamonas","[F]","C-490"
"Ancyromonadida","clado","Planomonadida en usos históricos parciales","⚠","C-493"
"Malawimonadida","clado","Malawimonads","⚠","C-494"
"Unikonta","nombre histórico","n/a","⚠","C-498"
"Podiata sensu Cavalier-Smith","concepto taxonómico histórico","podiates","⚠","C-501"
"Podiata sensu filogenómico reciente","clado propuesto","Amorphea+CRuMs","≈ [F]","C-502"
"Sulcozoa sensu Cavalier-Smith","concepto taxonómico histórico","n/a","⚠","C-504"
"Varisulca sensu Cavalier-Smith","concepto taxonómico histórico","n/a","⚠","C-507"
"Apusomonadida","clado","Apusomonads","[F]","C-543"
"Breviatea","clado","Breviates","[F]","C-552"
"Opisthokonta","clado","opistocontos","[F]","C-560"
"Holomycota","clado","Nucletmycea en parte de la literatura; Nucletmycea en algunos usos; Nucletmycea aproximadamente","⚠ ≈ [F]","C-568"
"Holozoa","clado","n/a","[F]","C-576"
"Ichthyosporea","clado","Mesomycetozoea en literatura histórica parcial; Mesomycetozoea en usos históricos parciales","⚠ [F]","C-584"
"Pluriformea sensu Hehenberger et al. 2017","clado","n/a","≈ [F]","C-592"
"Corallochytrea","clado","n/a","≈ [F]","C-600"
"Corallochytrium","género","n/a","n/a","C-600"
"Filasterea","clado","n/a","[F]","C-608"
"Filozoa","clado","n/a","[F]","C-616"
"Choanozoa sensu stricto","clado","Choanimal informal; Apoikozoa aproximadamente","≈ [F]","C-624"
"Choanoflagellata","clado; concepto o entidad","Choanoflagellatea; coanoflagelados","[F]","C-632"
"Metazoa","clado terminal; clado","Animalia; animales","[F]","C-640"
"hipótesis Pluriformea-sister","hipótesis","n/a","[H] ⚠","C-656"
"Teretosporea","clado propuesto","Ichthyosporea+Pluriformea","[H] ⚠","C-657"
"hipótesis Ichthyosporea-sister","hipótesis","n/a","[H] ⚠","C-659"
"Choanozoa sensu histórico","concepto taxonómico histórico","Choanozoa de Cavalier-Smith","⚠","C-667"
"Apoikozoa sensu Budd y Jensen","clado propuesto","Choanozoa sensu stricto aproximadamente","≈","C-669"
"clasificación eucariota de Adl et al. 2019","método o autoridad","n/a","n/a","C-684"
"EukProt","base de datos taxonómica","n/a","n/a","C-685"
"PR2","base de datos taxonómica","Protist Ribosomal Reference database","n/a","C-686"
"UniEuk","marco comunitario","n/a","n/a","C-687"
"Tabla Cronoestratigráfica Internacional 2026/06","estándar temporal","International Chronostratigraphic Chart 2026/06","n/a","C-688"
"marcado del corpus","convención documental","⚠; ≈; [F]; [H]","n/a","C-689"
"acritarco","categoría morfológica; taxón de forma artificial","acritarch","⚠","C-694"
"microscopía electrónica de transmisión","método","transmission electron microscopy; TEM","n/a","C-695"
"Grupo Roper","unidad estratigráfica","n/a","n/a","C-699"
"Re–Os","método geocronológico","rhenium–osmium dating","n/a","C-699"
"*Valeria lophostriata*","taxón o morfotipo fósil","n/a","†","C-701"
"*Tappania plana*","taxón o morfotipo fósil","n/a","† ⚠","C-702"
"*Dictyosphaera*","taxón o morfotipo fósil","n/a","† ⚠","C-703"
"Grupo Ruyang","unidad estratigráfica","n/a","n/a","C-703"
"*Shuiyousphaeridium*","taxón o morfotipo fósil","n/a","† ⚠","C-703"
"Formación Chuanlinggou","unidad estratigráfica","n/a","n/a","C-705"
"*Qingshania magnifica*","taxón o morfotipo fósil","n/a","† ⚠","C-705"
"Formación de Hierro Negaunee","unidad estratigráfica","Negaunee Iron-Formation","n/a","C-708"
"*Grypania spiralis*","taxón o morfotipo fósil","n/a","† ⚠","C-708"
"Dolomía Tirohan","unidad estratigráfica","Tirohan Dolomite","n/a","C-710"
"*Rafatazmia chitrakootensis*","taxón o morfotipo fósil","n/a","† ⚠","C-710"
"Grupo Chuar","unidad estratigráfica","Chuar Group","n/a","C-713"
"microfósiles con forma de vasija","taxón o morfotipo fósil","vase-shaped microfossils; VSM","† ⚠","C-713"
"organismo perforador del Grupo Chuar no identificado","linaje no identificado","n/a","⚠","C-716"
"*Bangiomorpha pubescens*","taxón o morfotipo fósil","n/a","† ⚠","C-720"
"U–Pb CA-ID-TIMS","método geocronológico","chemical abrasion–isotope dilution–thermal ionization mass spectrometry","n/a","C-721"
"Formación Grassy Bay","unidad estratigráfica","Grassy Bay Formation","n/a","C-724"
"Fungi","clado","hongos","n/a","C-724"
"*Ourasphaira giraldae*","taxón o morfotipo fósil","n/a","† ⚠","C-724"
"*Bicellum brasieri*","taxón o morfotipo fósil","n/a","† ⚠","C-727"
"Formación Diabaig","unidad estratigráfica","Diabaig Formation","n/a","C-727"
"Apoikozoa","concepto taxonómico","Choanozoa sensu stricto según circunscripción","≈ [F]","C-730"
"Choanozoa *sensu stricto*","concepto taxonómico","Apoikozoa según circunscripción","≈ [F]","C-730"
"holozoo fósil de posición interna indeterminada","linaje descriptivo","n/a","⚠","C-730"
"Formación Doushantuo","unidad estratigráfica","Doushantuo Formation","n/a","C-731"
"biota de Weng’an","conjunto fósil","Weng’an biota","n/a","C-732"
"U–Pb SIMS","método geocronológico","secondary ion mass spectrometry","n/a","C-732"
"*Megasphaera*","taxón o morfotipo fósil","n/a","† ⚠","C-733"
"*Tianzhushania*","taxón o morfotipo fósil","n/a","† ⚠","C-733"
"*Caveasphaera*","taxón o morfotipo fósil","n/a","† ⚠","C-736"
"*Helicoforamina*","taxón o morfotipo fósil","n/a","† ⚠","C-738"
"esterano","biomarcador","sterane","n/a","C-742"
"protosteroide","biomarcador","protosteroid","n/a","C-744"
"24-isopropilcolestano","biomarcador","24-isopropylcholestane; 24-ipc","⚠","C-746"
"Rhizaria","clado","n/a","n/a","C-747"
"esterol C30","clase molecular","C30 sterol","n/a","C-748"
"*Saccharomyces cerevisiae*","organismo","levadura de panificación","n/a","C-749"
"reloj molecular relajado","método","relaxed molecular clock","n/a","C-757"
"Gran Oxidación","evento geoquímico","Great Oxidation Event; GOE","n/a","C-793"
"excursión Lomagundi–Jatuli","evento isotópico","Lomagundi–Jatuli excursion","n/a","C-794"
"isótopos de cromo","proxy geoquímico","chromium isotopes","n/a","C-798"
"anomalía de cerio","proxy geoquímico","cerium anomaly","n/a","C-800"
"especiación de hierro","proxy redox","iron speciation","n/a","C-811"
"isótopos de molibdeno","proxy redox","molybdenum isotopes","n/a","C-814"
"relación P/Fe","proxy de fósforo","phosphorus-to-iron ratio","n/a","C-817"
"«aburrido millardo»","término histórico","Boring Billion","⚠","C-821"
"glaciación Sturtiana","evento climático","Sturtian glaciation","n/a","C-823"
"glaciación Marinoana","evento climático","Marinoan glaciation","n/a","C-824"
"*Arcobacter*","taxón bacteriano","n/a","n/a","C-830"
"*Lenisia limosa*","organismo","n/a","n/a","C-830"
"*Biomphalaria glabrata*","organismo hospedador","n/a","n/a","C-832"
"*Capsaspora owczarzaki*","organismo; taxón","Capsaspora owczarzaki","n/a","C-832"
"*Monosiga brevicollis*","organismo","n/a","n/a","C-852"
"*Salpingoeca rosetta*","organismo; taxón","Salpingoeca rosetta","n/a","C-853"
"multicelularidad clonal","rasgo","clonal multicellularity","n/a","C-854"
"*Algoriphagus machipongonensis*","organismo","n/a","n/a","C-855"
"RIF-1","señal bacteriana","rosette-inducing factor 1","n/a","C-856"
"IOR-1","señal bacteriana","inhibitor of rosettes 1","n/a","C-858"
"RIF-2","señal bacteriana","rosette-inducing factor 2","n/a","C-858"
"EroS","enzima bacteriana; proteína/enzima","extracellular regulator of sex; liasa de condroitina; EroS chondroitinase; chondroitin lyase","n/a","C-860"
"*Vibrio fischeri*","organismo; taxón","Vibrio fischeri","n/a","C-860"
"*Choanoeca flexa*","organismo","n/a","n/a","C-866"
"multicelularidad agregativa","rasgo","aggregative multicellularity","n/a","C-871"
"*Ministeria vibrans*","organismo","n/a","n/a","C-876"
"crecimiento cenocítico","rasgo","coenocytic growth","n/a","C-878"
"osmotrofia","modo trófico","osmotrophy","n/a","C-878"
"*Sphaeroforma arctica*","organismo","n/a","n/a","C-878"
"*Creolimax fragrantissima*","organismo","n/a","n/a","C-882"
"*Pigoraptor chileana*","organismo","n/a","n/a","C-884"
"*Pigoraptor vietnamica*","organismo","n/a","n/a","C-884"
"Pluriformea","clado","n/a","⚠ [F]","C-884"
"*Syssomonas multiformis*","organismo","n/a","n/a","C-884"
"*Tunicaraptor unikontum*","organismo","n/a","⚠","C-887"
"*Pygsuia biforma*","organismo","n/a","n/a","C-894"
"rodoquinona","quinona respiratoria","rhodoquinone","n/a","C-894"
"rquA","gen; gen, proteína o sistema molecular","n/a","n/a","C-895"
"*Fonticula alba*","organismo","n/a","n/a","C-896"
"*Allomyces*","organismo hospedador","n/a","n/a","C-900"
"parasitismo","interacción ecológica; concepto o entidad terminológica","parasitism","n/a","C-900"
"*Rozella allomycis*","organismo parásito","n/a","n/a","C-900"
"Cryptomycota","clado","Rozellomycota en algunas clasificaciones","⚠","C-901"
"Microsporidia","clado; taxón, organismo o linaje","microsporidios","n/a","C-901"
"*Dictyostelium discoideum*","organismo; taxón","Dictyostelium discoideum","n/a","C-903"
"bucle viral","proceso ecológico","viral loop; viral shunt","n/a","C-913"
"Lokiarchaeota","clado arqueano","n/a","⚠ [F]","C-915"
"*Acanthamoeba castellanii*","organismo hospedador","n/a","n/a","C-917"
"Medusavirus","virus gigante","n/a","n/a","C-917"
"Mimivirus","virus gigante","n/a","n/a","C-968"
"Pandoravirus","virus gigante","n/a","n/a","C-968"
"Pithovirus","virus gigante","pitovirus","n/a","C-968"
"GMP–AMP cíclico","segundo mensajero","cyclic GMP–AMP; cGAMP","n/a","C-920"
"cGAS–STING","sistema de defensa","n/a","n/a","C-921"
"viperina","proteína antiviral","viperin","n/a","C-922"
"Argonaute","familia proteica","Ago","n/a","C-924"
"asociación intracelular, con independencia del signo de aptitud","proceso o relación","n/a","n/a","C-972"
"endosimbiosis","proceso o relación","n/a","n/a","C-972"
"interacciones persistentes de signo positivo, neutro o negativo","concepto o entidad biológica","n/a","n/a","C-973"
"simbiosis","proceso o relación; concepto o entidad terminológica","n/a","n/a","C-973"
"herencia del socio a través de reproducción del hospedador","concepto o entidad biológica","n/a","n/a","C-974"
"transmisión vertical","proceso o relación","n/a","n/a","C-974"
"adquisición no ligada exclusivamente a la descendencia directa","concepto o entidad biológica","n/a","n/a","C-975"
"transmisión horizontal","proceso o relación","n/a","n/a","C-975"
"movimiento de genes desde endosimbionte u orgánulo al hospedador","magnitud o conjunto de datos","n/a","n/a","C-976"
"transferencia génica endosimbiótica","proceso o relación","n/a","n/a","C-976"
"transferencia génica horizontal","proceso o relación","n/a","n/a","C-977"
"dependencia, transmisión, reducción genómica, transferencia e importación","proceso o relación","n/a","n/a","C-978"
"grado de integración","proceso o relación","n/a","n/a","C-978"
"límite endosimbionte-orgánulo","orgánulo o compartimento","n/a","n/a","C-979"
"sin criterio universal único","concepto o entidad biológica","n/a","n/a","C-979"
"progresión evolutiva lineal","concepto o entidad biológica","n/a","n/a","C-980"
"tipología de desenlaces","concepto o entidad biológica","n/a","n/a","C-980"
"contacto sin consecuencia","concepto o entidad biológica","n/a","n/a","C-981"
"dificultad de demostrar ausencia de efecto","concepto o entidad biológica","n/a","n/a","C-981"
"cepas bacterianas ensayadas por Alegado et al.","magnitud o conjunto de datos","n/a","n/a","C-982"
"resultado nulo fuera de Bacteroidetes para el extremo de inducción ensayado","concepto o entidad biológica","n/a","n/a","C-982"
"Alteromonas","concepto o entidad biológica","n/a","n/a","C-983"
"Lenisia limosa","taxón, organismo o linaje","n/a","n/a","C-983"
"parásitos intracelulares obligados","concepto o entidad biológica","n/a","n/a","C-984"
"Hatena arenicola","taxón, organismo o linaje","n/a","n/a","C-985"
"Nephroselmis","taxón, organismo o linaje","n/a","n/a","C-985"
"asociación estable sin herencia vertical demostrada","concepto o entidad biológica","n/a","n/a","C-986"
"Lenisia limosa–Arcobacter","taxón, organismo o linaje","n/a","n/a","C-986"
"metanógenos endosimbióticos de ciliados anaerobios","taxón, organismo o linaje","n/a","n/a","C-987"
"transmisión vertical documentada","proceso o relación","n/a","n/a","C-987"
"áfido–Buchnera aphidicola","taxón, organismo o linaje","n/a","n/a","C-988"
"dependencia mutua obligada","proceso o relación","n/a","n/a","C-988"
"Paulinella chromatophora","magnitud o conjunto de datos","n/a","n/a","C-989"
"transferencia génica endosimbiótica e importación proteica","proceso o relación","n/a","n/a","C-989"
"núcleo endosimbiótico extremadamente reducido","magnitud o conjunto de datos","n/a","n/a","C-990"
"nucleomorfo","orgánulo o compartimento","n/a","n/a","C-990"
"Monocercomonoides exilis","taxón, organismo o linaje","n/a","n/a","C-991"
"orgánulo derivado de la mitocondria","orgánulo o compartimento","n/a","n/a","C-991"
"ruptura con recuperación de vida libre por el mismo linaje reducido","concepto o entidad biológica","n/a","n/a","C-992"
"Arcobacter epibionte","taxón, organismo o linaje","n/a","n/a","C-993"
"Arcobacter epibionte de Lenisia","taxón, organismo o linaje","n/a","n/a","C-994"
"contacto mediante estructura semejante a pilus","concepto o entidad biológica","n/a","n/a","C-994"
"H₂ hacia Arcobacter","taxón, organismo o linaje","n/a","n/a","C-995"
"expresión condicional de hidrogenasa aceptora de NAD(P)H","concepto o entidad biológica","n/a","n/a","C-996"
"dos veces el ATP teórico de la ruta alternativa","concepto o entidad biológica","n/a","n/a","C-997"
"ruta fermentativa de Lenisia con Arcobacter","taxón, organismo o linaje","n/a","n/a","C-997"
"respiración con N₂O","concepto o entidad biológica","n/a","n/a","C-998"
"crecimiento y respiración de Lenisia","taxón, organismo o linaje","n/a","n/a","C-999"
"inhibición de la respiración de Arcobacter","taxón, organismo o linaje","n/a","n/a","C-999"
"factores usados en interacciones patógenas y mutualistas","concepto o entidad biológica","n/a","n/a","C-1000"
"proteínas de Arcobacter","magnitud o conjunto de datos","n/a","n/a","C-1000"
"función metabólica del microbioma","magnitud o conjunto de datos","n/a","n/a","C-1001"
"supervivencia de breviados anaerobios","concepto o entidad biológica","n/a","n/a","C-1001"
"microbiomas de breviados","magnitud o conjunto de datos","n/a","n/a","C-1002"
"socios candidatos de varias familias bacterianas","concepto o entidad biológica","n/a","n/a","C-1002"
"breviados anaerobios de S225","concepto o entidad biológica","n/a","n/a","C-1003"
"dependencia de comunidad en cultivo","proceso o relación","n/a","n/a","C-1003"
"breviados y bacterias asociadas","concepto o entidad biológica","n/a","n/a","C-1004"
"codiversificación significativa localizada","concepto o entidad biológica","n/a","n/a","C-1004"
"Lenisia–Arcobacter","taxón, organismo o linaje","n/a","n/a","C-1005"
"sintrofía externa funcional","concepto o entidad biológica","n/a","n/a","C-1005"
"asociación ancestral mitocondrial no observada","orgánulo o compartimento","n/a","n/a","C-1006"
"consorcios ANME–SRB","magnitud o conjunto de datos","n/a","n/a","C-1007"
"transición metano–sulfato","concepto o entidad biológica","n/a","n/a","C-1007"
