"clave","tipo","participantes con su papel","entidad resultante si la hay","intervalo temporal","# de las filas que lo sostienen","qué fuente lo describe como evento","desenlace"
"E11","endosimbiosis","linaje hospedador arqueano no identificado (hospedador); simbionte alfaproteobacteriano ancestral no muestreado (endosimbionte)","mitocondria ancestral integrada","entre mFECA 2.37–2.13 Ga y LECA 1.80–1.67 Ga en S58","C-205; C-233","S56 líneas 312–324; S58 líneas 91–93; S57 pp. 297–301","integración heredable"
"E12","transferencia horizontal","intrones de grupo II del simbionte (donante); genoma del linaje hospedador arqueano no identificado (receptor)","carga de intrones pre-LECA propuesta","tallo eucariota; orden absoluto no resuelto","C-324; C-325","S91 modelo; S68 Results","no determinado"
"E13","adquisición de rasgo","población LECA reconstruida (linaje resultante)","envoltura nuclear y complejo del poro","antes de LECA; fecha interna no resuelta","C-222","S61 Results; S56 fig. 2","integración heredable"
"E14","adquisición de rasgo","población LECA reconstruida (linaje resultante)","sistema endomembranoso con Rab y SNARE diversificados","antes de LECA; fecha interna no resuelta","C-227","S65, S66","integración heredable"
"E15","adquisición de rasgo","población LECA reconstruida (linaje resultante)","cilio, cuerpo basal e IFT","antes de LECA; fecha interna no resuelta","C-230","S69, S70, S71","integración heredable"
"E16","adquisición de rasgo","población LECA reconstruida (linaje resultante)","peroxisoma","antes de LECA; fecha interna no resuelta","C-238","S73, S74","integración heredable"
"E17","adquisición de rasgo","población LECA reconstruida (linaje resultante)","mitosis cerrada ortomítica reconstruida","antes de LECA; fecha interna no resuelta","C-243","S75","integración heredable"
"E18","adquisición de rasgo","población LECA reconstruida (linaje resultante)","meiosis o proceso homólogo","antes de LECA; fecha interna no resuelta","C-246","S77, S78","integración heredable"
"E19","adquisición de rasgo","sistema semejante a IFT-B (población parental); IFT-A y BBSome (linaje resultante)","módulos IFT-A y BBSome","pre-LECA; fecha no localizada","C-232","S71 fig. 5","integración heredable"
"E20","adquisición de rasgo","módulo ancestral de curvatura de membrana no muestreado (población parental); COPI, COPII, clatrina y poro nuclear (linaje resultante)","familias de cubierta y poro","pre-LECA; fecha no localizada","C-351","S97, S98, S99","integración heredable"
"E21","asociación no heredable","Promethearchaeum syntrophicum (simbionte extracelular); socios microbianos del enriquecimiento (simbionte extracelular)","cultivo sintrófico observado","experimento publicado en 2020","C-318","S34 Results","transitoria"
"E22","endosimbiosis","linaje hospedador arqueano no identificado (hospedador); socio bacteriano de E3 (endosimbionte)","mitocondria ancestral según E3","tallo eucariota; no fechado por E3","C-317; C-319","S34 fig. 6","no determinado"
"E23","divergencia","población LECA reconstruida (población parental); Opimoda+ (linaje resultante); Diphoda+ (linaje resultante)","Opimoda+ y Diphoda+","intervalo no fechado de forma consensuada","C-459; C-460","S102 figs. 1–2","no determinado"
"E24","divergencia","población ancestral de Amorphea (población parental); Amoebozoa (linaje resultante); Obazoa (linaje resultante)","Amoebozoa y Obazoa","NO LOCALIZADO EN ESTA SESIÓN","C-486; C-519; C-528","S01 clasificación; S109 árbol","no determinado"
"E25","divergencia","población ancestral de Obazoa (población parental); Breviatea (linaje resultante); Apusomonadida+Opisthokonta (linaje resultante)","ramas de Obazoa","NO LOCALIZADO EN ESTA SESIÓN","C-535; C-553","S109 árbol","no determinado"
"E26","divergencia","población ancestral de Opisthokonta (población parental); Holomycota (linaje resultante); Holozoa (linaje resultante)","Holomycota y Holozoa","1.083,2 Ma como edad de Opisthokonta en S126","C-560; C-566","S126 fig. 3","no determinado"
"E27","divergencia","población ancestral de Holozoa (población parental); Pluriformea (linaje resultante); Ichthyosporea (linaje resultante); Filozoa (linaje resultante)","ramas profundas de Holozoa","orden no resuelto","C-576; C-656–C-666","S126 figs. 4–5","no determinado"
"E28","divergencia","población ancestral de Filozoa (población parental); Filasterea (linaje resultante); Choanozoa sensu stricto (linaje resultante)","Filasterea y Choanozoa sensu stricto","NO LOCALIZADO EN ESTA SESIÓN","C-616; C-609","S130 fig. 1","no determinado"
"E29","divergencia","población ancestral de Choanozoa sensu stricto (población parental); Choanoflagellata (linaje resultante); Metazoa (linaje resultante)","Choanoflagellata y Metazoa","761–957 Ma en S142","C-624; C-630","S142 tabla 1; S130 fig. 1","no determinado"
"E30","depredación","organismo perforador del Grupo Chuar no identificado (depredador); acritarcos del Grupo Chuar (presa)","microfósiles con perforaciones","780–740 Ma","C-714–C-717; C-905","S158 resultados; tabla 1; discusión","no determinado"
"E31","depredación","organismo perforador del Grupo Chuar no identificado (depredador); VSM del Grupo Chuar (presa)","VSM con perforaciones","780–740 Ma","C-714; C-718–C-719; C-905","S158 discusión; material comparativo","no determinado"
"E32","adquisición de rasgo","linaje de *Salpingoeca rosetta* (linaje resultante)","roseta clonal inducible","no consta en la fuente","C-854–C-859","S200 resultados; S201, S202 resultados","no determinado"
"E33","asociación no heredable","*Algoriphagus machipongonensis* (simbionte extracelular); *Salpingoeca rosetta* (receptor)","rosetas inducidas por RIF","minutos a días de cultivo; duración exacta no unificada","C-855–C-859; C-1493–C-1494","S201 figs. 1–4; S202 figs. 2–4; S201 resultados","transitoria"
"E34","asociación no heredable","*Vibrio fischeri* (simbionte extracelular); *Salpingoeca rosetta* (receptor)","enjambres y apareamiento inducidos","inicio desde 15 min; enjambres dentro de 30 min","C-860–C-865","S203 fig. 1","transitoria"
"E35","adquisición de rasgo","*Choanoeca flexa* (linaje resultante)","inversión colectiva regulada por luz","aprox. 30 s por respuesta","C-866–C-869; C-929","S204 figs. 1–4","transitoria"
"E36","adquisición de rasgo","*Capsaspora owczarzaki* (linaje resultante)","agregación multicelular","4–5 días bajo 60 rpm en el protocolo","C-870–C-875; C-1523–C-1529","S206 métodos; figs. 2–3; S206; S427; S428","transitoria"
"E37","adquisición de rasgo","*Sphaeroforma arctica* (linaje resultante)","celularización de coenocito","ciclos nucleares de 11–12 h; hasta 128 núcleos","C-878–C-881; C-1507–C-1513","S207 resultados; S208 figs. 2–6; S207; S208; S425","transitoria"
"E38","depredación","*Syssomonas multiformis* (depredador); presa eucariota no especificada en esta tabla (presa)","agregado alimentario transitorio","no consta en la fuente","C-884–C-886","S132 resultados; figs. 4–6","transitoria"
"E39","depredación","*Tunicaraptor unikontum* (depredador); eucariotas unicelulares (presa)","célula alimentada","no consta en la fuente","C-887–C-888","S131 resumen; figuras morfológicas","transitoria"
"E40","asociación no heredable","*Lenisia limosa* (simbionte extracelular); *Arcobacter* (simbionte extracelular)","consorcio sintrófico externo","actual; sin antigüedad de origen localizada","C-830; C-890–C-893","S210 resumen; figs. 1–2","dependencia"
"E41","transferencia horizontal","donante bacteriano no identificado (donante); *Pygsuia biforma* (receptor)","gen rquA en *Pygsuia biforma*","no consta en la fuente","C-894–C-895","S211 filogenia; discusión","integración heredable"
"E42","adquisición de rasgo","*Fonticula alba* (linaje resultante)","cuerpo fructífero agregativo","no consta en la fuente","C-896, C-899","S213 resultados y filogenia","no determinado"
"E43","relación huésped-patógeno","*Allomyces* (huésped); *Rozella allomycis* (parásito)","infección intracelular","actual; ciclo experimental","C-900","S214 introducción y resultados","dependencia"
"E44","reducción genómica","linajes de Microsporidia (linaje resultante)","genomas reducidos y mitosomas","intervalo evolutivo no localizado","C-901–C-902","S214 discusión","degradación"
"E45","competencia","genotipos de *Dictyostelium discoideum* (competidor)","quimera con reparto desigual de esporas y tallo","ciclo social experimental","C-903–C-904; C-1539–C-1543","S215 resultados; S215; S430; S431","transitoria"
"E46","relación huésped-patógeno","Lokiarchaeota y Helarchaeota (huésped); seis virus asgard (parásito)","genomas virales metagenómicos","actual; sedimentos marinos profundos","C-915–C-916","S217 resumen; métodos","no determinado"
"E47","relación huésped-patógeno","*Acanthamoeba castellanii* (huésped); Medusavirus (parásito)","infección viral experimental","actual","C-917–C-918","S222 resumen y discusión","transitoria"
"E48","adquisición de rasgo","bacterias con sistema cGAS-like (linaje resultante)","defensa antiviral por cGAMP","actual; ensayo experimental","C-920–C-921","S218 resumen y discusión","integración heredable"
"E49","adquisición de rasgo","bacterias y arqueas con viperinas procariotas (linaje resultante)","producción de nucleótidos antivirales","actual; ensayo experimental","C-922–C-923","S219 resultados y discusión","integración heredable"
"E50","adquisición de rasgo","*Thermus thermophilus* con Argonaute (linaje resultante)","interferencia de ADN guiada por ADN","actual; ensayo experimental","C-924–C-925","S220 resultados","integración heredable"
"E51","adquisición de rasgo","linaje eucariota troncal no muestreado (receptor); intrones de grupo II del endosimbionte (donante)","intrones espliceosomales y compartimentación propuesta","tallo eucariota; edad no localizada","C-926–C-927","S221 tesis general","no determinado"
"E52","asociación no heredable","*Lenisia limosa* (hospedador); *Arcobacter* (simbionte extracelular)","consorcio Lenisia–Arcobacter","presente; origen no localizado","C-993–C-1006","S210; S225","dependencia"
"E53","depredación","*Lenisia limosa* (depredador); *Alteromonas* (presa)","n/a","observado en cultivo","C-983","S210","transitoria"
"E54","asociación no heredable","ANME (simbionte extracelular); SRB (simbionte extracelular)","consorcio ANME–SRB","presente; origen no localizado","C-1007–C-1013","S226; S227","dependencia"
"E55","endosimbiosis","*Pelomyxa* (hospedador); arquea metanógena (endosimbionte)","consorcio intracelular de *Pelomyxa*","origen no localizado","C-1014–C-1021","S231, S232, S233","dependencia"
"E56","endosimbiosis","ciliado anaerobio (hospedador); arquea metanógena (endosimbionte)","consorcios ciliado–metanógeno","múltiples orígenes; sin edad absoluta localizada","C-1022–C-1027","S234, S235, S236","dependencia"
"E57","endosimbiosis","*Angomonas deanei* (hospedador); *Candidatus Kinetoplastibacterium* (endosimbionte)","asociación heredable de una bacteria por célula","origen no localizado","C-1028–C-1032","S237, S238, S239","integración heredable"
"E58","transferencia génica endosimbiótica","*Kinetoplastibacterium* (donante); núcleo de *Angomonas* (receptor)","gen OCD nuclear","origen no localizado","C-1033–C-1035","S238","integración heredable"
"E59","endosimbiosis","*Paramoeba* (hospedador); *Perkinsela* (endosimbionte)","simbiosis amoeba–kinetoplástido","origen no localizado","C-1036–C-1042","S240; S241","dependencia"
"E60","endosimbiosis","*Paulinella chromatophora* (hospedador); cianobacteria ancestral (endosimbionte)","cromatóforo","90–140 Ma","C-1043–C-1046; C-1636","S242; S245","integración heredable"
"E61","transferencia génica endosimbiótica","cromatóforo (donante); núcleo de *Paulinella* (receptor)","genes cromatofóricos nucleares","después de E60; orden fino no localizado","C-1047–C-1049","S243","integración heredable"
"E62","adquisición de rasgo","núcleo de *Paulinella* (donante); cromatóforo (receptor)","importación proteica al cromatóforo","después de E60; orden fino no localizado","C-1050–C-1052","S243; S244","integración heredable"
"E63","endosimbiosis","*Braarudosphaera bigelowii* (hospedador); UCYN-A (endosimbionte)","nitroplasto","asociación ancestral inferida hacia el Cretácico tardío a partir de divergencia UCYN-A1–UCYN-A2 de ~91 Ma; no es fecha directa de captura","C-1054–C-1061; C-1638–C-1639","S246, S247, S248; S455 resultados y discusión","integración heredable"
"E64","endosimbiosis","*Hatena arenicola* (hospedador); *Nephroselmis* (endosimbionte)","célula fotosintética de *Hatena*","readquirida durante el ciclo celular","C-1062–C-1067","S249; S250","transitoria"
"E65","endosimbiosis","diatomea (hospedador); cianobacteria (endosimbionte)","cuerpo esferoidal o diazoplasto","origen de Rhopalodiaceae ~12 Ma; ancestro común del muestreo de Epithemia en S456 <35 Ma","C-1068–C-1070; C-1637; C-1640–C-1641","S251; S252; S454; S456","integración heredable"
"E66","asociación no heredable","*Mesodinium rubrum* (hospedador); criptófita (donante)","orgánulos y núcleo secuestrados","repetida durante alimentación","C-1072–C-1074","S253","transitoria"
"E67","asociación no heredable","*Dinophysis* (hospedador); plasto criptófito (donante)","kleptoplasto","repetida durante alimentación","C-1075–C-1077","S254; S255","transitoria"
"E68","asociación no heredable","babosa marina (hospedador); alga (donante)","kleptoplasto","repetida durante alimentación","C-1078–C-1081","S256; S257","transitoria"
"E69","endosimbiosis","ancestro criptófito o cloraracniófito (hospedador); alga roja o verde (endosimbionte)","plasto secundario y nucleomorfo","origen no localizado en esta entrega","C-1082–C-1087","S258; S259","integración heredable"
"E70","endosimbiosis","piojo harinoso (hospedador); *Tremblaya* (endosimbionte); *Moranella* (endosimbionte)","simbiosis anidada tripartita","origen no localizado","C-1089–C-1093","S260; S261","dependencia"
"E71","transferencia horizontal","bacterias diversas (donante); genoma de piojo harinoso (receptor)","genes bacterianos del hospedador","origen no localizado","C-1093","S261","integración heredable"
"E72","endosimbiosis","*Tremblaya* (hospedador); linajes bacterianos sucesivos (endosimbionte)","reemplazo del simbionte interno","varios episodios inferidos","C-1094–C-1095","S262","degradación"
"E73","endosimbiosis","áfido (hospedador); *Buchnera aphidicola* (endosimbionte)","mutualismo nutricional obligado","al menos 80–150 Ma para cepas comparadas","C-1096–C-1102","S263, S264, S265, S266","dependencia"
"E74","transferencia horizontal","*Wolbachia* (donante); nueva especie de lepidóptero (receptor)","infección por *Wolbachia*","múltiples episodios inferidos","C-1103–C-1107","S267; S268","no determinado"
"E75","reducción genómica","mitocondria de *Nyctotherus* (linaje resultante)","mitocondria productora de hidrógeno con genoma","origen no localizado","C-1124–C-1130","S270","degradación"
"E76","pérdida de rasgo","hidrogenosoma de *Trichomonas* (linaje resultante)","pérdida de genoma y traducción organelar","origen no localizado","C-1131–C-1135","S271","degradación"
"E77","pérdida de rasgo","mitosoma de *Giardia* (linaje resultante)","pérdida de producción organelar de ATP","origen no localizado","C-1136–C-1139","S272; S273","degradación"
"E78","pérdida de rasgo","mitosomas microsporidianos (linaje resultante)","reducción con ISC residual","orígenes internos no resueltos aquí","C-1142–C-1145","S269; S297","degradación"
"E79","transferencia horizontal","bacteria no identificada (donante); *Monocercomonoides exilis* (receptor)","sistema SUF citosólico","anterior a pérdida completa del MRO","C-1146–C-1149","S275, S276, S277","integración heredable"
"E80","pérdida de rasgo","linaje de *Monocercomonoides* (linaje resultante)","pérdida completa del MRO","posterior a adquisición de SUF; fecha no localizada","C-1146–C-1149","S275, S276, S277","pérdida"
"E81","pérdida de rasgo","*Henneguya salminicola* (linaje resultante)","pérdida de genoma mitocondrial","origen no localizado","C-1150–C-1153","S278","degradación"
"E82","transferencia génica endosimbiótica","protomicondria (donante); núcleo eucariota ancestral (receptor)","genes mitocondriales nucleares","tallo eucariota; orden fino sin resolver","C-1162–C-1165; C-1200","S281, S282, S283","integración heredable"
"E83","adquisición de rasgo","núcleo eucariota ancestral (donante); protomicondria (receptor)","maquinaria de importación TOM/TIM","tallo eucariota; orden fino sin resolver","C-1164–C-1165; C-1200","S282; S283","integración heredable"
"E84","transferencia horizontal","bacteria (donante); ancestros de *Pygsuia* y otros eucariotas (receptor)","rquA","al menos dos transferencias bacteria→eucariota y transferencias posteriores","C-1191–C-1192","S211","integración heredable"
"E85","transferencia horizontal","bacteria (donante); *Pygsuia biforma* (receptor)","sistema SUF del MRO","origen no localizado","C-1193–C-1194","S294","integración heredable"
"E86","endosimbiosis","dinoflagelado dinotomo (hospedador); diatomea (endosimbionte)","endosimbionte diatomeo terciario con núcleo y mitocondria","origen absoluto no localizado","C-1206–C-1212","S301; S302","dependencia"
"E87","endosimbiosis","ancestro kareniáceo (hospedador); haptófita (endosimbionte)","plasto terciario haptófito","número y fecha de adquisiciones sin resolver","C-1211; C-1213–C-1214","S302; S303","integración heredable"
"E88","transferencia génica endosimbiótica","endosimbionte diatomeo o haptófito (donante); núcleo dinoflagelado (receptor)","genes endosimbióticos nucleares candidatos","posterior a endosimbiosis terciaria","C-1211–C-1212","S302","integración heredable"
"E89","adquisición de rasgo","LECA (linaje resultante)","programa sexual meiótico ancestral","antes de la divergencia de eucariotas vivientes","C-1387, C-1388, C-1390","S77, S346, S347, S348; S353; S354; S78, S357, S358","integración heredable"
"E90","adquisición de rasgo","célula haploide de Salpingoeca rosetta (población parental); pareja compatible (población parental)","célula diploide de Salpingoeca rosetta","minutos para fusión tras contacto; ciclo completo no localizado","C-1417–C-1419, C-1451–C-1453","S349; S203","transitoria"
"E91","adquisición de rasgo","Vibrio fischeri (donante); Salpingoeca rosetta (receptor)","entrada inducida al apareamiento","enjambre dentro de 30 minutos","C-1448–C-1454","S203","transitoria"
"E92","adquisición de rasgo","células haploides compatibles de Dictyostelium discoideum (población parental)","cigoto y macrocisto","duración no localizada en esta sesión","C-1424–C-1425, C-1427","S365, S366, S367","transitoria"
"E93","depredación","cigoto de Dictyostelium discoideum (depredador); células atraídas (presa)","nutrición del macrocisto","durante desarrollo sexual","C-1426","S367 fig. 1","transitoria"
"E94","adquisición de rasgo","núcleo A de Giardia intestinalis (donante); núcleo B (receptor)","intercambio por diplomixis","durante enquistamiento","C-1435–C-1438","S368; S369","transitoria"
"E95","adquisición de rasgo","Bangiomorpha pubescens (linaje resultante)","diferenciación reproductiva interpretada como sexo","1.047 +0.013/−0.017 Ga para primera aparición","C-1443–C-1447","S159; S160","no determinado"
"E96","adquisición de rasgo","Fisculla terrestris bajo inanición (población parental)","fusión celular y expresión asociada con meiosis","tiempo experimental publicado en S372; no transcrito en esta sesión","C-1441, C-1442","S372","transitoria"
"E97","adquisición de rasgo","población teñida A de Ministeria vibrans (población parental); población teñida B de Ministeria vibrans (población parental)","célula fusionada de Ministeria vibrans","condiciones de agregación; seguimiento por aproximadamente 2.7 horas por célula","C-1471–C-1475","S376 fig. 6e–g; Extended Data fig. 10j–o","transitoria"
"E98","endosimbiosis","linaje hospedador arqueano no identificado (hospedador); simbionte alfaproteobacteriano ancestral no muestreado (endosimbionte)","mitocondria ancestral integrada","tallo eucariota; edad no tratada en esta parte","C-1857; C-1860","S411 síntesis; Parte 1A §2.6","integración heredable"
"E99","endosimbiosis","linaje hospedador eucariota ancestral de Archaeplastida no muestreado (hospedador); simbionte cianobacteriano ancestral no muestreado (endosimbionte)","plasto primario ancestral","intervalo no tratado en esta parte","C-1858; C-1860","S411 p. 1286","integración heredable"
"E100","adquisición de rasgo","Choanoeca flexa (linaje resultante)","lámina clonal-agregativa","minutos a 24 h en cultivo","C-1487; C-1498–C-1502","S424 figs. 1–2","transitoria"
"E101","pérdida de rasgo","Choanoeca flexa (linaje resultante)","disociación de láminas","cuatro días de evaporación experimental","C-1505","S424 fig. 4","degradación"
"E102","adquisición de rasgo","Choanoeca flexa (linaje resultante)","restauración de láminas","tras rehidratación; duración exacta variable","C-1505","S424 fig. 4","transitoria"
"E103","asociación no heredable","Ministeria vibrans (huésped); Thalassospira lucentensis (simbionte extracelular)","agregados de cientos de células","decenas de células dentro de 24 h","C-1530–C-1534","S376 figs. 2–3","transitoria"
"E104","depredación","Fonticula alba (depredador); bacterias del parche (presa)","colectivo alimentario dinámico","duración no consolidada","C-1536","S429 figs. 1–6","transitoria"
"E105","adquisición de rasgo","Saccharomyces cerevisiae experimental (población parental); levadura snowflake (linaje resultante)","multicelularidad clonal por separación incompleta","dentro de 60 transferencias diarias","C-1547–C-1550","S432","integración heredable"
"E106","adquisición de rasgo","levadura snowflake anaerobia (población parental); poblaciones macroscópicas (linaje resultante)","tamaño milimétrico y entrelazamiento","600 rondas de selección","C-1551–C-1555","S433","integración heredable"
"E109","relación huésped-patógeno","*Ichthyophonus* (parásito); peces expuestos (huésped)","infección sistémica tras ingestión","formas tempranas 24–48 h; esquizontes 20–25 días","C-936","S469; S475","dependencia"
"E110","depredación","*Nuclearia delicatula* (depredador); *Spirogyra* dañada y *Phormidium* (presa)","consumo observado","duración no publicada en la fuente recuperada","C-948","S478 resumen","transitoria"
"E111","relación huésped-patógeno","*Rhizophydium planktonicum* (parásito); *Asterionella formosa* (huésped)","zoosporas y esporangio","serie de campo de tres años; ciclo individual no cronometrado aquí","C-949","S479","dependencia"
