"magnitud","valor tal como lo publica la fuente","unidad original","organismo, nodo o intervalo al que se aplica","método o proxy","incertidumbre publicada","observado o inferido","fuente con localizador","#"
"proteínas procarióticas comparadas","19.050.992","proteínas","muestreo de Brueckner y Martin","búsqueda de homología","n/a","observado","S20 Methods","C-070"
"genomas bacterianos comparados","5.443","genomas","Bacteria","muestreo genómico","n/a","observado","S20 Methods","C-070"
"genomas arqueanos comparados","212","genomas","Archaea","muestreo genómico","n/a","observado","S20 Methods","C-070"
"genes identificables de afinidad arqueana","44","%","genes eucariotas con afinidad procariótica identificable","clasificación filogenética/homología","dependiente del conjunto identificable","inferido","S20 Results; fig. 2","C-071"
"genes identificables de afinidad bacteriana","56","%","genes eucariotas con afinidad procariótica identificable","clasificación filogenética/homología","dependiente del conjunto identificable","inferido","S20 Results; fig. 2","C-071"
"afinidad bacteriana al excluir linajes plastidiales","53","%","genes eucariotas del subconjunto sin linajes plastidiales","clasificación filogenética/homología","dependiente del conjunto identificable","inferido","S20 Results; fig. 2","C-072"
"proteínas procarióticas analizadas por Tobiasson et al.","aproximadamente 75 millones","proteínas","muestreo procariótico","búsqueda y agrupamiento de secuencias","aproximada","observado","S21 Methods; Extended Data","C-075"
"genomas procarióticos analizados por Tobiasson et al.","47.545","genomas","muestreo procariótico","base genómica","n/a","observado","S21 Methods","C-075"
"genomas asgard en Tobiasson et al.","63","genomas","Asgardarchaeota","muestreo genómico","n/a","observado","S21 Methods","C-075"
"secuencias eucariotas en Tobiasson et al.","aproximadamente 30 millones","secuencias","Eukaryota","EukProt","aproximada","observado","S21 Methods","C-075"
"especies eucariotas en Tobiasson et al.","993","especies","Eukaryota","EukProt","n/a","observado","S21 Methods","C-075"
"clases hijas en el registro SeqCode de Asgardarchaeota","17","clases","Asgardarchaeota","recuento de registro nomenclatural","dependiente de versión","observado","S50 registro SeqCode, lista de children","C-082"
"MAG asgard nuevos en Zhang et al.","223","MAG","Asgardarchaeota","ensamblaje y cribado","umbral >70 % completitud y <10 % contaminación en el estudio","observado","S26 resumen; Methods","C-086"
"linajes asgard nuevos propuestos","16","linajes","Asgardarchaeota","delimitación filogenómica","dependiente de criterio de delimitación","inferido","S26 resumen; fig. 1","C-086"
"muestras procesadas por Zhang et al.","40","muestras","ambientes muestreados","metagenómica","n/a","observado","S26 Methods","C-087"
"MAG reconstruidos inicialmente por Zhang et al.","11.878","MAG","conjunto metagenómico total","ensamblaje y binning","dependiente de pipeline","observado","S26 Methods","C-087"
"genomas asgard en colección principal","411","genomas","Asgardarchaeota","muestreo filogenómico","n/a","observado","S26 Methods","C-088"
"eucariotas en colección principal asgard","14","taxones","Eukaryota","muestreo filogenómico","n/a","observado","S26 Methods","C-088"
"genomas asgard procedentes de cultivos","2","genomas","colección de 411 Asgard","clasificación de procedencia","n/a","observado","S26 Methods; Supplementary table","C-089"
"genomas asgard procedentes de MAG","409","genomas","colección de 411 Asgard","resta publicada por clases de procedencia","n/a","observado","S26 Methods; Supplementary table","C-089"
"completitud media de genomas asgard","85.3","%","colección de Zhang et al.","métrica de completitud de MAG","media publicada","inferido","S26 Results; Supplementary table","C-090"
"contaminación media de genomas asgard","3.6","%","colección de Zhang et al.","métrica de contaminación de MAG","media publicada","inferido","S26 Results; Supplementary table","C-090"
"tamaño celular de Promethearchaeum syntrophicum","300–750","nm","Promethearchaeum syntrophicum","microscopía","rango observado","observado","S35 Abstract; Results §Cell morphology [PASAJE VERIFICADO 2026-08-08]","C-093"
"rango de crecimiento de Promethearchaeum syntrophicum","4–30","°C","Promethearchaeum syntrophicum","cocultivo","rango observado","observado","S35 tabla de descripción; fisiología","C-094"
"óptimo de crecimiento de Promethearchaeum syntrophicum","20","°C","Promethearchaeum syntrophicum","cocultivo","óptimo en condiciones publicadas","observado","S35 tabla de descripción; fisiología","C-094"
"duración de crecimiento completo","aproximadamente 3","meses","Promethearchaeum syntrophicum","cocultivo","aproximada y dependiente de condición","observado","S35 resumen; Results §Physiology; fig. S2b [PASAJE VERIFICADO 2026-08-08]","C-095"
"abundancia máxima del cultivo","aproximadamente 6.7 × 10^6","copias de 16S rRNA ml−1","Promethearchaeum syntrophicum","qPCR o cuantificación de 16S","aproximada","observado","S35 resumen; Results §Physiology; fig. S2b [PASAJE VERIFICADO 2026-08-08]","C-096"
"tamaño del cromosoma","4.32","Mb","Promethearchaeum syntrophicum","secuenciación genómica","n/a","observado","S35 §Genome characteristics","C-097"
"contenido GC","31.1","% GC","Promethearchaeum syntrophicum","secuenciación genómica","n/a","observado","S35 §Genome characteristics","C-097"
"abundancia relativa de lecturas Hodarchaeales","0.1","% de lecturas rRNA","sedimento de Aarhus Bay","bibliotecas rRNA","no es abundancia celular absoluta","observado","S37 resumen; Results","C-105"
"longitud media celular Hodarchaeales","3","µm","células afiliadas a Hodarchaeales","microscopía de superresolución","media publicada","observado","S37 resumen; fig. 2","C-106"
"rango de longitud celular Hodarchaeales","1.5–5.2","µm","células afiliadas a Hodarchaeales","microscopía de superresolución","rango observado","observado","S37 resumen; fig. 2","C-106"
"fracción de Nerearchaeum en enriquecimiento","89","% de células","Nerearchaeum marumarumayae","cuantificación de enriquecimiento","n/a","observado","S38 resumen; Results","C-108"
"MAG asgard analizados por Appler et al.","404","MAG","Asgardarchaeota","genómica comparada","n/a","observado","S27 resumen; Methods","C-117"
"Heimdallarchaeia nuevos en Appler et al.","136","MAG","Heimdallarchaeia","genómica comparada","n/a","observado","S27 resumen; Methods","C-117"
"proteínas de NM54","54","proteínas","matriz de Eme et al.","selección de marcadores no ribosómicos","n/a","observado","S25 Methods","C-120"
"taxones arqueanos de NM54","313","taxones","matriz de Eme et al.","muestreo taxonómico","n/a","observado","S25 Methods","C-120"
"posiciones de NM54","13.513","posiciones de aminoácidos","matriz de Eme et al.","alineamiento concatenado","n/a","observado","S25 Methods","C-120"
"tamaño genómico mediano Njordarchaeales","2.4","Mb","Njordarchaeales","estimación desde genomas reconstruidos","mediana","inferido","S25 fig. 3","C-123"
"tamaño genómico mediano Kariarchaeales","2.7","Mb","Kariarchaeales","estimación desde genomas reconstruidos","mediana","inferido","S25 fig. 3","C-123"
"tamaño genómico mediano Gerdarchaeales","3.4","Mb","Gerdarchaeales","estimación desde genomas reconstruidos","mediana","inferido","S25 fig. 3","C-123"
"tamaño genómico mediano Heimdallarchaeales","3.7","Mb","Heimdallarchaeales","estimación desde genomas reconstruidos","mediana","inferido","S25 fig. 3","C-123"
"tamaño genómico mediano Hodarchaeales","5.1","Mb","Hodarchaeales","estimación desde genomas reconstruidos","mediana","inferido","S25 fig. 3","C-123"
"familias proteicas reconstruidas para ancestro Hodarchaeales","4.053","familias proteicas","ancestro de Hodarchaeales","reconstrucción de estado ancestral","dependiente de árbol y umbral","inferido","S25 Results; fig. 3","C-124"
"familias proteicas reconstruidas para ancestro asgard","3.134","familias proteicas","último ancestro asgard considerado","reconstrucción de estado ancestral","dependiente de árbol y umbral","inferido","S25 Results; fig. 3","C-124"
"temperatura óptima mediana inferida","36.7","°C","Hodarchaeales","predicción desde secuencias","mediana inferida","inferido","S25 Results; fig. 4","C-125"
"proteínas en la matriz de 97 proteínas","97","proteínas","matriz de 97 proteínas","selección de marcadores","n/a","observado","S26 Methods","C-126"
"taxones asgard en la matriz de 97 proteínas","411","taxones","matriz de 97 proteínas","muestreo taxonómico","n/a","observado","S26 Methods","C-126"
"eucariotas en la matriz de 97 proteínas","14","taxones","matriz de 97 proteínas","muestreo taxonómico","n/a","observado","S26 Methods","C-126"
"posiciones en la matriz de 97 proteínas","20.067","posiciones de aminoácidos","matriz de 97 proteínas","alineamiento concatenado","n/a","observado","S26 Methods","C-126"
"probabilidad posterior de la matriz de 97 proteínas","1","probabilidad posterior","topología principal de Zhang et al.","SR4-CAT+GTR","n/a","inferido","S26 fig. 3","C-127"
"probabilidad posterior de la matriz de 150 proteínas","0.8","probabilidad posterior","topología fuera de Heimdallarchaeia","análisis bayesiano","n/a","inferido","S26 Extended Data","C-128"
"probabilidad posterior NM57","1","probabilidad posterior","topología fuera de Heimdallarchaeia","análisis bayesiano","n/a","inferido","S26 Extended Data","C-128"
"fracción TACK en MAG Njordarchaeota cuestionados","22–51","% de contigs o fracción genómica afiliada","MAG atribuidos a Njordarchaeota","evaluación taxonómica de contigs","rango entre MAG examinados","inferido","S26 Results; Extended Data","C-130"
"clados alfa divergentes añadidos por Martijn et al.","12","clados","Alphaproteobacteria","muestreo filogenómico","n/a","observado","S46 Methods; fig. 1","C-151"
"proteínas mitocondriales analizadas por Muñoz-Gómez et al.","108","proteínas","matriz mitocondrial-alfa","selección de marcadores","n/a","observado","S48 resumen; Methods","C-154"
"edad de nFECA","3.05–2.79","Ga","nFECA","MCMCTree; calibraciones fósiles y cross-bracing","intervalo publicado","inferido","S58 líneas 91–93","C-193"
"edad de mFECA","2.37–2.13","Ga","mFECA","MCMCTree; calibraciones fósiles y cross-bracing","intervalo publicado","inferido","S58 líneas 91–93","C-194"
"edad de LECA","1.80–1.67","Ga","radiación de LECA","MCMCTree; calibraciones fósiles y cross-bracing","intervalo publicado","inferido","S58 líneas 91–93","C-195"
"duración mediana del tallo nuclear","aproximadamente 1.1","Gyr","nFECA–LECA","diferencia de nodos fechados","mediana publicada","inferido","S58 línea 92","C-196"
"duración mediana del tallo mitocondrial","aproximadamente 0.6","Gyr","mFECA–LECA","diferencia de nodos fechados","mediana publicada","inferido","S58 línea 92","C-197"
"calibraciones fósiles del reloj de especies","18","calibraciones","cronología de Kay et al.","MCMCTree y cross-bracing","n/a","observado","S58 Methods","C-198"
"árboles génicos fechados","135","árboles génicos","análisis de Kay et al.","selección de duplicaciones compatibles","n/a","observado","S58 línea 94","C-199"
"árboles de ascendencia arqueana","95","árboles génicos","análisis de Kay et al.","clasificación de ascendencia","n/a","observado","S58 líneas 94–95","C-199"
"árboles de ascendencia bacteriana","40","árboles génicos","análisis de Kay et al.","clasificación de ascendencia","n/a","observado","S58 líneas 94–95","C-199"
"familias bacterianas sin apoyo alfa fuerte","19 de 40","familias génicas","análisis de Kay et al.","filogenia de familias","n/a","inferido","S58 línea 95","C-200"
"familias arqueanas sin apoyo asgard","9 de 95","familias génicas","análisis de Kay et al.","filogenia de familias","n/a","inferido","S58 línea 95","C-201"
"conjuntos de proteomas","3","conjuntos","Bernabeu et al.","réplicas de muestreo","n/a","observado","S59 Methods","C-211"
"proteomas por conjunto","100","proteomas","Bernabeu et al.","diseño de muestreo","n/a","observado","S59 Methods","C-211"
"especies totales representadas","185","especies","Bernabeu et al.","muestreo combinado","n/a","observado","S59 Methods","C-211"
"solapamiento proteico medio","46%","porcentaje","conjuntos de Bernabeu et al.","comparación entre réplicas","no consta como intervalo","observado","S59 Extended Data fig. 1","C-211"
"proteomas tras filtros","256","proteomas","Bernabeu et al.","filtros de calidad","n/a","observado","S59 Methods","C-212"
"ortogrupos de LECA con criterio relajado","12.907","ortogrupos","LECA, presencia en tres supergrupos","reconstrucción de presencia","variación entre réplicas no transcrita aquí","inferido","S59 Results; fig. 1","C-213"
"ortogrupos de LECA con criterio estricto","7.751","ortogrupos","LECA, presencia en cinco supergrupos","reconstrucción de presencia","variación entre réplicas no transcrita aquí","inferido","S59 Results; fig. 1","C-214"
"consistencia media de ortogrupos","79%","porcentaje","reconstrucciones de LECA","comparación entre réplicas","no consta como intervalo","inferido","S59 Extended Data","C-215"
"ortogrupos potencialmente explicables por HGT entre supergrupos","3%","porcentaje","reconstrucción de Bernabeu et al.","control de HGT","no consta como intervalo","inferido","S59 Results","C-216"
"términos KEGG Orthology","5.317","KO","proteoma funcional consensuado de LECA","anotación funcional","n/a","inferido","S59 Results","C-217"
"genomas en análisis de poro nuclear","60","genomas","Neumann et al.","genómica comparada","n/a","observado","S61 Methods","C-219"
"nucleoporinas con representación profunda","19","nucleoporinas","Neumann et al.","búsqueda de homología","n/a","inferido","S61 Results","C-220"
"nucleoporinas atribuidas a LECA","23–26 de 31","nucleoporinas","complejo del poro de LECA","parsimonia","rango entre reconstrucciones","inferido","S61 fig. 4","C-221"
"Rab GTPasas atribuidas a LECA","hasta 23","Rab GTPasas","LECA","filogenia de paralogos","máximo reconstruido","inferido","S65 fig. 5","C-224"
"secuencias SNARE analizadas","más de 2.000","secuencias","Kloepper et al.","clasificación filogenética","n/a","observado","S66 Abstract","C-225"
"especies del análisis SNARE","145","especies","Kloepper et al.","muestreo taxonómico","n/a","observado","S66 Abstract","C-225"
"subclases SNARE ancestrales","aproximadamente 20","subclases","cenancestro eucariota","reconstrucción filogenética","aproximadamente","inferido","S66 fig. 6","C-226"
"PEX comparados","37","proteínas PEX","Jansen et al.","genómica comparada","n/a","observado","S73 Abstract","C-237"
"proteínas peroxisomales de origen eucariota","39–58%","porcentaje","proteoma peroxisomal analizado","filogenia y homología","rango entre criterios","inferido","S74 Abstract","C-239"
"proteínas peroxisomales de origen alfa-proteobacteriano","13–18%","porcentaje","proteoma peroxisomal analizado","filogenia y homología","rango entre criterios","inferido","S74 Abstract","C-240"
"intrones de LECA compartidos entre paralogos","20–35%","porcentaje","intrones reconstruidos de LECA","posiciones homólogas entre paralogos","rango entre análisis","inferido","S68 fig. 3","C-249"
"árboles génicos en reconstrucción de Bremer et al. 2022","1.789","árboles génicos","rasgos celulares de LECA","reconstrucción de estados","n/a","observado","S79 Methods","C-253"
"duplicaciones analizadas por Tria et al.","163.545","duplicaciones","eucariotas","árboles génicos","n/a","observado","S81 Abstract","C-266"
"árboles génicos analizados por Tria et al.","24.571","árboles génicos","eucariotas","filogenias de familias","n/a","observado","S81 Abstract","C-266"
"genomas eucariotas de Tria et al.","150","genomas","eucariotas","muestreo taxonómico","n/a","observado","S81 Abstract","C-266"
"duplicaciones pre-LECA retenidas","713","duplicaciones","tallo eucariota","filtros de asignación","n/a","inferido","S81 Results","C-267"
"proteínas estructurales comparadas por Devos et al.","7","proteínas","vesículas recubiertas y poro nuclear","comparación estructural","n/a","observado","S97 Results","C-349"
"proteínas arqueanas en S103","183","proteínas","raíz eucariota","selección de marcadores","n/a","observado","S103 resumen; Methods","C-448"
"familias génicas reconciliadas","2.786","familias génicas","análisis de Cerón-Romero et al.","reconciliación de árboles","n/a","observado","S107 título; Methods","C-452"
"linajes en S107","158","linajes","análisis de Cerón-Romero et al.","muestreo taxonómico","n/a","observado","S107 título; Methods","C-452"
"taxones en S102","100","taxones","análisis de Williamson et al.","muestreo taxonómico","n/a","observado","S102 Methods","C-455"
"proteínas mitocondriales en S102","93","proteínas","análisis de Williamson et al.","matriz concatenada","n/a","observado","S102 Methods","C-455"
"PP Opimoda–Diphoda bajo CAT-GTR","0,95","probabilidad posterior","raíz Opimoda–Diphoda","CAT-GTR","n/a","inferido","S105 resultados","C-445"
"PP Opimoda–Diphoda bajo CAT","0,97","probabilidad posterior","raíz Opimoda–Diphoda","CAT","n/a","inferido","S105 resultados","C-445"
"combinaciones de dominios de miosina","37","combinaciones","muestreo de S118","clasificación de dominios","dependiente del muestreo","observado","S118 Abstract [PASAJE VERIFICADO 2026-08-08]","C-468"
"tipos de miosina atribuidos a LECA por S118","3","tipos","LECA","reconstrucción comparada","dependiente de clasificación","inferido","S118 Results; S119 introducción","C-469"
"indels animales–hongos","4","inserciones/deleciones","Opisthokonta histórica","comparación de proteínas","muestreo de 1993","observado","S122 resumen","C-474"
"inserción en eEF1A","12","aminoácidos","animales y hongos","alineamiento de proteína","n/a","observado","S122 resumen","C-475"
"proteínas de Brown et al.","351","proteínas","matriz CRuMs","ortología y curación","n/a","observado","S108 Methods","C-488"
"taxones de Brown et al.","61 o 64","taxones","matrices CRuMs","muestreo taxonómico","n/a","observado","S108 Methods","C-488"
"posiciones de Brown et al.","97.002","aminoácidos","matrices CRuMs","alineamiento concatenado","<25 % datos ausentes","observado","S108 Methods","C-488"
"bootstrap Ancyromonadida+Malawimonadida","77","% bootstrap","topología ML de S108","LG+C60+F+Γ-PMSF","n/a","inferido","S108 fig. 1","C-494"
"PP Malawimonadida+(CRuMs+Amorphea)","1","probabilidad posterior","topología bayesiana de S108","CAT-GTR+Γ","n/a","inferido","S108 suppl. figs. S2–S3","C-495"
"proteínas de Obazoa en S111","159","proteínas","matriz Obazoa","concatenación","n/a","observado","S111 Methods","C-538"
"posiciones de Obazoa en S111","43.615","aminoácidos","matriz Obazoa","alineamiento concatenado","n/a","observado","S111 Methods","C-538"
"genes de Amoebozoa en S112","325","genes","matriz Amoebozoa","concatenación","n/a","observado","S112 fig. 3","C-530"
"posiciones de Amoebozoa en S112","63.157","sitios","matriz Amoebozoa","alineamiento concatenado","n/a","observado","S112 fig. 3","C-530"
"BPP de respaldo principal Amoebozoa","1,0","probabilidad posterior","topología de S112","Bayes","n/a","inferido","S112 fig. 3","C-532"
"MLBS de respaldo principal Amoebozoa","99","% bootstrap","topología de S112","máxima verosimilitud","n/a","inferido","S112 fig. 3","C-532"
"taxones de Liu et al.","348","taxones","Opisthokonta","muestreo taxonómico","n/a","observado","S126 Results","C-648"
"linajes principales de Liu et al.","33","linajes","Opisthokonta","clasificación de muestreo","n/a","observado","S126 Results","C-648"
"genes BUSCO","228","genes","matriz BUSCO","ortología BUSCO","n/a","observado","S126 tabla 1","C-649"
"genes OrthoFinder","440","genes","matriz OrthoFinder","ortología OrthoFinder","n/a","observado","S126 tabla 1","C-650"
"genes Tikhonenkov_2020","201","genes","matriz Tikhonenkov_2020","reutilización y curación","n/a","observado","S126 tabla 1","C-651"
"árboles comparados por Liu et al.","18","árboles","Opisthokonta","3 matrices × 2 versiones × 3 modelos","n/a","observado","S126 Methods","C-652"
"ramas congruentes","aproximadamente 85","%","18 árboles de Opisthokonta","comparación de biparticiones","aproximado","inferido","S126 Results","C-653"
"congruencia mismo conjunto de ortólogos","97–98","%","árboles de S126","comparación de biparticiones","rango","inferido","S126 Results","C-654"
"congruencia conjuntos distintos","87–91","%","árboles de S126","comparación de biparticiones","rango","inferido","S126 Results","C-655"
"UFB Teretosporea BUSCO GTR+CAT","23","UFB","topología Teretosporea-sister","bootstrap ultrarrápido","n/a","inferido","S126 Results; S1 Data","C-658"
"taxones de submuestreo","60","taxones","Tikhonenkov_2020#4","submuestreo taxonómico","n/a","observado","S126 fig. 5C","C-660"
"muestreos densos","180, 240 y 347","taxones","matrices de S126","submuestreo taxonómico","n/a","observado","S126 fig. 5C","C-661"
"UFB Teretosporea OrthoFinder#2","98","UFB","topología Teretosporea-sister","modelo sitio-homogéneo","n/a","inferido","S126 fig. 5E","C-662"
"gCF Teretosporea","0,7","% de loci","topología Teretosporea-sister","gene concordance factor","3/426","inferido","S126 fig. 5E","C-663"
"loci que apoyan Teretosporea","3/426","loci","topología Teretosporea-sister","gene concordance factor","n/a","inferido","S126 fig. 5E","C-663"
"árboles fuera de tres candidatas","98,6","% de árboles génicos","OrthoFinder#2","comparación de topologías","420/426","inferido","S126 fig. 5E","C-664"
"árboles fuera de tres candidatas","420/426","árboles génicos","OrthoFinder#2","comparación de topologías","n/a","inferido","S126 fig. 5E","C-664"
"sCF de tres topologías","34,04/32,98/32,98","sCF","raíces alternativas de Holozoa","site concordance factor","n/a","inferido","S126 S112 table","C-665"
"terminal apusomonádido muestreado en S126","1","terminal","Apusomonadida en la matriz de S126","recuento directo del muestreo","un único terminal impide estimar una corona","observado","S126 fig. 1 y Table S7, nodo 345","C-549"
"edad de Opisthokonta","1.083,2","Ma","Opisthokonta","MCMCTree","IC 95 % 978,7–1.187,6 Ma","inferido","S126 fig. 3; tabla 2","C-566"
"edad de Holomycota","996","Ma","Holomycota","MCMCTree","IC 95 % 890,1–1.101,9 Ma","inferido","S126 fig. 3; tabla 2","C-574"
"edad de Holozoa","1.003,8","Ma","Holozoa","MCMCTree","IC 95 % 913,8–1.093,9 Ma","inferido","S126 fig. 3; tabla 2","C-582"
"divergencia animal–coanoflagelado","761–957","Ma","Choanozoa sensu stricto","reloj relajado bayesiano","intervalo publicado","inferido","S142 tabla 1","C-630"
"proteínas de S130","78","proteínas","matriz Filozoa/Holozoa","concatenación","n/a","observado","S130 Methods","C-619"
"taxones de S130","30","taxones","matriz Filozoa/Holozoa","muestreo taxonómico","n/a","observado","S130 Methods","C-619"
"posiciones de S130","17.482","aminoácidos","matriz Filozoa/Holozoa","alineamiento concatenado","n/a","observado","S130 Methods","C-619"
"genes de S129","255","genes","matriz Pluriformea","concatenación","n/a","observado","S129 Methods","C-595"
"posiciones de S129","81.495","aminoácidos","matriz Pluriformea","alineamiento concatenado","n/a","observado","S129 Methods","C-595"
"taxones de S129","38","taxones","matriz Pluriformea","muestreo taxonómico","n/a","observado","S129 Methods","C-595"
"MLBS de Ichthyosporea profunda en S129","74","% bootstrap","topología de S129","máxima verosimilitud","n/a","inferido","S129 Results","C-597"
"terminal de Corallochytrium muestreado en S126","1","terminal","Corallochytrium en la matriz de S126","recuento directo del muestreo","un único terminal no fija una corona multiespecífica","observado","S126 fig. 1 y Table S7, nodo 115","C-606"
"calibraciones de S126","10","calibraciones fósiles","reloj de Opisthokonta","MCMCTree","7 animales y 3 hongos","observado","S126 Methods","C-567"
"linajes excavados sucesivos de S103","4","linajes","raíz excavada de Al Jewari y Baldauf","filogenómica de 183 proteínas","dependiente del muestreo y modelo","inferido","S103 Results; figs. 1–3","C-449"
"hendiduras de enolasa examinadas como cambios raros","3","inserciones/deleciones","enolasa eucariota","comparación de cambios genómicos raros","n/a","observado","S122 resumen; Results «Four Gaps Unite Animals and Fungi»; fig. 1 [PASAJE VERIFICADO 2026-08-08]","C-476"
"restricción de edad de la raíz en S126","1,5","Ga","reloj de Opisthokonta","prior de raíz en MCMCTree","restricción fijada por el análisis","inferido","S126 Methods","C-567"
"rango geocronológico del Grupo Roper","1492 ± 4 a 1361 ± 21","Ma","Grupo Roper","U–Pb y Re–Os","±4 Ma; ±21 Ma","observado","S150 §Geological setting","C-699"
"edad de la Formación Chuanlinggou","aproximadamente 1.63","Ga","*Qingshania magnifica*","geocronología estratigráfica","aproximada; no consta error en el pasaje recuperado","observado","S154 resumen y §Geological setting","C-705"
"distribución de diámetros transversales","20–194; 73; 29; 262","µm (rango); µm (media); µm (DE); especímenes","*Qingshania magnifica*","morfometría sobre fotomicrografías escaladas","vector publicado; no confundir DE con error de cada medición","observado","S154 Results, descripción morfológica; fig. 4B,F; Methods §Measurement of fossils","C-706"
"edad de la Formación de Hierro Negaunee","aproximadamente 2.1","Ga","*Grypania spiralis*","restricción estratigráfica","aproximada","observado","S155 resumen","C-708"
"edad atribuida a la Dolomía Tirohan","aproximadamente 1.6","Ga","*Rafatazmia chitrakootensis*","geología regional","aproximada y discutida","observado","S156 resumen y §Geological setting","C-710"
"edad de unidades perforadas del Grupo Chuar","780–740","Ma","microfósiles perforados","estratigrafía","intervalo publicado","observado","S158 título; §Geological setting","C-714"
"diámetro de perforaciones en acritarcos","0.1–3.4","µm","siete especies de microfósiles orgánicos del Grupo Chuar","microscopía y medición morfológica","rango observado","observado","S158 resultados; tabla 1","C-715"
"número de especies con perforaciones medidas","siete","especies","microfósiles orgánicos del Grupo Chuar","muestreo del estudio","no consta incertidumbre","observado","S158 tabla 1","C-715"
"diámetro de perforaciones en VSM","15–35","µm","VSM del Grupo Chuar","medición morfológica","aproximado","observado","S158 discusión; material comparativo","C-718"
"edad de *Bangiomorpha pubescens*","aproximadamente 1.047","Ga","sucesión portadora de *Bangiomorpha pubescens*","U–Pb CA-ID-TIMS","ver fuente para error analítico completo","observado","S160 resumen","C-722"
"rango de edad de *Ourasphaira giraldae*","1010–890","Ma","Formación Grassy Bay","restricción estratigráfica","intervalo publicado","observado","S161 resumen; métodos","C-724"
"edad de *Bicellum brasieri*","aproximadamente 1.0","Ga","Formación Diabaig","restricción estratigráfica","aproximada","observado","S162 resumen; §Geological setting","C-727"
"rango de deposición de Doushantuo","635–551","Ma","Formación Doushantuo","U–Pb de circones","intervalo publicado","observado","S168 resumen","C-731"
