"clave","autores","año","título","publicación o repositorio","DOI en forma https://doi.org/10.xxxx/... o URL resoluble si no hay DOI","tipo","notas de calidad","fecha de consulta"
"S30","Bulzu et al.","2019","Casting light on Asgardarchaeota metabolism in a sunlit microoxic niche","Nature Microbiology","https://doi.org/10.1038/s41564-019-0404-y","investigación primaria","MAG, reconstrucción metabólica y caracterización de rodopsinas; no equivale a fisiología completa en cultivo. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 1 afirmación; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S31","Cai et al.","2020","Diverse Asgard archaea including the novel phylum Gerdarchaeota participate in organic matter degradation","Science China Life Sciences","https://doi.org/10.1007/s11427-020-1679-1","investigación primaria","MAG y transcriptómica ambiental; respalda actividad in situ de genes, no un fenotipo aislado. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 1 afirmación; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S32","Farag et al.","2021","Sifarchaeota, a Novel Asgard Phylum from Costa Rican Sediment Capable of Polysaccharide Degradation and Anaerobic Methylotrophy","Applied and Environmental Microbiology","https://doi.org/10.1128/AEM.02584-20","investigación primaria","Dos MAG; metabolismo inferido y sin cultivo. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 1 afirmación; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S33","Zhang et al.","2021","Newly discovered Asgard archaea Hermodarchaeota potentially degrade alkanes and aromatics via alkyl/benzyl-succinate synthase and benzoyl-CoA pathway","The ISME Journal","https://doi.org/10.1038/s41396-020-00890-x","investigación primaria","Potencial metabólico inferido de MAG; el título conserva la cautela «potentially». [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 1 afirmación; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S34","Imachi et al.","2020","Isolation of an archaeon at the prokaryote–eukaryote interface","Nature","https://doi.org/10.1038/s41586-019-1916-6","investigación primaria","Primer cultivo de enriquecimiento y cocultivo de Asgard; el modelo E3 es una propuesta, no una observación histórica. Cultivo enriquecido y observación de protrusiones; E3 es una interpretación no observada de principio a fin. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 8 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S35","Imachi et al.","2024","Promethearchaeum syntrophicum gen. nov., sp. nov., an anaerobic, obligately syntrophic archaeon, the first isolate of the lineage ‘Asgard’ archaea, and proposal of the new archaeal phylum Promethearchaeota phyl. nov. and kingdom Promethearchaeati regn. nov.","International Journal of Systematic and Evolutionary Microbiology","https://doi.org/10.1099/ijsem.0.006435","investigación primaria","Descripción taxonómica y fisiológica de cocultivo puro; no es cultivo axénico del arquea. [PASAJE VERIFICADO 2026-08-08] Abstract y Results and discussion, Cell morphology, publican 300–750 nm de diámetro; Abstract y Physiology, con Fig. S2b, publican aproximadamente tres meses hasta crecimiento completo y máximo de 6.7 × 10^6 copias de 16S rRNA ml−1 en levadura+pantoato. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 6 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-08"
"S36","Rodrigues-Oliveira et al.","2023","Actin cytoskeleton and complex cell architecture in an Asgard archaeon","Nature","https://doi.org/10.1038/s41586-022-05550-y","investigación primaria","Observación celular directa en enriquecimiento de Lokiarchaeum ossiferum mediante criotomografía. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 4 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S37","Avcı et al.","2025","Peculiar morphology of Asgard archaeal cells close to the prokaryote-eukaryote boundary","mBio","https://doi.org/10.1128/mbio.00327-25","investigación primaria","CARD-FISH y microscopía de células afiliadas a Hodarchaeales en sedimento; identidad basada en sondas, sin cultivo. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 3 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S38","Nobs et al.","2026","An Asgard archaeon from a modern analog of ancient microbial mats","Current Biology","https://doi.org/10.1016/j.cub.2026.03.041","investigación primaria","Enriquecimiento al 89 %, no axénico; metabolismo parcialmente inferido del genoma y asociación observada. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 3 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S39","Akıl y Robinson","2018","Genomes of Asgard archaea encode profilins that regulate actin","Nature","https://doi.org/10.1038/s41586-018-0548-6","investigación primaria","Caracterización bioquímica con proteínas recombinantes y actina heteróloga; no función observada en célula asgard. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 1 afirmación; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S40","Akıl et al.","2020","Insights into the evolution of regulated actin dynamics via characterization of primitive gelsolin/cofilin proteins from Asgard archaea","Proceedings of the National Academy of Sciences USA","https://doi.org/10.1073/pnas.2009167117","investigación primaria","Caracterización estructural y bioquímica in vitro; no localización nativa. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 1 afirmación; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S41","Lu et al.","2020","Coevolution of eukaryote-like Vps4 and ESCRT-III subunits in the Asgard archaea","mBio","https://doi.org/10.1128/mBio.00417-20","investigación primaria","Filogenia, estructura y ensayos bioquímicos de ESCRT-III/Vps4. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 1 afirmación; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S42","Hatano et al.","2022","Asgard archaea shed light on the evolutionary origins of the eukaryotic ubiquitin-ESCRT machinery","Nature Communications","https://doi.org/10.1038/s41467-022-30656-2","investigación primaria","Estructura y bioquímica de homólogos de ubiquitina y ESCRT; principalmente proteínas recombinantes. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 1 afirmación; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S43","Akıl et al.","2022","Structure and dynamics of Odinarchaeota tubulin and the implications for eukaryotic microtubule evolution","Science Advances","https://doi.org/10.1126/sciadv.abm2225","investigación primaria","OdinTubulin purificada forma polímeros in vitro; función nativa no demostrada. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 1 afirmación; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S44","Tran et al.","2024","The eukaryotic-like characteristics of small GTPase, roadblock and TRAPPC3 proteins from Asgard archaea","Communications Biology","https://doi.org/10.1038/s42003-024-05888-1","investigación primaria","Análisis estructural y bioquímico; no demuestra tráfico vesicular en una célula asgard. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 1 afirmación; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S45","Andersson et al.","1998","The genome sequence of Rickettsia prowazekii and the origin of mitochondria","Nature","https://doi.org/10.1038/24094","investigación primaria","Comparación genómica histórica; DOI corregido contra la página editorial durante la auditoría integral. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 1 afirmación; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-08"
"S46","Martijn et al.","2018","Deep mitochondrial origin outside the sampled alphaproteobacteria","Nature","https://doi.org/10.1038/s41586-018-0059-5","investigación primaria","Muestreo ampliado y control de artefactos; recupera mitocondrias como hermanas de alfa-proteobacterias muestreadas. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 2 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S47","Fan et al.","2020","Phylogenetic analyses with systematic taxon sampling show that mitochondria branch within Alphaproteobacteria","Nature Ecology & Evolution","https://doi.org/10.1038/s41559-020-1239-x","investigación primaria","Topología alternativa dentro de Alphaproteobacteria; resultado dependiente de taxones y filtrado de sitios. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 2 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S48","Muñoz-Gómez et al.","2022","Site-and-branch-heterogeneous analyses of an expanded dataset favour mitochondria as sister to known Alphaproteobacteria","Nature Ecology & Evolution","https://doi.org/10.1038/s41559-021-01638-2","investigación primaria","108 proteínas y modelo MAM60+GFmix; contradice una ubicación dentro de un grupo alfa viviente concreto. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 3 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S49","Geiger et al.","2023","Multiple approaches of cellular metabolism define the bacterial ancestry of mitochondria","Science Advances","https://doi.org/10.1126/sciadv.adh0066","investigación primaria","Triangulación de rasgos metabólicos; Iodidimonadales es candidato funcional, no demostración de grupo hermano filogenético. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 2 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S50","SeqCode Registry","2026","Asgardarchaeota: nomenclatural record and child taxa","SeqCode Registry","https://registry.seqco.de/names/33331","base de datos taxonómica","Registro vivo; la lista de hijos depende de la versión consultada y no constituye una filogenia única. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 4 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S51","Makarova et al.","2005","Ancestral paralogs and pseudoparalogs and their role in the emergence of the eukaryotic cell","Nucleic Acids Research","https://doi.org/10.1093/nar/gki775","investigación primaria","Primer uso conjunto localizado en esta sesión de LUCA, LBCA, LACA, FECA y LECA; no demuestra por sí solo la primera acuñación de cada término. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 2 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S52","O’Malley et al.","2019","Concepts of the last eukaryotic common ancestor","Nature Ecology & Evolution","https://doi.org/10.1038/s41559-019-0796-3","revisión","Distingue conceptos abstracto, celular, poblacional y consorcial de LECA. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 2 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S53","Delaye","2024","The Unfinished Reconstructed Nature of the Last Universal Common Ancestor","Journal of Molecular Evolution","https://doi.org/10.1007/s00239-024-10187-8","revisión","Revisión histórica y epistemológica de LUCA; identifica a Forterre 1997 como propuesta del acrónimo. [USO EN UNA SOLA C] C-176.","2026-08-07"
"S54","Forterre","1997","Archaea: what can we learn from their sequences?","Current Opinion in Genetics & Development","https://doi.org/10.1016/S0959-437X(97)80038-X","revisión","Trabajo recuperado como origen del acrónimo LUCA; síntesis secundaria. [USO EN UNA SOLA C] C-176.","2026-08-07"
"S55","Moody et al.","2024","The nature of the last universal common ancestor and its impact on the early Earth system","Nature Ecology & Evolution","https://doi.org/10.1038/s41559-024-02461-1","investigación primaria","Reconstrucción filogenómica y reloj con cross-bracing; las características de LUCA son inferidas. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 1 afirmación; la condición se calcula por afirmación y no significa que la fuente se use una sola vez. [USO EN UNA SOLA C] C-179.","2026-08-07"
"S56","Richards et al.","2024","Reconstructing the last common ancestor of all eukaryotes","PLOS Biology","https://doi.org/10.1371/journal.pbio.3002917","revisión","Consensus View; define FECA y FMCA operacionalmente y explicita límites metodológicos. Define LECA y explicita que la raíz condiciona reconstrucciones ancestrales. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 14 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S57","Vosseberg et al.","2024","The emerging view on the origin and early evolution of eukaryotic cells","Nature","https://doi.org/10.1038/s41586-024-07677-6","revisión","Síntesis reciente del campo; no contiene un único modelo resuelto. [SOPORTE ÚNICO ACTUAL] En el corpus final es la única fuente citada por 1 afirmaciones; esta condición es posterior al corte inicial y se calcula por afirmación.","2026-08-07"
"S58","Kay et al.","2026","Dated gene duplications elucidate the evolutionary assembly of eukaryotes","Nature","https://doi.org/10.1038/s41586-025-09808-z","investigación primaria","Relojes relajados de especies y duplicaciones; cronología dependiente de topología, calibraciones y muestreo. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 15 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S59","Bernabeu et al.","2026","Gene ancestries reveal diverse microbial associations during eukaryogenesis","Nature","https://doi.org/10.1038/s41586-026-10639-9","investigación primaria","Reconstrucción automatizada de ortogrupos y funciones; no equivale a observación de LECA. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 14 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S60","Koumandou et al.","2013","Molecular paleontology and complexity in the last eukaryotic common ancestor","Critical Reviews in Biochemistry and Molecular Biology","https://doi.org/10.3109/10409238.2013.821444","revisión","Síntesis secundaria amplia de sistemas celulares atribuidos a LECA. Identificador normalizado contra Crossref, PubMed o el registro editorial durante la auditoría integral.","2026-08-08"
"S61","Neumann, Lundin y Poole","2010","Comparative genomic evidence for a complete nuclear pore complex in the last eukaryotic common ancestor","PLOS ONE","https://doi.org/10.1371/journal.pone.0013241","investigación primaria","Comparación de 60 genomas; reconstrucción por parsimonia de nucleoporinas. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 3 afirmaciones; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
"S62","Wickstead y Gull","2011","The evolution of the cytoskeleton","Journal of Cell Biology","https://doi.org/10.1083/jcb.201102065","revisión","Síntesis comparativa de actina, tubulina y motores; algunas atribuciones a LECA dependen de distribución profunda. [SOPORTE ÚNICO] En el corte inicial es la única fuente citada por 1 afirmación; la condición se calcula por afirmación y no significa que la fuente se use una sola vez.","2026-08-07"
