"clave","qué sostiene en una frase","supuestos que da por buenos","# de las filas que la componen","fuentes a favor","fuentes en contra","con qué otras hipótesis es incompatible y en qué punto exacto","qué observación la falsaría"
"H21","El cuerpo arqueano ancestral se convierte en núcleo y los espacios entre protrusiones en retículo y espacio perinuclear.","Topología inside-out; cuerpo arqueano nuclear; protrusiones y fusión externa.","C-317–C-320","S88","S96 propone orientación opuesta","H13: H13 revisada coloca al asgard dentro de un hospedador bacteriano; H21 requiere que el cuerpo asgard ancestral sea el núcleo y origen topológico central. [C-348]; H15: H15 suele asumir invaginación y fagocitosis de una célula ya interiorizada; H21 requiere topología inside-out y no necesita fagocitosis para la asociación inicial. [C-363]; H20: H20 invagina hacia dentro; H21 exterioriza protrusiones y conserva el cuerpo arqueano como núcleo. [C-383]","Una continuidad topológica ancestral inequívoca producida por invaginación interna y no por protrusiones externas falsaría el submodelo nuclear inside-out."
"H22","Coatómeros, cubiertas vesiculares y poro nuclear divergen de un módulo ancestral de curvatura de membrana.","Homología de arquitectura β-propeller–α-solenoid; duplicación y divergencia modular.","C-321–C-330","S97, S98, S99; S71","S97 considera convergencia como alternativa; S98 discute pérdida de señal de secuencia","Ninguna incompatibilidad total localizada; véase la matriz para compatibilidades parciales.","Demostrar orígenes independientes y convergentes de la arquitectura β-propeller–α-solenoid en poro y coatómeros, sin paralogía profunda, falsaría el protocoatómero común."
"H23","La primera divergencia de Eukaryota separa Unikonta de Bikonta.","La fusión DHFR–TS, miosinas y estados flagelares son cambios únicos polarizables.","C-412–C-415; C-437–C-447","S116; S118; S89","S117; S119, S120; S102, S103, S104, S105, S106, S107","H24, H25, H26, H27, H28 en la posición y circunscripción de la raíz.","Una filogenómica robusta y caracteres raros con historia incompatible la falsan; esa contraevidencia existe."
"H24","La raíz separa Opimoda de Diphoda.","Las proteínas de origen bacteriano retienen señal vertical y los modelos CAT corrigen la heterogeneidad.","C-416–C-419","S105","S102, S103, S104; S106, S107","H25, H26, H27, H28 en la primera divergencia.","Matrices independientes de mejor ajuste que ubiquen de manera estable la raíz en otra rama."
"H25","Discoba es hermana del resto de los eucariotas activamente mitocondriados muestreados.","Las proteínas mitocondriales usadas son ortólogas y el muestreo no sesga la raíz.","C-420–C-421","S106","S102, S103, S104, S105; S107","H24, H26, H27, H28 en la primera divergencia.","Incluir linajes con orgánulos reducidos y conservar otra raíz bajo modelos superiores."
"H26","Cuatro linajes excavados divergen sucesivamente antes del resto de Eukaryota.","Las 183 proteínas arqueanas retienen señal vertical; outliers y datos ausentes están controlados.","C-422–C-425","S103, S104","S102; S105, S106, S107","H24, H25, H27 y H28 en la forma basal del árbol.","Muestreo excavado más denso y modelos robustos que eliminen el patrón sucesivo."
"H27","Opisthokonta es hermana de todos los demás eucariotas.","La reconciliación de 2.786 árboles génicos recupera la señal de especies pese a duplicación y pérdida.","C-426–C-428","S107","S102, S103, S104, S105, S106","H24, H25, H26 y H28 en la primera divergencia.","Reconciliaciones con modelos de transferencia/duplicación mejores que recuperen otra raíz estable."
"H28","La raíz separa Opimoda+ de Diphoda+.","Las proteínas mitocondriales de 100 taxones conservan señal y las pruebas de sensibilidad corrigen ramas largas.","C-429–C-436","S102","S103; S106, S107","H25, H26, H27; parcialmente H24 porque amplía circunscripciones.","Datos nucleares independientes y modelos de mejor ajuste que recuperen consistentemente otra posición."
"H29","CRuMs es el grupo hermano de Amorphea.","Los 351 ortólogos son correctos y la heterogeneidad está suficientemente modelada.","C-462–C-466","S108; S109","No se localizó una filogenómica reciente que lo rechace de forma robusta.","Compatible con las raíces que no corten ese nodo; incompatible con una raíz dentro de CRuMs+Amorphea.","Muestreo de CRuMs más amplio que ubique alguno de sus componentes fuera del clado o lejos de Amorphea."
"H30","Ancyromonadida y Malawimonadida forman un clado profundo.","La señal ML no es artefacto y el muestreo capta sus ramas.","C-467–C-471","S108 bajo ML; S109 en parte de análisis","S108 bajo Bayes","H31 en la relación exacta de Malawimonadida con CRuMs+Amorphea.","Modelos convergentes y muestreo ampliado que separen consistentemente ambas ramas."
"H31","Malawimonadida se agrupa con CRuMs+Amorphea excluyendo Ancyromonadida.","Las cadenas CAT-GTR convergentes representan mejor la heterogeneidad que ML.","C-469–C-470","S108 bajo Bayes","S108 bajo ML; S109 en parte","H30 en la posición de Malawimonadida.","Cadenas convergentes y matrices independientes que recuperen Ancyromonadida+Malawimonadida."
"H32","Pluriformea es hermana del resto de Holozoa.","El muestreo taxonómico denso y BUSCO/Tikhonenkov_2020 recuperan la señal correcta.","C-629; C-634; C-639","S126 BUSCO y Tikhonenkov_2020","S126 OrthoFinder; S128, S129","H33 y H34 en la primera divergencia holozoa.","Matrices independientes con concordancia génica alta que recuperen otra topología."
"H33","Teretosporea, Pluriformea+Ichthyosporea, es hermana de Filozoa.","OrthoFinder recupera ortólogos más informativos y UFB alto refleja la historia.","C-630–C-631; C-635–C-639","S126 OrthoFinder; S128","S126 BUSCO/Tikhonenkov_2020 y gCF bajo","H32 y H34 en la primera divergencia holozoa.","Concordancia génica y de sitios elevada para Pluriformea-sister o Ichthyosporea-sister."
"H34","Ichthyosporea es hermana del resto de Holozoa.","El muestreo reducido o matrices históricas retienen señal no diluida por taxones adicionales.","C-632–C-633; C-639","S129; S131; submuestreo de S126","S126 análisis principales","H32 y H33 en la primera divergencia holozoa.","Muestreo denso y conjuntos ortólogos diversos que nunca recuperen la topología y muestren señal individual contraria."
"H35","*Grypania spiralis* representa un eucariota macroscópico antiguo.","La morfología enrollada y dimensiones no son producidas por un proceso abiogénico ni por un consorcio procariota.","C-681–C-682","S155 resumen; S178 §fossils","S178 discusión de ambigüedad","Incompatible con una interpretación no eucariota del mismo material; el punto exacto de choque es la identidad biológica del productor.","La demostración de una vía abiogénica o procariota que reproduzca de manera diagnóstica la morfología y microestructura del fósil."
"H36","*Bangiomorpha pubescens* pertenece al grupo corona de las algas rojas y documenta reproducción sexual diferenciada.","La morfología celular, ramificación y patrón reproductivo son homólogos a los de bangiales y no convergencias.","C-693–C-696","S159 descripción; S160 discusión","S178 §3 advierte dependencia de asignación","Incompatible con una posición troncal eucariota no rodófita; el choque es la homología de los caracteres reproductivos y de crecimiento.","Caracteres ultraestructurales o filogenéticos indirectos que excluyan afinidad rodófita, o una reinterpretación tafonómica que elimine los caracteres diagnósticos."
"H37","*Ourasphaira giraldae* representa un hongo temprano.","La ramificación, paredes y estructuras esféricas preservadas son homologables con rasgos fúngicos.","C-697–C-699","S161 resumen y discusión","S178 discusión paleontológica","Incompatible con interpretaciones no fúngicas del productor; el choque es la identidad de las estructuras filamentosas y esféricas.","Descubrimiento de caracteres diagnósticos de otro clado o demostración de que las estructuras resultan de preservación no biológica."
"H38","*Bicellum brasieri* es un holozoo con multicelularidad diferenciada.","La organización de dos tipos celulares y la geometría de los agregados reflejan desarrollo biológico y afinidad holozoa.","C-700–C-703","S162 resumen y discusión","S178 como marco general; posición exacta no resuelta","Compatible con varias posiciones internas de Holozoa; incompatible solo con una afinidad no holozoa.","Caracteres que vinculen el fósil de manera más parsimoniosa a otro clado o que muestren que la diferenciación es tafonómica."
"H39","Los fósiles de *Tianzhushania* y *Megasphaera* son embriones animales.","Las divisiones preservadas representan clivaje embrionario y los ciclos no corresponden a quistes de protistas.","C-706; C-708; C-710","S166 resultados y discusión","S163 resultados; S167 discusión","Incompatible con la interpretación de protistas holozoos enquistantes en la identidad del ciclo vital; parcialmente compatible con una afinidad holozoa amplia.","Estructuras de germinación o ciclos completos incompatibles con embriología animal y repetibles en múltiples ejemplares."
"H40","Los llamados embriones de Doushantuo son protistas holozoos enquistantes.","Las estructuras internas son núcleos y las aberturas o rupturas son estructuras de germinación, no gastrulación ni tejidos animales.","C-707–C-708","S163 título, resultados y discusión","S166 discusión; S164 discusión","Incompatible con la interpretación de embriones animales en el tipo de ciclo vital; compatible con afinidad holozoa general.","Evidencia de polaridad embrionaria, tejidos, gastrulación o desarrollo continuo que no pueda producir un quiste protista."
"H41","Parte de los fósiles tipo Doushantuo representa quistes algales.","La pared, ornamentación y ciclo de liberación son comparables con quistes de algas y no exigen afinidad animal o holozoa.","C-712–C-713","S167 resumen y discusión","S163 y S166 para otros ejemplares","Incompatible con asignaciones animales o holozoas de los mismos morfotipos; puede coexistir con ellas si el conjunto contiene varios organismos.","Caracteres de desarrollo o pared exclusivos de Holozoa en los morfotipos concretos atribuidos a algas."
"H42","La biota de protosteroides registra eucariotas troncales ecológicamente abundantes antes del ascenso de grupos corona productores de esteroles modernos.","Los protosteroides son syngenéticos, biológicos y producidos predominantemente por linajes troncales eucariotas.","C-716–C-717; C-781","S171 resultados y discusión","La asignación biológica específica permanece indirecta; S178 discute límites de biomarcadores","Incompatible con interpretar todos los protosteroides como productos de grupos corona modernos o contaminación; el choque es la identidad del productor y la syngenicidad.","Demostración de contaminación sistemática o producción amplia de los mismos compuestos por grupos corona muestreados en el intervalo."
"H43","La atmósfera mesoproterozoica tuvo menos de 0.1% PAL de O₂ durante los intervalos muestreados.","El fraccionamiento de Cr requiere meteorización oxidativa por encima de un umbral y su ausencia fija un límite superior bajo.","C-757; C-761–C-762","S182 métodos; fig. 3","S183; S184; S185","Incompatible cuantitativamente con reconstrucciones de 4–8% PAL para el mismo tiempo y reservorio si los proxies se interpretan globalmente; puede ser compatible si registran lugares o tiempos distintos.","Un archivo coetáneo y globalmente representativo que demuestre oxidación incompatible con <0.1% PAL bajo un modelo de Cr validado."
"H44","La Formación Xiamaling registra aproximadamente 4–8% PAL de O₂ alrededor de 1.4 Ga.","El modelo de preservación de carbono y circulación usado representa condiciones ambientales y puede escalarse a pO₂.","C-758; C-761–C-762","S183 métodos y resultados","S182; S184","Incompatible con <0.1% PAL como valor global contemporáneo; compatible con heterogeneidad temporal o espacial.","Demostración de que el modelo sedimentario produce el mismo patrón bajo pO₂ sustancialmente menor o que el sistema no representa el océano abierto."
"H45","El océano proterozoico tuvo aguas medias ampliamente euxínicas.","La producción y preservación de sulfuro en aguas intermedias fue extensa y controló metales y nutrientes.","C-767","S186 tesis general","S187; S188; S189","Parcialmente incompatible con un océano predominantemente ferruginoso; ambos aceptan anoxia extensa y difieren en el aceptor terminal y la presencia de sulfuro libre.","Una compilación espacialmente representativa que muestre Fe(II) sin sulfuro en la mayoría de las aguas anóxicas del intervalo."
"H46","Las aguas anóxicas mesoproterozoicas fueron predominantemente ferruginosas, con euxinia más localizada.","Los proxies de Fe y Mo preservan la distribución de estados redox a escala suficiente.","C-768–C-773","S187; S188; S189","S186","Parcialmente incompatible con el modelo de aguas medias globalmente euxínicas; coincide en la extensión de anoxia.","Datos globales que demuestren sulfuro libre persistente y deposición euxínica dominante en cuencas representativas."
"H47","El «aburrido millardo» fue un intervalo de estabilidad relativa tectónica, climática y biogeoquímica.","Las series disponibles capturan baja variabilidad global y no solo sesgos del registro.","C-780–C-781","S189 introducción; S194 discusión","S171 discusión","No es incompatible con diversidad eucariota troncal; choca solo con una lectura de uniformidad ecológica o ausencia de innovación.","Series de alta resolución que muestren cambios globales frecuentes y de magnitud comparable a transiciones posteriores durante todo el intervalo."
"H48","Una escalada depredador–presa proterozoica impulsó aumento de tamaño y defensas en microeucariotas.","Las perforaciones son ataques y la ornamentación, paredes y cambios de tamaño responden al riesgo de depredación.","C-847–C-850","S158 discusión; S178 §ecology","Alternativas tafonómicas y funcionales señaladas en S158","Compatible con múltiples orígenes de fagotrofia; incompatible con atribuir todo el patrón a tafonomía o factores ambientales no tróficos.","Ausencia de covariación temporal entre frecuencia de daño, tamaño y estructuras defensivas, o demostración de origen no biológico de las perforaciones."
"H49","El núcleo eucariota incorpora una contribución evolutiva de virus gigantes.","Homologías y maquinarias virales reflejan ascendencia y no transferencia posterior o convergencia.","C-859–C-861","S222 discusión; S223 revisión","S223 discute múltiples orígenes y alternativas","Parcialmente compatible con modelos autógenos si la contribución viral es limitada; incompatible con una derivación total del núcleo exclusivamente autógena.","Filogenias robustas que sitúen sistemáticamente las proteínas virales como derivadas de eucariotas o muestren orígenes independientes sin contribución ancestral al núcleo."
"H50","La invasión de intrones de grupo II contribuyó al origen de intrones espliceosomales y de la separación núcleo–citosol.","Intrones del endosimbionte se propagaron al genoma hospedador y el empalme lento generó selección por separación espacial de traducción.","C-868–C-869","S221 tesis general","No se localizó una refutación experimental directa; la cadena completa permanece inferida","Compatible con varios modelos de eucariogénesis; incompatible con modelos donde intrones espliceosomales y núcleo preceden completamente a la endosimbiosis bacteriana.","Evidencia filogenética que sitúe los intrones espliceosomales antes de los de grupo II relevantes o cronología que demuestre una envoltura nuclear completa anterior a la invasión."
"H51","La transmisión vertical, los cuellos de botella y la reducción genómica favorecen dependencia mutua.","Fidelidad de transmisión; Ne simbionte pequeño; pérdida de alternativas metabólicas.","C-1012–C-1025","S228, S229, S230; S260; S265; S286; S298","S299; C-1018–C-1019","No es incompatible con H52; H52 describe un mecanismo poblacional dentro del mismo marco.","Una comparación amplia en la que transmisión vertical y reducción no predijeran dependencia mejor que transmisión horizontal debilitaría su forma general."
"H52","El trinquete de Muller contribuye a acumulación de mutaciones y reducción en simbiontes pequeños y asexuales.","Población pequeña; recombinación baja; mutaciones deletéreas recurrentes.","C-1014–C-1018","S298","S298 limita su velocidad; S299 documenta recombinación y plasticidad retenidas","Compatible con H51; no implica que toda pérdida sea producto exclusivo del trinquete.","Evidencia de recombinación suficiente y selección purificadora que impidiera acumulación en todos los simbiontes comparables falsaría una versión universal."
"H53","CoRR atribuye la retención de genes organelares a regulación redox local.","Necesidad de respuesta cis rápida al estado del sistema bioenergético.","C-1060–C-1065","S279","S280; S281 consideran también hidrofobicidad, composición y código","Compatible con H54 y H55; difieren en la presión principal, no en el origen organelar.","Transferir funcionalmente todos los genes CoRR candidatos al núcleo sin pérdida de regulación redox local debilitaría la versión estricta."
"H54","La hidrofobicidad de productos de membrana favorece retención de genes en mitocondrias.","Proteínas muy hidrofóbicas son difíciles de importar e insertar desde el citosol.","C-1062–C-1065","S280; S281","S279 propone una explicación regulatoria adicional","Compatible con H53 y H55.","Demostrar importación e inserción eficiente y general de los productos más hidrofóbicos sin coste eliminaría la restricción propuesta."
"H55","Los códigos genéticos mitocondriales divergentes dificultan transferencia funcional de genes al núcleo.","La misma secuencia no se traduce correctamente bajo códigos distintos.","C-1064–C-1065","S281","S280 muestra presiones adicionales independientes del código","Compatible con H53 y H54.","Recodificación o transferencia natural generalizada de genes afectados sin pérdida funcional debilitaría la hipótesis."
"H56","La maldición de la madre permite acumular variantes mitocondriales dañinas para machos.","Herencia materna; efecto neutro o favorable en hembras; selección débil a través de machos.","C-1078–C-1082","S288","S289 no encuentra apoyo genómico global en humanos","No es incompatible con conflicto mitonuclear; su predicción es específica por sexo.","Ausencia consistente de efectos masculinos mayores en paneles factoriales y poblaciones bien potenciadas falsaría una versión general."
"H57","Herencia uniparental y anisogamia pueden reducir conflicto entre genomas citoplasmáticos.","Mezcla biparental genera competencia; uniparentalidad limita heteroplasmia inicial.","C-1073–C-1083","S300","S300 declara explicaciones alternativas; C-1074 y C-1083 limitan alcance","Compatible con H56; no demuestra que el control de conflicto sea el único origen de anisogamia.","Una reconstrucción robusta que situara anisogamia antes de cualquier conflicto citoplasmático relevante falsaría su versión causal histórica."
"H58","Existe una barrera natural que hace rara la HGT continua de procariotas a eucariotas.","Contaminación explica muchas identidades altas; integración germinal/nuclear es infrecuente.","C-1088–C-1092","S290","S291; S211 documentan HGT real y discuten frecuencia","En tensión parcial con H59 y H60 sobre frecuencia, no sobre la existencia de algún HGT.","Muchos eventos independientes bien controlados y recientes distribuidos continuamente entre eucariotas falsarían una barrera fuerte."
"H59","El trinquete “eres lo que comes” acumula genes de presas en genomas nucleares de fagótrofos.","Fagotrofia repetida; ADN de presas alcanza núcleo; reemplazo funcional.","C-1087; C-1093","S292","S290 cuestiona frecuencia continua; S291 exige controles","Parcialmente incompatible con H58 solo en frecuencia esperada.","Ausencia de enriquecimiento de HGT en fagótrofos tras controlar contaminación y filogenia debilitaría la predicción."
"H60","El modelo de enlace débil sitúa HGT en etapas celulares vulnerables.","Germinales, embriones, tejidos dañados o fases unicelulares permiten acceso al genoma.","C-1087; C-1094","S293","S290 impone una tasa baja global","Compatible con H59; propone otra ruta de entrada.","Si eventos bien datados no se concentran en ninguna etapa vulnerable y requieren siempre endosimbiosis, el modelo perdería poder explicativo."
"H61","La endosimbiosis mitocondrial levantó una barrera energética y permitió una expansión de aproximadamente 200000 veces en capacidad de expresión génica.","El denominador potencia total por gen refleja capacidad evolutiva; genomas bioenergéticos locales son necesarios; el escalamiento bacteriano hipotético es informativo","C-1204–C-1213","S308; S310","S309; S311; S312; S316; S317","Incompatible con H62 en la existencia de una precondición energética absoluta; parcialmente compatible con H64 en que las mitocondrias amplían superficie bioenergética","Un procariota sin endosimbiontes que sostuviera de forma estable el repertorio y gasto expresivo predicho por el modelo bajo controles equivalentes la falsaría."
